OBJECTID,左上经度_02,左上纬度_02,右下经度_02,右下纬度_02
1,113.6778331,23.45565466,113.6823319,23.45980722
2,113.4938745,23.31894313,113.4983508,23.32307874
3,113.8842289,23.39754255,113.8887134,23.40168496
4,113.3007477,23.19440495,113.3052473,23.19856534
5,113.6059083,23.58395436,113.6103995,23.58809462
6,113.3592512,23.19035623,113.3637507,23.19451698
7,113.4894119,23.5179377,113.4938884,23.52206619
8,113.8528878,23.86926251,113.8573683,23.87338376
9,113.5251946,23.14861411,113.5296714,23.15275643
10,113.2557928,23.24835095,113.2602855,23.25250297
11,113.9291356,23.73701772,113.9336296,23.74115628
12,113.6238789,23.61293485,113.6283734,23.61707723
13,113.9291418,23.83205304,113.9336359,23.83618819
14,113.3862279,23.0574043,113.3907233,23.06156582
15,113.5296678,23.09873121,113.5341451,23.10287558
16,113.3862675,23.62983668,113.3907629,23.63397779
17,113.2288542,23.24836377,113.2333424,23.25251135
18,113.3997152,23.12807959,113.4042079,23.13223637
19,113.6103734,23.19418659,113.6148654,23.19834186
20,113.0672822,23.2983142,113.0717825,23.30247073
21,113.507313,23.48060186,113.511789,23.48473143
22,113.1828355,23.26543752,113.1840071,23.26918814
23,113.4490903,23.33150179,113.4535721,23.33564184
24,113.3772567,23.36885242,113.3817537,23.37300461
25,113.3547595,23.30659293,113.3592595,23.31075
26,113.6643365,23.44319628,113.6688353,23.44734912
27,113.6823189,23.26487511,113.6868177,23.26903452
28,113.5207166,23.12369444,113.5251932,23.12783725
29,113.4670095,23.29826969,113.4714883,23.30240825
30,113.2917647,23.40188263,113.2962633,23.40603462
31,113.6463329,23.25650798,113.6508305,23.26066636
32,113.974084,23.32297193,113.9785857,23.32713291
33,113.3952483,23.50978739,113.3997419,23.51393137
34,113.5654773,22.74070173,113.5699601,22.74486202
35,113.9291192,23.48872288,113.9336132,23.49287059
36,113.7632204,23.37283486,113.7677078,23.37698021
37,113.6373461,23.34778795,113.6418425,23.35194205
38,113.4132033,23.33153918,113.417693,23.33568619
39,114.0101371,23.81985183,114.0146403,23.823996
40,113.3277323,22.95331968,113.3322334,22.95748944
41,113.722791,23.24418362,113.7272857,23.24834016
42,113.2827677,23.36869902,113.287265,23.37285103
43,113.8707857,23.48459479,113.8752683,23.48873196
44,113.4625206,23.15710188,113.4670002,23.16124596
45,113.3862453,23.31078509,113.3907407,23.31493796
46,113.8977131,23.83204367,113.9022004,23.83617255
47,113.8618013,23.15253712,113.8619484,23.15268484
48,113.6913522,23.80737354,113.6958506,23.81151272
49,113.1257105,23.33982422,113.1301986,23.3439681
50,113.7318118,23.72891256,113.7363049,23.73305001
51,113.7945983,23.14864735,113.7990806,23.15279602
52,113.5252264,23.62132717,113.5297032,23.62545239
53,113.1571096,23.31073925,113.1615937,23.31488062
54,113.4983573,23.41846431,113.5028334,23.42259619
55,113.5341643,23.38933734,113.538642,23.393472
56,113.8304629,23.46394743,113.8349426,23.46808263
57,113.4177059,23.52221412,113.4221946,23.52635321
58,113.7632143,23.28156172,113.7677017,23.28571036
59,113.7272924,23.34793587,113.7317863,23.35208805
60,113.8842619,23.89811839,113.8887465,23.90224256
61,113.6373305,23.11111174,113.6418269,23.1152741
62,113.4983253,22.9449359,113.5028015,22.94908386
63,113.5073068,23.38941534,113.5117829,23.39354826
64,113.305269,23.51793197,113.3097691,23.52208108
65,113.8528828,23.79491751,113.8573633,23.79904138
66,113.5341429,23.06961887,113.5386207,23.07376465
67,113.614866,23.20664822,113.6193589,23.21080388
68,113.3007717,23.5469136,113.3052713,23.55106122
69,113.399737,23.44349641,113.4042297,23.44764199
70,113.4132226,23.60915572,113.4177123,23.61329249
71,113.5162562,23.3562114,113.5207325,23.36034584
72,113.6283448,23.18589163,113.63284,23.19005022
73,113.3862302,23.09066424,113.3907256,23.0948247
74,113.7317894,23.39770561,113.7362824,23.4018553
75,113.9336083,23.41827717,113.9381033,23.42242839
76,113.7990861,23.23586531,113.8035678,23.24001047
77,113.6193586,23.20665092,113.6238522,23.21080736
78,113.255804,23.41429575,113.2602967,23.41844178
79,113.4490704,23.04074275,113.4535522,23.04489276
80,113.4311344,23.03660991,113.43562,23.04076338
81,113.7228052,23.45572859,113.7272999,23.45987747
82,113.2423376,23.50960729,113.2468281,23.51374751
83,113.2512929,23.12789474,113.2557849,23.13205013
84,113.5431065,23.19010939,113.5475853,23.19425227
85,113.3502406,23.02824419,113.3547408,23.03241102
86,113.3772631,23.46005572,113.38176,23.46420456
87,113.4580443,23.21111151,113.4625246,23.21525438
88,113.7003072,23.20262635,113.7048047,23.20678692
89,113.1077575,23.43935041,113.1122491,23.4434938
90,113.8707898,23.54672255,113.873442,23.55085969
91,113.4356389,23.31492669,113.4401235,23.31906981
92,113.2468174,23.35624367,113.2513086,23.3603903
93,113.6958391,23.64201602,113.700337,23.64616093
94,113.0402703,23.38951738,113.0447755,23.39367495
95,113.0267566,23.45166156,113.0312633,23.4558183
96,113.578964,23.29798963,113.5834493,23.30213501
97,113.8170441,23.76192647,113.8215242,23.76605102
98,113.323245,23.15290174,113.327746,23.15706501
99,113.1840068,23.26503721,113.1884904,23.26917978
100,113.9651208,23.89818154,113.9696214,23.90232051
101,113.6958193,23.34789051,113.7003172,23.35204628
102,113.458052,23.32318649,113.4625323,23.32732541
103,113.821507,23.50953644,113.8259869,23.5136701
104,113.8035636,23.177716,113.8080448,23.18186274
105,113.2243757,23.37699656,113.2288632,23.38113885
106,113.8125277,23.21923443,113.8170081,23.22337905
107,113.7317961,23.49717082,113.7362892,23.50131683
108,113.5117406,22.76167089,113.5162168,22.76582419
109,113.6283497,23.26063589,113.6328449,23.26479188
110,113.9785841,23.30223752,113.9830861,23.30639966
111,113.5610309,23.27726482,113.5655127,23.28140751
112,113.7407908,23.64207199,113.7452824,23.64621119
113,113.5610525,23.60054914,113.5655343,23.60467996
114,113.4131663,22.79103898,113.417656,22.79520335
115,113.4266753,23.43105551,113.4311618,23.43519616
116,113.763204,23.12678979,113.7676911,23.12789543
117,113.8125612,23.72059907,113.8170416,23.72472537
118,113.834944,23.48879881,113.8394237,23.4929331
119,113.6913318,23.50539791,113.6958301,23.50954817
120,113.2737651,23.21098729,113.2782609,23.21514357
121,113.3502828,23.64219821,113.354783,23.64634324
122,113.3187407,23.09886824,113.3232416,23.10303315
123,113.6058926,23.34776419,113.6103838,23.35191316
124,113.2162894,23.12376596,113.2198725,23.12791714
125,113.251294,23.14451651,113.2557861,23.14867133
126,114.0056306,23.77025906,114.010134,23.77440507
127,113.9111754,23.8113891,113.9156655,23.81552135
128,113.547608,23.53433823,113.5520876,23.53846929
129,113.4804304,23.10718926,113.4849077,23.11133299
130,113.0582887,23.43516056,113.0627909,23.43931374
131,113.3817511,23.33567437,113.3862473,23.33982708
132,113.2558161,23.59241502,113.2603088,23.59655444
133,113.7272982,23.43501116,113.7317922,23.43916016
134,113.2288609,23.34795943,113.2333491,23.35210344
135,113.3637436,23.09063637,113.3682425,23.0948
136,113.6733331,23.43492378,113.677832,23.43907712
137,113.4266647,23.27758702,113.4311512,23.28173325
138,113.4221642,23.08651229,113.4266518,23.09066595
139,113.6148731,23.31457803,113.619366,23.31872988
140,113.5834642,23.52599716,113.5879506,23.53013509
141,113.8080639,23.46813161,113.8125445,23.47226755
142,113.2647627,23.0114829,113.2692571,23.01564432
143,113.8439286,23.87340757,113.8484085,23.87752813
144,113.8707716,23.26895277,113.8752541,23.27309781
145,113.4625517,23.60909067,113.4670312,23.6132184
146,113.3952602,23.67948351,113.3997538,23.6836212
147,113.848376,23.38930118,113.8528561,23.39343967
148,113.7946088,23.30643492,113.7990911,23.31057808
149,113.7945992,23.16111179,113.7990814,23.16526004
150,113.9381052,23.45144176,113.9426011,23.4555926
151,113.4401465,23.65050916,113.4446302,23.65463906
152,113.4983624,23.4930577,113.5028385,23.49718681
153,113.1885065,23.50553474,113.1929902,23.50966871
154,113.5252144,23.44325412,113.5296912,23.44738593
155,113.192982,23.38948389,113.197466,23.39362238
156,113.7811942,23.82395279,113.7856784,23.82807876
157,113.7227913,23.24833528,113.727286,23.25249168
158,113.3862339,23.14469304,113.3907293,23.14885169
159,113.8259714,23.28148276,113.8304511,23.28562464
160,113.4311763,23.64224632,113.4356619,23.64637826
161,113.3232472,23.18613629,113.3277483,23.19029843
162,113.7092991,23.16941084,113.7137956,23.17357167
163,113.224364,23.20269212,113.2288514,23.20684062
164,113.1884963,23.35631507,113.19298,23.36045455
165,113.5341532,23.22335672,113.5386309,23.22749733
166,113.9605838,23.33123635,113.9650836,23.33539536
167,113.2333508,23.37698801,113.2378397,23.38113165
168,113.2557883,23.181907,113.260281,23.18606133
169,113.8797482,23.44314618,113.8842321,23.44728618
170,113.6733152,23.1651921,113.6778141,23.16935506
171,113.5744386,22.669828,113.5789232,22.67399189
172,113.8931855,23.19970619,113.8970204,23.20249642
173,113.942622,23.77423225,113.9471187,23.77837203
174,113.6013569,22.64479279,113.6058471,22.64896274
175,113.7362903,23.51788516,113.7407827,23.52202969
176,113.8080898,23.85282745,113.8125705,23.85694933
177,113.1077493,23.31909051,113.1122409,23.32323829
178,113.7227896,23.22342311,113.7272843,23.22758039
179,113.3772519,23.298327,113.3817488,23.30248173
180,113.2064239,23.24008915,113.2109091,23.24423413
181,113.5341438,23.08209115,113.5386215,23.08623653
182,113.3232728,23.55937356,113.3277739,23.56352218
183,113.3232529,23.26918254,113.327754,23.27334178
184,113.5162406,23.12370767,113.5207169,23.12785022
185,113.5072858,23.07801187,113.5117619,23.08215564
186,113.3682457,23.14051668,113.372744,23.14467812
187,113.7856365,23.20681478,113.79012,23.21096258
188,113.5430813,22.80741088,113.5475601,22.81156566
189,113.3547629,23.3563765,113.3592629,23.36053177
190,113.4446224,23.54289215,113.4491052,23.54702521
191,113.3907545,23.51392661,113.3952489,23.51807125
192,113.7407573,23.14451601,113.7452489,23.1486732
193,113.5341654,23.4059222,113.5386431,23.41005626
194,113.2872622,23.33137224,113.2917602,23.33552622
195,114.0281512,23.87359166,114.0326533,23.87773286
196,113.426673,23.39789065,113.4311595,23.40203253
197,113.4490723,23.06984944,113.4535542,23.0739985
198,113.8528847,23.82383508,113.8573652,23.82795793
199,113.2872619,23.32722354,113.2917599,23.33137767
200,113.5207524,23.65443869,113.525229,23.65856235
201,113.5431015,23.11532157,113.5475803,23.11946696
202,113.6463439,23.42244086,113.6508415,23.42659325
203,113.3682708,23.50561774,113.3727692,23.50976612
204,113.4983354,23.09466729,113.5028115,23.09881053
205,113.6868466,23.69990499,113.6913452,23.70404827
206,113.201956,23.48065481,113.2064405,23.48479062
207,113.8573619,23.77838229,113.8618428,23.78250714
208,113.3502587,23.29413574,113.3547589,23.29829359
209,113.52072,23.17355469,113.5251966,23.17769582
210,113.2512918,23.11127077,113.2557838,23.1154267
211,113.4266915,23.6629345,113.431178,23.66706656
212,113.408709,23.27344437,113.4131996,23.27759437
213,113.4401221,23.29832255,113.4446058,23.30246541
214,113.215393,23.22346728,113.2198792,23.22761385
215,113.803562,23.15278923,113.8080432,23.15693682
216,113.6778248,23.33126373,113.6823236,23.33542084
217,113.516266,23.5012888,113.5207423,23.50541788
218,113.7542561,23.55516175,113.7587451,23.55930188
219,113.619318,22.58223871,113.6238116,22.58641359
220,113.6913157,23.26489191,113.695814,23.26905094
221,113.7991293,23.87761614,113.8036109,23.88173797
222,113.1212285,23.43519947,113.1257174,23.43934059
223,113.668824,23.27730183,113.6733229,23.28146083
224,113.2378416,23.41015569,113.2423312,23.41429884
225,113.695774,22.66159777,113.7002718,22.66577495
226,113.6868393,23.59234259,113.6913379,23.59648984
227,113.4490803,23.1862093,113.4535621,23.19035449
228,113.372744,23.14467812,113.3772416,23.14883884
229,113.2603091,23.60069322,113.2648027,23.60483309
230,113.3772459,23.21114829,113.3817428,23.2153061
231,113.4132299,23.71256772,113.4177195,23.71670069
232,113.8215067,23.50539428,113.8259866,23.50952809
233,113.2917459,23.12376306,113.2962445,23.12792485
234,113.4445791,22.91177291,113.4490619,22.91592766
235,113.3232691,23.50553752,113.3277701,23.50968814
236,113.7407877,23.59655391,113.7452793,23.60069479
237,113.5744674,23.11110586,113.5789519,23.11525681
238,113.2064346,23.39775377,113.2109197,23.40189307
239,113.3097291,22.93247913,113.3142295,22.93664875
240,113.2288604,23.33966307,113.2333485,23.34380739
241,113.2333626,23.55102617,113.2378515,23.55516339
242,113.5610373,23.37268844,113.5655191,23.37682769
243,113.1436584,23.35224715,113.1481438,23.35638818
244,113.2333592,23.50132861,113.2378481,23.50546766
245,113.260276,23.11127099,113.2647696,23.11542846
246,113.1302029,23.40617382,113.1346902,23.41031459
247,113.3232467,23.1778285,113.3277477,23.18199092
248,113.7587443,23.54688049,113.7632325,23.55102016
249,113.8797382,23.28969435,113.8842221,23.29383994
250,113.458035,23.07398926,113.4625152,23.07813676
251,113.0852794,23.33567847,113.0897758,23.33983012
252,113.7990927,23.33547167,113.8035744,23.3396133
253,113.2423374,23.50546513,113.2468278,23.5096055
254,113.5073212,23.60068873,113.5117972,23.60481383
255,113.5520721,23.30633305,113.5565524,23.31047319
256,113.4131802,22.99502802,113.4176698,22.99918641
257,113.628359,23.40168912,113.6328543,23.40584003
258,113.8932025,23.45971195,113.8976888,23.46385364
259,113.5565565,23.37269702,113.5610376,23.37683549
260,113.1571087,23.29829045,113.1615929,23.30243226
261,113.4759367,22.86590892,113.4804145,22.87006052
262,113.8394264,23.53435238,113.8439062,23.53848509
263,113.7901267,23.31059013,113.7946094,23.31473368
