id,name,type,typeCode,bizType,address,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,tel,provinceName,cityName,adName
BV11409762,和平村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72路(银场),113.919935,23.398073,113.9150199,23.40084628,[],广东省,广州市,增城区
BV11409767,招呼站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72B路,113.928286,23.398672,113.9233678,23.40143685,[],广东省,广州市,增城区
BV11119399,和平村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城67路;增城67路A;增城72B路;增城72路(银场),113.912792,23.396831,113.9078769,23.39960912,[],广东省,广州市,增城区
BV11119381,水围村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72B路;增城72路(银场),113.934631,23.397921,113.9297084,23.4006776,[],广东省,广州市,增城区
BV11119374,水口村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城67路;增城67路A,113.921784,23.384123,113.9168694,23.38689709,[],广东省,广州市,增城区
BV11409766,招呼站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72B路,113.942296,23.400135,113.9373654,23.40287888,[],广东省,广州市,增城区
BV11119377,大冚村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城67路;增城67路A;增城72B路;增城72路(银场),113.902852,23.393303,113.8979329,23.39608434,[],广东省,广州市,增城区
BV11409763,新屋村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72路(银场),113.948433,23.401372,113.9434942,23.40410409,[],广东省,广州市,增城区
BV11119345,亮星村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72B路;增城72路(银场),113.949635,23.401033,113.9446945,23.40376271,[],广东省,广州市,增城区
BV10014885,池田村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城17路;增城63路;增城66路;增城67路;增城67路A,113.891029,23.406622,113.886098,23.4093987,[],广东省,广州市,增城区
BV10021545,正果车站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城17路;增城42路;增城63路;增城66路;增城67路;增城67路A;增城68路;增城72A路;增城72B路;增城72路(白面石);增城72路(银场),113.892735,23.41422,113.8878055,23.4169963,[],广东省,广州市,增城区
BV10021544,兰溪路口(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城17路;增城63路;增城66路;增城67路;增城67路A,113.888908,23.400894,113.8839747,23.40367052,[],广东省,广州市,增城区
BV11118944,正果寺(公交站),交通设施服务;公交车站;公交车站相关,150700,[],,113.895356,23.41967,113.8904289,23.42244642,[],广东省,广州市,增城区
BV11119363,九峰山农庄(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城68路,113.89888,23.424454,113.8939559,23.4272305,[],广东省,广州市,增城区
BV11409768,招呼站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72B路,113.956923,23.397782,113.9519708,23.40049638,[],广东省,广州市,增城区
BV11118938,月亮湾公园(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城42路,113.892691,23.420443,113.887761,23.42321842,[],广东省,广州市,增城区
BV11409769,兰溪路口(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72B路,113.888559,23.400208,113.8836253,23.40298444,[],广东省,广州市,增城区
BV11118925,到蔚村(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城17路;增城63路;增城66路;增城67路;增城67路A,113.884338,23.394527,113.8793988,23.39730165,[],广东省,广州市,增城区
BV11119364,蒙花布(公交站),交通设施服务;公交车站;公交车站相关,150700,[],,113.899696,23.433954,113.8947719,23.43672941,[],广东省,广州市,增城区
BV11409758,招呼站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],增城72A路,113.945122,23.434327,113.9401856,23.43706095,[],广东省,广州市,增城区
BV10808746,长塘路口(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.915016,23.772705,113.9100765,23.77550813,[],广东省,广州市,从化区
BV10501356,草埔(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.919748,23.773989,113.9148082,23.77678921,[],广东省,广州市,从化区
BV10808755,安山(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.907708,23.770916,113.9027668,23.77372172,[],广东省,广州市,从化区
BV10808752,小杉路口(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.927864,23.77817,113.9229211,23.78096343,[],广东省,广州市,从化区
BV10808750,塘下江(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.899635,23.769604,113.8946888,23.77240999,[],广东省,广州市,从化区
BV10775397,蓄能电站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.933503,23.779297,113.9285563,23.78208351,[],广东省,广州市,从化区
BV10775404,塘田(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.891815,23.768593,113.8868611,23.77139664,[],广东省,广州市,从化区
BV10808757,古田(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.881149,23.768671,113.8761802,23.77146783,[],广东省,广州市,从化区
BV11159078,潘屋(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从503路,113.96895,23.761654,113.9639502,23.76436183,[],广东省,广州市,从化区
BV11152759,东西门总站(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从505路,113.907097,23.797823,113.9021537,23.80063685,[],广东省,广州市,从化区
BV11152755,中片区(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从505路,113.910637,23.802044,113.9056948,23.80485806,[],广东省,广州市,从化区
BV11139994,小杉村委(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从503路,113.974875,23.764913,113.9698619,23.76760567,[],广东省,广州市,从化区
BV11116061,狮象村委(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从505路,113.912819,23.80415,113.9078771,23.80696376,[],广东省,广州市,从化区
BV11139993,花岭(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从503路,113.97612,23.76747,113.9711039,23.77015992,[],广东省,广州市,从化区
BV11152756,石龙大围(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从505路,113.919022,23.808498,113.9140801,23.81130923,[],广东省,广州市,从化区
BV11152749,上围(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从505路,113.921871,23.809062,113.9169285,23.81187103,[],广东省,广州市,从化区
BV10808753,交警吕田中队(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从12路,113.946623,23.804427,113.9416602,23.80719912,[],广东省,广州市,从化区
BV11488295,丘屋(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从503路,113.979206,23.769097,113.9741826,23.77177865,[],广东省,广州市,从化区
BV11689383,田心(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从503路,113.97944,23.772183,113.9744158,23.77486486,[],广东省,广州市,从化区
BV11482390,水埔(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从505路,113.932075,23.80977,113.9271273,23.81256779,[],广东省,广州市,从化区
BV11152724,合群村委(公交站),交通设施服务;公交车站;公交车站相关,150700,[],从603路;从604路,113.638637,23.78076,113.6334999,23.78353893,[],广东省,广州市,从化区
