"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00140W44C","大封门森林公园","风景名胜;公园广场;公园","110101","tour","派潭镇白水寨大道28号","113.781953","23.583050","113.77676062089628","23.585656390823207","[]","广东省","广州市","增城区"
"B0FFGYKZ8R","增城地质公园","风景名胜;公园广场;公园","110101","tour","[]","113.806961","23.586206","113.8018237570856","23.588849005479556","[]","广东省","广州市","增城区"
"B0FFGM1UMY","石马龙湿地公园","风景名胜;公园广场;公园","110101","tour","白水寨大道石马龙水库","113.761442","23.575063","113.75622008749981","23.57765273246317","[]","广东省","广州市","增城区"
"B0FFF2IO5P","东洞村文化公园","风景名胜;公园广场;公园","110101","tour","东洞路与东洞南路交叉口东80米","113.793122","23.549885","113.78795447624421","23.552504078551745","[]","广东省","广州市","增城区"
"B0FFJRS0RL","流溪河从都湿地公园","风景名胜;公园广场;公园","110101","tour","米埗大桥","113.684398","23.682044","113.67920044407104","23.68471640958761","[]","广东省","广州市","从化区"
"B00141PRWE","日报石南公园","风景名胜;公园广场;公园","110101","tour","温泉镇石南村","113.671063","23.575349","113.66589323212249","23.578032915381662","[]","广东省","广州市","从化区"
"B0IRVSR9J1","中桥公园","风景名胜;公园广场;公园","110101","tour","榕林路98号","113.790332","23.485255","113.78516281493441","23.487870931022062","[]","广东省","广州市","增城区"
"B00140H71C","碧水湾温泉度假村-碧水湾郊野公园","风景名胜;公园广场;公园","110101","tour","御泉大道353广州从化碧水湾温泉度假村","113.714073","23.700911","113.70883840066926","23.70353969166622","020-87842888","广东省","广州市","从化区"
"B0FFF2TOZ4","平岗公园","风景名胜;公园广场;公园","110101","tour","温泉镇镇平岗","113.680940","23.607210","113.67575271891094","23.609877781128265","[]","广东省","广州市","从化区"
"B0FFKXF9L7","邓村石屋森林公园","风景名胜;公园广场;公园","110101","tour","布头路上一巷","113.818410","23.474520","113.81330999213142","23.47718307092338","[]","广东省","广州市","增城区"
"B0FFGIN4W0","腊圃公园","风景名胜;公园广场;公园","110101","tour","256省道附近","113.789884","23.419790","113.78471826355563","23.42241154409547","[]","广东省","广州市","增城区"
"B0G1P7KPOE","温泉荔枝蜜公园","风景名胜;公园广场;公园","110101","tour","碧泉路63号","113.654559","23.647115","113.64940980339082","23.64983745574474","[]","广东省","广州市","从化区"
"B0FFLC8B7I","尹屋公园","风景名胜;公园广场;公园","110101","tour","高步路与二社沙一巷交叉口东南380米","113.826969","23.463090","113.82189282931274","23.465770012480604","[]","广东省","广州市","增城区"
"B0HRVR2SVO","彩虹公园","风景名胜;公园广场;公园","110101","tour","御泉大道353号碧水湾温泉度假村(东南角)","113.716976","23.698512","113.71173933053839","23.70113664637772","[]","广东省","广州市","从化区"
"B0HRU7HIID","团建公园","风景名胜;公园广场;公园","110101","tour","良口镇塘料村广大附中英豪学校侧直入100米","113.709899","23.692429","113.7046686625203","23.695061429893673","[]","广东省","广州市","从化区"
"B0FFK4A0ZD","从化山顶公园","风景名胜;公园广场;公园","110101","tour","温泉镇景业荔都花园一街21号正北方向160米","113.642802","23.607175","113.63767157056256","23.60991229829297","[]","广东省","广州市","从化区"
