"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"BV11605044","花城街(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)18号线北延段","113.234955","23.425568","113.2296080297737","23.428160211801927","[]","广东省","广州市","花都区"
"BV10571472","花都广场(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.222628","23.401307","113.21727380704631","23.40389316271071","[]","广东省","广州市","花都区"
"BV10571473","马鞍山公园(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)18号线北延段;9号线","113.237792","23.399457","113.23244803831213","23.402054413798435","[]","广东省","广州市","花都区"
"BV10024349","机场南(1号航站楼)(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)22号线北延段;3号线北延段","113.303097","23.386690","113.29769907451764","23.38924307205675","[]","广东省","广州市","花都区"
"BV10571469","莲塘(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.245149","23.389101","113.23980748556907","23.391702453591325","[]","广东省","广州市","花都区"
"BV10571474","花果山公园(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.218389","23.387119","113.21303148659396","23.389703076599172","[]","广东省","广州市","花都区"
"BV10571480","花城路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.212740","23.379622","113.20737639579765","23.382200639621548","[]","广东省","广州市","花都区"
"BV10571470","清布(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.250989","23.378122","113.24564808368045","23.38072580475803","[]","广东省","广州市","花都区"
"BV10571477","广州北站(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(规划)24号线;9号线","113.201568","23.376419","113.19618891522009","23.378982283032613","[]","广东省","广州市","花都区"
"BV10571478","花都汽车城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.180367","23.379671","113.17495109005424","23.382196789319053","[]","广东省","广州市","花都区"
"BV10710261","清塘(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.262858","23.372206","113.25751300479168","23.37480772356474","[]","广东省","广州市","花都区"
"BV10571476","飞鹅岭(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","113.155127","23.378345","113.1496647216316","23.380823930373634","[]","广东省","广州市","花都区"
"BV11605040","凤凰南路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)18号线北延段","113.240112","23.360554","113.23477145264826","23.363159499909077","[]","广东省","广州市","花都区"
"BV10024350","高增(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","3号线北延段;9号线","113.295504","23.355162","113.29012157608364","23.357733296563513","[]","广东省","广州市","白云区"
"BV11014910","机场北(2号航站楼)(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)22号线北延段;3号线北延段","113.305140","23.395529","113.29973767944685","23.398077114155907","[]","广东省","广州市","花都区"
"BV10022634","人和(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)22号线北延段;3号线北延段","113.295995","23.335224","113.29061310698269","23.33779900835846","[]","广东省","广州市","白云区"
"BV10851524","东风(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线","113.600801","23.566233","113.59569746485198","23.56900621895519","[]","广东省","广州市","从化区"
"BV10851522","从化客运站(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线","113.594721","23.531769","113.58961731965628","23.534541220923092","[]","广东省","广州市","从化区"
"BV10851516","赤草(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线","113.560204","23.501199","113.5550556451089","23.503940365467926","[]","广东省","广州市","从化区"
"BV10851519","神岗(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线","113.517592","23.475161","113.51232271323723","23.4778028784327","[]","广东省","广州市","从化区"
"BV10593222","钟岗(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.792047","23.279317","113.78689525111709","23.28197209271196","[]","广东省","广州市","增城区"
"BV10593227","增城广场(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.813800","23.278362","113.80870084322738","23.281053020556957","[]","广东省","广州市","增城区"
"BV10593233","山田(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.744845","23.276504","113.73963134666413","23.2791290942884","[]","广东省","广州市","增城区"
"BV10697442","朱村(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.701572","23.272318","113.69637882653174","23.27498541237823","[]","广东省","广州市","增城区"
"BV10593229","凤岗(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.670634","23.275961","113.66548491975837","23.278683062505756","[]","广东省","广州市","增城区"
"BV10593220","坑贝(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.642606","23.278769","113.63749767259702","23.28154047473105","[]","广东省","广州市","增城区"
"BV10851520","知识城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线支线/知识城线","113.525198","23.349377","113.51996268459924","23.352058526935565","[]","广东省","广州市","黄埔区"
"BV10851514","何棠下(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线支线/知识城线","113.543688","23.331190","113.53851023905408","23.33392245678705","[]","广东省","广州市","黄埔区"
"BV10593236","中新(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.613131","23.285303","113.60804594876524","23.2881064996292","[]","广东省","广州市","增城区"
"BV10851526","旺村(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线支线/知识城线","113.551749","23.323256","113.5465929575503","23.326007518180496","[]","广东省","广州市","黄埔区"
"BV10851515","汤村(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线支线/知识城线","113.564686","23.307382","113.55955968875674","23.310159971457548","[]","广东省","广州市","黄埔区"
"BV10593235","镇龙(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线支线/知识城线;21号线","113.593000","23.284514","113.58791170056195","23.28732224926074","[]","广东省","广州市","黄埔区"
"BV10851509","镇龙北(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","14号线支线/知识城线","113.576945","23.289584","113.57184027635115","23.292381600888397","[]","广东省","广州市","黄埔区"
"BV10593221","镇龙西(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.573793","23.278088","113.56868444827948","23.28088574548359","[]","广东省","广州市","黄埔区"
"BV11095934","金坑(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","21号线","113.526727","23.249328","113.52150337467775","23.252040890690445","[]","广东省","广州市","黄埔区"
"BV10024370","庆盛(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.490456","22.866999","113.48513281061868","22.86975941522638","[]","广东省","广州市","南沙区"
"BV10960126","南横(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.594381","22.747885","113.58932854183756","22.750900653273547","[]","广东省","广州市","南沙区"
"BV10960125","南沙客运港(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.610968","22.766988","113.60591728757325","22.76999417900992","[]","广东省","广州市","南沙区"
"BV10862412","万顷沙(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)18号线南延段;18号线","113.557043","22.698398","113.55194053062942","22.701390918491374","[]","广东省","广州市","南沙区"
"BV10960127","塘坑(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.573064","22.753098","113.56798866382888","22.756098619808494","[]","广东省","广州市","南沙区"
"BV10015821","金洲(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.538886","22.792178","113.53373016438479","22.79510424504543","[]","广东省","广州市","南沙区"
"BV10960128","大涌(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.555975","22.759076","113.55086615589659","22.762049588916973","[]","广东省","广州市","南沙区"
"BV10960129","广隆(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.540728","22.772143","113.53557879218906","22.775080368564915","[]","广东省","广州市","南沙区"
"BV10960124","飞沙角(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.540758","22.781854","113.53560824364688","22.78478821919667","[]","广东省","广州市","南沙区"
"BV10862413","横沥(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","18号线","113.511721","22.753453","113.50647968112087","22.756317699463935","[]","广东省","广州市","南沙区"
"BV10020680","蕉门(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.527502","22.800704","113.52231059557008","22.803598041791584","[]","广东省","广州市","南沙区"
"BV10024371","黄阁(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.518768","22.824736","113.51354614032218","22.827596978515263","[]","广东省","广州市","南沙区"
"BV10016576","黄阁汽车城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.509719","22.835812","113.5044652842466","22.83864233035849","[]","广东省","广州市","南沙区"
"BV11030743","广州新城西(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)3号线东延段","113.439675","22.938156","113.43420211184426","22.940762550089108","[]","广东省","广州市","番禺区"
"BV11030742","金光大道(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)3号线东延段","113.457479","22.942270","113.45204723200673","22.944910195287914","[]","广东省","广州市","番禺区"
"BV10024367","石碁(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.465225","22.957185","113.45981398863155","22.9598375755212","[]","广东省","广州市","番禺区"
"BV10023067","官桥(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","4号线","113.443122","22.982352","113.43765308469933","22.9849455630472","[]","广东省","广州市","番禺区"
"BV11030744","番禺客运站(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)3号线东延段","113.410076","22.936702","113.40456665407422","22.939279254079185","[]","广东省","广州市","番禺区"
