"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00141UDA5","新世纪广场南门2","购物服务;商场;普通商场","060102","[]","东成路68号","113.588915","23.547421","113.5838063336129","23.550191945665503","[]","广东省","广州市","从化区"
"B0FFF3UTLO","惠民商业城","购物服务;商场;普通商场","060102","[]","江埔街七星市场","113.600843","23.538804","113.59574130294638","23.5415762992583","[]","广东省","广州市","从化区"
"B0FFG8DKK7","摩登广场","购物服务;商场;普通商场","060102","[]","西宁横街14号","113.587840","23.549488","113.58273029068859","23.55225855306241","[]","广东省","广州市","从化区"
"B001409A54","广州百货大厦(从化店)","购物服务;商场;普通商场","060102","[]","东成路68号","113.589083","23.547738","113.5839744489918","23.550509019962817","020-87924418;020-87924481","广东省","广州市","从化区"
"B0FFK3KVZD","英豪国际集团(海洋广场店)","购物服务;商场;普通商场","060102","[]","河东南路426号","113.601457","23.529215","113.59635609209653","23.53198711759179","[]","广东省","广州市","从化区"
"B00140W3IY","富顺百货","购物服务;商场;普通商场|购物服务;便民商店/便利店;便民商店/便利店","060102|060200","[]","横江大道与横江路交叉口东140米","113.575415","23.584156","113.57028853082215","23.586919351860196","020-87904838","广东省","广州市","从化区"
"B0H2N1LGOD","商场","购物服务;商场;普通商场","060102","[]","盛景南路与向阳南路一巷交叉口东北140米","113.597852","23.553527","113.59274834099779","23.556299875729422","[]","广东省","广州市","从化区"
"B0HGJMINQA","购物广场","购物服务;商场;普通商场","060102","[]","观景路东北40米","113.568427","23.512947","113.5632939800312","23.51570026262869","[]","广东省","广州市","从化区"
"B0H0VU319B","欣荣·广场A区A栋","购物服务;商场;普通商场","060102","[]","从城大道113号","113.589275","23.532923","113.58416759029234","23.535693831653933","[]","广东省","广州市","从化区"
"B0FFIVO5WA","欣荣广场","购物服务;商场;普通商场","060102","[]","海塱东路与海塱横街交叉口东北150米","113.589260","23.533024","113.58415257157026","23.535794826794014","020-37937566;020-37937888","广东省","广州市","从化区"
"B00141PQZ5","百惠佳购物商场","购物服务;商场;普通商场","060102","[]","中新镇福和市场侨港路11号","113.633200","23.359715","113.62809689741647","23.362479844697848","[]","广东省","广州市","增城区"
"B0FFL6OFBB","佰佳商场(福和市场店)","购物服务;商场;普通商场","060102","[]","中新镇福和市场2一4号","113.633626","23.360375","113.6285224268039","23.363139137212368","[]","广东省","广州市","增城区"
"B0FFGO2X9F","佰乐广场","购物服务;商场;普通商场","060102","[]","富安路58号","113.822960","23.301633","113.81788368078465","23.304334438685498","[]","广东省","广州市","增城区"
"B0FFGO0JMC","金园商业广场","购物服务;商场;普通商场","060102","[]","富鹏路与增派大道交叉口东南60米","113.823059","23.302520","113.81798288916137","23.305221385588542","[]","广东省","广州市","增城区"
"B00140M6UN","地王广场","购物服务;商场;普通商场","060102","[]","挂绿路6号","113.833039","23.289757","113.8279907639809","23.292480779140803","020-32851813","广东省","广州市","增城区"
"B00140W7P4","嘉禾广场","购物服务;商场;普通商场","060102","[]","中新镇广东农工商学院(中新地铁站A口步行200米)","113.613742","23.285050","113.60865678973215","23.287853171882798","[]","广东省","广州市","增城区"
"B0FFLJ3K7S","碧华商业广场","购物服务;商场;普通商场","060102","[]","山前旅游大道与南航大道北交叉口东200米","113.195330","23.480686","113.18993377373995","23.48322619828182","[]","广东省","广州市","花都区"
"B0FFFAJ271","东福百货","购物服务;商场;普通商场","060102","[]","[]","113.184790","23.469972","113.17937604521727","23.472494322286398","13450443793;13553928948","广东省","广州市","花都区"
"B0FFFEQC81","万福源百货","购物服务;商场;普通商场|购物服务;便民商店/便利店;便民商店/便利店","060102|060200","[]","丰盛街24号","113.224421","23.468411","113.21906387951543","23.470991040928716","020-86980908","广东省","广州市","花都区"
"B00141JUPG","东福百货广场(旗岭店)","购物服务;商场;普通商场","060102","[]","狮岭镇旗岭村富誉路","113.219614","23.469956","113.2142521593393","23.472531112895645","[]","广东省","广州市","花都区"
"B00141JVOG","惠美购物商场","购物服务;商场;普通商场|购物服务;超级市场;超市","060102|060400","[]","河滨西路10附近正东方向10号号米","113.224172","23.469029","113.21881461783694","23.471608764223337","[]","广东省","广州市","花都区"
"B0FFK50NVR","益群东福百货超市","购物服务;商场;普通商场|购物服务;超级市场;超市","060102|060400","[]","益和北路益群农贸市场","113.185053","23.469632","113.17963954620798","23.472154827636473","[]","广东省","广州市","花都区"
"B00141SX9O","阳光广场","购物服务;商场;普通商场","060102","[]","阳光北路55号","113.167080","23.468057","113.16163320893978","23.470546219334498","[]","广东省","广州市","花都区"
"B0FFLJC6OE","万虹商业休闲广场","购物服务;商场;普通商场","060102","[]","南航大道北万虹花园","113.186366","23.468149","113.18095502198986","23.470674325898962","[]","广东省","广州市","花都区"
"B0FFHA2ERQ","金海时代广场","购物服务;商场;普通商场","060102","[]","合成市场五街与新三社西路交叉口东40米","113.182682","23.454006","113.17726528462673","23.456525765200986","[]","广东省","广州市","花都区"
"B00141JAW0","银锣湾广场","购物服务;商场;普通商场","060102","[]","合成村南航大道东康健东路1号","113.184793","23.453352","113.17938018682788","23.455875707848943","[]","广东省","广州市","花都区"
"B0FFLKVT4Q","金威商业广场","购物服务;商场;普通商场","060102","[]","宝峰南路金威皮革箱包精品城","113.174441","23.460260","113.16900852380844","23.462763765557376","[]","广东省","广州市","花都区"
"B0H6RA80P0","狮岭城市","购物服务;商场;普通商场","060102","[]","金狮大道西与盘古中路交叉口东260米","113.158814","23.468759","113.1533520279525","23.47123279174787","[]","广东省","广州市","花都区"
"B0H6ODQZLW","万家好百货(花山店)","购物服务;商场;普通商场","060102","[]","花山镇两龙南街王志杭商住楼首二层","113.275432","23.452136","113.27007093045421","23.45471715296899","020-86848573","广东省","广州市","花都区"
