"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B00140CW66","从化区中医医院","医疗保健服务;综合医院;综合医院","090100","[]","镇北路21号","113.591328","23.550631","113.5862209519878","23.553402860612866","020-87936262;020-87939916","广东省","广州市","从化区"
"B00140J9KI","江埔街医院","医疗保健服务;综合医院;卫生院","090102","[]","街口街河东南路39号","113.596513","23.540541","113.59140963292504","23.54331349941302","020-87982714;020-87987223","广东省","广州市","从化区"
"B00140FSUP","广州市增城区中医医院","医疗保健服务;综合医院;综合医院","090100","[]","民生路50号增城广场东侧","113.821109","23.279413","113.81602916782387","23.282117218663345","020-82611100","广东省","广州市","增城区"
"B00140UFHZ","派潭医院","医疗保健服务;综合医院;综合医院","090100","[]","派潭大道中228","113.780428","23.491343","113.77523903020185","23.49394647815159","020-82821096;020-82828161","广东省","广州市","增城区"
"B00140HDXE","广州省工伤康复中心","医疗保健服务;综合医院;综合医院","090100","[]","温泉镇温泉东路117号","113.653844","23.653324","113.6486954311163","23.65604869568152","020-87830128;020-87830238","广东省","广州市","从化区"
"B00140W36X","良口镇工会职工服务站","医疗保健服务;综合医院;综合医院","090100","[]","新城路39号","113.734138","23.716981","113.72889305506634","23.719594325568274","020-87852133","广东省","广州市","从化区"
"B00140ULIZ","神岗卫生院","医疗保健服务;综合医院;卫生院","090102","[]","太平镇广从南路2134号","113.527741","23.481732","113.52250506047405","23.484401917002128","020-87825123;020-87826554","广东省","广州市","从化区"
"B00140UEYE","中新医院","医疗保健服务;综合医院;综合医院","090100","[]","中新镇新墩路12号","113.620903","23.284131","113.6158146816697","23.286928684133308","020-82866770","广东省","广州市","增城区"
"B0FFIZ5AR2","灌村卫生院","医疗保健服务;综合医院;卫生院","090102","[]","温泉镇石坑政通路92号","113.714085","23.579550","113.70885862843645","23.582161423770778","020-87891036","广东省","广州市","从化区"
"B0HRGK7BYV","广东省工伤康复医院","医疗保健服务;综合医院;综合医院","090100","[]","温泉东路115号","113.653845","23.653325","113.64869642959232","23.656049694058535","[]","广东省","广州市","从化区"
"B00140ULJF","广州市增城区中新镇福和卫生院","医疗保健服务;综合医院;卫生院","090102","[]","朱福路15号","113.637470","23.355257","113.63236267839984","23.35801683193388","020-82831004;020-82833211","广东省","广州市","增城区"
"B0FFFH0B5F","南方医科大学第五附属医院","医疗保健服务;综合医院;三级甲等医院","090101","[]","从城大道566号","113.573287","23.549940","113.56815961204227","23.55269934102732","020-61780030;020-87912554","广东省","广州市","从化区"
"B00141J9H7","小楼卫生院","医疗保健服务;综合医院;卫生院","090102","[]","小楼镇腊圃小学西南(380省道北)","113.789003","23.415997","113.78383568140572","23.418617886365425","020-82844380","广东省","广州市","增城区"
"B0FFGIW5TV","广州市从化区温泉镇卫生院","医疗保健服务;综合医院;卫生院","090102","[]","龙泉路12号","113.668086","23.601003","113.66291918703206","23.603694612601302","020-87831906;020-87838120","广东省","广州市","从化区"
"B0FFGYOD61","良口镇医院","医疗保健服务;综合医院;综合医院","090100","[]","新城南路与新城街交叉口西南160米","113.734137","23.716540","113.7288920852064","23.719153224598507","[]","广东省","广州市","从化区"
"B0IDKHJCHY","从化区中医医院(建设中)","医疗保健服务;综合医院;综合医院","090100","[]","江埔街G105国道与迎宾大道路口东南侧","113.621416","23.563677","113.61630883532023","23.566438623049404","[]","广东省","广州市","从化区"
