"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B0FFF2LMY7","香港街时尚生活购物中心","购物服务;商场;购物中心|公司企业;公司;公司","060101|170200","[]","望成路16号-2附近","113.181936","23.448118","113.17651831496255","23.450636952184517","[]","广东省","广州市","花都区"
"B00140UFHI","太子城","购物服务;商场;购物中心","060101","[]","田心路","113.167886","23.456572","113.16244149837358","23.45906368356772","020-86918105","广东省","广州市","花都区"
"B0FFI5H7IB","花都区联合广场","购物服务;商场;购物中心","060101","[]","狮岭镇宝峰南路6-11号","113.174565","23.463471","113.16913253638636","23.465974734264908","020-86933888","广东省","广州市","花都区"
"B0FFKKK3XN","融创茂","购物服务;商场;购物中心","060101","[]","凤凰北路63号","113.232409","23.426934","113.22706056361085","23.42952450573477","020-36899782;020-36899783;4006332888","广东省","广州市","花都区"
"B0HAN1O876","快乐购生活购物中心(金狮大道东店)","购物服务;商场;购物中心","060101","[]","团结村中街与团四新村五街交叉口东南80米","113.177965","23.464016","113.17253886105814","23.466526102365624","[]","广东省","广州市","花都区"
"B0FFI69TM2","富力环球商品贸易港","购物服务;商场;购物中心","060101","[]","平步大道中","113.195718","23.428523","113.19032597863307","23.431068645093237","020-37738777","广东省","广州市","花都区"
"B0FFI0OVUT","福达广场","购物服务;商场;购物中心","060101","[]","凤凰北路与平步大道交汇处西侧","113.233625","23.423433","113.2282774877589","23.426024717800544","020-86892668","广东省","广州市","花都区"
"B0FFL8L6UC","花都迎宾广场","购物服务;商场;购物中心","060101","[]","三东大道83号","113.217919","23.411990","113.21255928798783","23.41456956382984","020-36991668","广东省","广州市","花都区"
"B0FFGG7UTM","OMG(集合店)","购物服务;商场;购物中心|购物服务;商场;普通商场","060101|060102","[]","迎宾大道85号(中西医结合医院旁)","113.215504","23.401250","113.2101422800792","23.403828374064002","[]","广东省","广州市","花都区"
"B0HGZ73ISY","花都雅乐城","购物服务;商场;购物中心","060101","[]","秀全街道永发路14-49号汇通广场(天猫小店对面)","113.189375","23.423192","113.18397245717969","23.42572736497983","020-36980089;020-37733905","广东省","广州市","花都区"
"B00140WERS","光之彩天幕城","购物服务;商场;购物中心","060101","[]","百寿路喜力登饮食风情街C9-12号附近","113.238884","23.403823","113.2335401360315","23.406420196315707","[]","广东省","广州市","花都区"
"B00141R9N9","百业商业文化中心","购物服务;商场;购物中心|购物服务;服装鞋帽皮具店;服装鞋帽皮具店|购物服务;超级市场;超市","060101|061100|060400","[]","公益路27号","113.217194","23.400389","113.21183427298914","23.40296950174538","[]","广东省","广州市","花都区"
"B00140V2SP","国华购物中心","购物服务;商场;购物中心","060101","[]","商业大道15号","113.207961","23.375248","113.2025913768783","23.377821015578522","[]","广东省","广州市","花都区"
"B00140H6HL","佰乐购物广场","购物服务;商场;购物中心","060101","[]","新华镇建设北路133号","113.206097","23.404133","113.2007227838825","23.40669837415252","[]","广东省","广州市","花都区"
"B00140A6D7","心心购物广场","购物服务;商场;购物中心","060101","[]","宝华路36号(花果山公园地铁站C口步行480米)","113.215000","23.389032","113.20963851515863","23.391611786601146","[]","广东省","广州市","花都区"
"B00141RDXZ","骏壹万邦","购物服务;商场;购物中心","060101","[]","曙光大道81号","113.226622","23.405835","113.22127097505926","23.408424118628076","020-36890281","广东省","广州市","花都区"
"B00140B8G7","万和百货","购物服务;商场;购物中心","060101","[]","江埔镇","113.596164","23.544795","113.59106018659882","23.547567565310775","020-87977018","广东省","广州市","从化区"
"B00140AXVL","新世纪广场","购物服务;商场;购物中心","060101","[]","街口街东成路68号","113.588941","23.547770","113.58383233156937","23.55054096535431","020-87930888;020-87935808","广东省","广州市","从化区"
"B00141S2BO","东汇城","购物服务;商场;购物中心","060101","[]","荔城街府佑路98号","113.818844","23.284194","113.81375778780537","23.286892600254905","13143710087","广东省","广州市","增城区"
"B001409C6F","挂绿广场","购物服务;商场;购物中心","060101","[]","挂绿路2号","113.833252","23.290995","113.82820425861824","23.29371883148302","020-82723838","广东省","广州市","增城区"
"B00141KFSW","广州增城万达广场","购物服务;商场;购物中心","060101","[]","增城大道69号","113.815083","23.275833","113.80998737474474","23.278527102580696","020-26216998;020-32838222;020-32838666","广东省","广州市","增城区"
"B00140WBA9","东汇城2期","购物服务;商场;购物中心","060101","[]","荔城街观翠路10号106房","113.819518","23.285226","113.8144335198216","23.28792555908761","[]","广东省","广州市","增城区"
"B00140UE3K","美佳购物广场","购物服务;商场;购物中心","060101","[]","九龙镇镇龙新市场","113.583016","23.278398","113.57791953473306","23.281203668227743","[]","广东省","广州市","黄埔区"
"B00141Y0H1","好又新购物广场(中新店)","购物服务;商场;购物中心","060101","[]","中新镇学园路6号好又新一楼","113.618868","23.287484","113.6137805639854","23.29028255329472","020-26222228;17620090680","广东省","广州市","增城区"
"B0FFLA0C8F","金地香山湖花溪小镇","购物服务;商场;购物中心","060101","[]","永宁街金地香山湖旁香景花园","113.611460","23.226777","113.60637920557188","23.229599880757085","[]","广东省","广州市","增城区"
"B0IU151ZK2","8号仓流溪河奥莱小镇","购物服务;商场;购物中心","060101","[]","太平镇神岗社区广从南路2231号(地铁14号线神岗站)","113.519295","23.477407","113.5140313572917","23.480053632282747","[]","广东省","广州市","从化区"
"B0FFL5OW4R","雪松菁英汇(建设中)","购物服务;商场;购物中心","060101","[]","新城大道与爱民大道交叉口北40米","113.816578","23.261928","113.81148723877841","23.264629052589964","020-87258888","广东省","广州市","增城区"
"B0FFHISC5I","天成购物广场","购物服务;商场;购物中心|购物服务;超级市场;超市","060101|060400","[]","均禾街长红村双和庄东路8号","113.308608","23.264611","113.3032079997008","23.267184338172797","020-36520223;13412219948","广东省","广州市","白云区"
"B00140UDA8","永福购物广场","购物服务;商场;购物中心","060101","[]","106国道旁","113.272532","23.230496","113.26718890965897","23.233129304302132","020-86327293","广东省","广州市","白云区"
"B0FFI7P6NT","嘉禾金铂天地","购物服务;商场;购物中心","060101","[]","鹤龙二路85号","113.281483","23.239108","113.27612924820679","23.24172962896636","4008160388","广东省","广州市","白云区"
"B0FFG3VFJR","君悦住宿(广州永兴店)","购物服务;商场;购物中心|住宿服务;旅馆招待所;旅馆招待所","060101|100200","[]","永兴村上圳街37号","113.326867","23.268648","113.3214298835969","23.271186205057226","13719082098","广东省","广州市","白云区"
"B00141WHA2","钟兴商业广场","购物服务;商场;购物中心","060101","[]","钟落潭钟升路48号","113.402267","23.380174","113.39672476908841","23.382590901363933","020-87400822","广东省","广州市","白云区"
"B0FFHD8PWO","庆达广场","购物服务;商场;购物中心","060101","[]","广从公路1002号","113.410320","23.380023","113.4047802980444","23.382441383864975","[]","广东省","广州市","白云区"
"B0FFGBS7AB","利涛购物中心","购物服务;商场;购物中心","060101","[]","江高镇高田大街3号","113.210227","23.270509","113.20486754272369","23.273110996638867","18620630190","广东省","广州市","白云区"
"B0FFHIDL7K","美登天下购物中心","购物服务;商场;购物中心","060101","[]","罗岗商山南街罗岗广场","113.270426","23.244866","113.26508390544018","23.247496249722527","[]","广东省","广州市","白云区"
"B0FFICXO9M","双城荟D区","购物服务;商场;购物中心","060101","[]","新顺路与集慧街交叉口南200米","113.296505","23.229550","113.2911294121733","23.232154662574295","020-62181107","广东省","广州市","白云区"
"B0FFL05WAM","利涛购物中心(罗岗村农贸综合市场店)","购物服务;商场;购物中心|购物服务;商场;普通商场","060101|060102","[]","洞隐街2号罗岗村农贸综合市场2楼","113.271941","23.249096","113.26659722272953","23.2517236921654","[]","广东省","广州市","白云区"
"B001423HUS","平沙商贸广场","购物服务;商场;购物中心","060101","[]","平沙村松园中西街23号","113.258134","23.247670","113.25279986597452","23.250306009568202","[]","广东省","广州市","白云区"
"B0FFI3DC7S","潮世界","购物服务;商场;购物中心","060101","[]","太和镇大源北路46号","113.358691","23.261989","113.35319344465356","23.264472204562818","020-87436368","广东省","广州市","白云区"
"B0FFFFLQUU","金铂广场(清湖店)","购物服务;商场;购物中心","060101","[]","清湖商业街2号","113.271867","23.257432","113.2665227304102","23.260057115919984","020-36533989","广东省","广州市","白云区"
"B00141U9ID","金铂广场(龙归店)","购物服务;商场;购物中心","060101","[]","鹤龙三路117号","113.294089","23.267458","113.28871487250525","23.270054157317798","020-66615899","广东省","广州市","白云区"
"B0FFFS6NKC","家宜多购物中心","购物服务;商场;购物中心","060101","[]","夏花三路109号C22号","113.232434","23.274603","113.2270958824029","23.277226332898","[]","广东省","广州市","白云区"
"B0FFK867BH","太和金铂天地","购物服务;商场;购物中心","060101","[]","太营路与大沥路交叉口东南160米","113.351761","23.294002","113.34627310032158","23.29648704443685","[]","广东省","广州市","白云区"
"B0FFJN9OA6","云门New Park","购物服务;商场;购物中心|购物服务;商场;普通商场","060101|060102","[]","百顺北路1号(嘉禾望岗地铁站A口步行500米)","113.291826","23.236921","113.2864575804884","23.23953012155749","020-36229888","广东省","广州市","白云区"
"B0FFFPLIAQ","亿达广场","购物服务;商场;购物中心","060101","[]","夏花三路103号","113.235280","23.274508","113.22994340390358","23.27713305576606","020-86203333;18922138288","广东省","广州市","白云区"
"B00140V427","星光PLUS","购物服务;商场;购物中心","060101","[]","建设北路72号","113.204644","23.386282","113.19926888437193","23.38884818525664","020-86828828","广东省","广州市","花都区"
"B00141RG9T","花都广百广场","购物服务;商场;购物中心","060101","[]","龙珠路41号","113.232490","23.398165","113.22714356178699","23.40075971311836","020-36928848;020-37712201","广东省","广州市","花都区"
"B0FFFSCFNU","花都湖百花商业广场","购物服务;商场;购物中心","060101","[]","百花汇购物中心天贵路46号F2","113.223163","23.379662","113.21781077202391","23.38225238721311","[]","广东省","广州市","花都区"
"B00141IBD5","华侨商业城","购物服务;商场;购物中心","060101","[]","公益路6-4号","113.218962","23.393986","113.21360463437722","23.39656953664069","[]","广东省","广州市","花都区"
"B0HKJAV9PW","天河城奥莱公园","购物服务;商场;购物中心","060101","[]","迎宾大道173号(清布地铁站C口步行50米)","113.251698","23.378697","113.24635693428023","23.38130065631603","[]","广东省","广州市","花都区"
"B0FFLBYD07","顺兴隆汉塘购物中心","购物服务;商场;购物中心|购物服务;便民商店/便利店;便民商店/便利店","060101|060200","[]","汉塘南路与汉塘东路交叉口南60米","113.329420","23.377366","113.32397018152682","23.37987250963558","[]","广东省","广州市","白云区"
