标题,行政区,地标,具体位置,地址,建筑面积/平方米,总价(万),每平方米价格(元),等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
（21.8万总价，包含所有费用）南沙万达喜茶旺铺.业主急售,南沙,金洲,购物百货中心?1层,南沙万达广场(商业),45.0,21.8,4844.44,"""购物""",113.5388069489055,22.80086053063865,113.54526999926661,22.80704909903823
（本人今天是寿星 坚持上岗带客）京溪门面街边铺（全城接送）,白云,白云大道南,临街门面?1层,德胜大厦商铺,18.0,36.0,15500.0,"""地产小区""",113.33669180244927,23.186521684145207,113.34327959069842,23.19219070431761
(律师已公证!)新塘万达金街旺铺 业主急售 带租(益和堂),增城,荔城中区,购物百货中心?1层,新塘万达广场,30.0,15.8,5266.67,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
天河区天润路高端住宅底商出售 品牌地产中介租约,天河,龙口东,临街门面?1层,天润路商铺,142.18,1422.0,100000.0,"""道路""",113.3457790609852,23.149019763660687,113.35233469697035,23.154692998744897
（本人今天是寿星 坚持上岗带客）京溪门面街边铺（全城接送）,白云,白云大道南,临街门面?1层,德胜大厦商铺,18.0,36.0,2.0,"""地产小区""",113.33669180244927,23.186521684145207,113.34327959069842,23.19219070431761
(真实在售，就此一间)番禺永旺临街星巴克 一次性买断过户!,番禺,番禺广场,购物百货中心?1层,永旺梦乐城(番禺)商铺,35.0,25.8,10000.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
天河商业地标！太古汇（大品牌商家在租 月租1万9）产权清晰！,天河,龙口东,商业街店铺?1层,太古汇(商业),30.0,15.9,15500.0,"""购物""",113.33896083233617,23.14018415687486,113.34551327447925,23.145841197766456
买它!买它!投姿金饭碗 番禺永旺本地业主出售coco铺位!,番禺,万博,购物百货中心?1层,永旺梦乐城(番禺)商铺,30.0,30.0,20900.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
万达广场星巴克.月收2万（总价38.8万全包）万博CBD旺铺,番禺,万博,临街门面?1层,番禺万达广场(商业),25.0,38.8,15300.0,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
（一口价62.8万产权过户）天河城一楼星巴克旺铺.现租两万,天河,石牌,购物百货中心?1层,广州天河城广场,30.0,62.8,17000.0,"""购物""",113.33135173551642,23.141077007344327,113.33789777042748,23.146767932332194
(捡漏)白云万达(星巴克)现经营中 带租约出售包过户,白云,白云万达,购物百货中心?1层,白云万达广场(商业),42.0,8.8,17300.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
(真实在售，就此一间)番禺永旺临街星巴克 一次性买断过户!,番禺,番禺广场,购物百货中心?1层,亚运大道1号,25.0,20.8,15900.0,"""门址""",113.39430839919581,22.945023591880525,113.40076153876892,22.951352612907536
市中心位置（产权清晰无抵押）万菱汇星巴克 一口价68万可小刀,天河,体育西路,购物百货中心?1层,万菱汇商铺,40.0,68.0,12900.0,"""NoClass""",113.33676510417887,23.138364624149206,113.34331577918144,23.14402585647446
带租2万（总价68万买断过户）急售 万菱汇旺铺 现租喜茶,天河,体育西路,购物百货中心?1层,天河路230-232号,20.0,68.0,12700.0,"""门址""",113.33651214134733,23.138043600852624,113.34306251723686,23.143705594486204
产权清晰无抵押！龙洞步行街 主街旺铺 客流集中 带租1万8卖,天河,龙口东,商业街店铺?1层,龙洞步行街,22.0,35.0,85300.0,"""道路""",113.37309500441525,23.200781806014115,113.37960032807261,23.206840070301579
急售一口价买断！南岗万达广场 茶救星球带租急售 业主爽快,黄埔,南岗,购物百货中心?1层,南岗万达广场,35.0,34.8,23500.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
震惊！珠影星光城星巴克 业主急售 可小刀！总价38.8买断,海珠,客村,临街门面?1层,珠影星光城,30.0,38.8,19600.0,"""购物""",113.32781106435002,23.10038402134659,113.33436633010102,23.106110878973664
急售 （一口价38万全包）花都融创茂 喜茶店 .旺铺带租约,花都,新区,购物百货中心?1层,"平步大道,近凤凰北路",30.0,38.0,13200.0,"""道路""",113.24068279601612,23.41664123038522,113.24723071055276,23.422485092868283
海珠区工业大道中地铁口金碧花园底商月收入26万低售4800万,海珠,江燕路,社区底商?1层,工业大道中商铺,563.0,4800.0,10300.0,"""道路""",113.18289291613675,23.37265734337801,113.18934802394655,23.378776796567786
买它！现租2万（客村地铁口.星巴克旺铺）58.8万包红本过户,海珠,客村,临街门面?1层,珠影星光城,25.0,58.8,15600.0,"""购物""",113.32781106435002,23.10038402134659,113.33436633010102,23.106110878973664
（证件齐全）萝岗万达金街（一点点）网红打卡地 带租约,黄埔,大沙地,商业街店铺?1层,萝岗万达广场(商业),30.0,58.8,26000.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
（一口价28.8万买断过户）超大门面，新塘万达广场临街旺铺,增城,荔城中区,购物百货中心?1层,增城万达广场(商业),30.0,28.8,17500.0,"""区县""",113.81754566889598,23.266592400631393,113.82410223904444,23.272251176865617
（39.6万总价，包含所有费用）南沙万达KFC旺铺.业主急售,南沙,金洲,临街门面?1层,南沙万达广场(商业),30.0,39.6,16400.0,"""购物""",113.5388069489055,22.80086053063865,113.54526999926661,22.80704909903823
（总价30.8万买断产权包过户）南岗万达喜茶笋铺！带租1万8,黄埔,南岗,购物百货中心?1层,南岗万达广场,30.0,30.8,15200.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
黄埔！万达广场（全新一手 明火金街铺）开发商价50万全包,黄埔,南岗,临街门面?1层,南岗万达广场,32.0,50.0,30000.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
急售 （一口价78万全包）花都融创茂 喜茶店 .旺铺带租约,花都,新区,购物百货中心?1层,融创茂,30.0,78.0,11900.0,"""购物""",113.23968666503643,23.432490310321727,113.24624222650445,23.438319665274109
35.8万买断产权（政府人员放盘）南岗万达网红喜茶铺位带租约,黄埔,南岗,购物百货中心?1层,南岗万达广场,38.0,35.8,17100.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
（来电优惠！）（开发商直售 免中介费）南岗万达商铺 无忧收租,黄埔,南岗,购物百货中心?1层,康富路16号,40.0,38.8,13200.0,"""门址""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
(同学委托出售越秀老神铺)区庄地铁口 即买即收 租金稳定,越秀,公园前,临街门面?1层,环市东路,20.0,35.0,15200.0,"""道路""",113.41392811017166,23.127790718181669,113.42035690788546,23.134040452696515
(首付五成买断 万达旺铺)业主急售 租金稳定 带租(星巴克),黄埔,南岗,购物百货中心?1层,南岗万达广场,25.0,41.0,36000.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
(万达金街现铺)南岗万达开发商直售 内部价38万 随时可看!,黄埔,南岗,商业街店铺?1层,南岗万达广场,25.0,38.0,12700.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
