标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
学校风味街，7字位，性价比超高,从化,街口中心区,商业街店铺?1层,从化商贸城环市东路商铺,35.0,7500.0,7.14,"""NoClass""",113.60825862943833,23.53569376986267,113.61477940023018,23.54166570827301
免租期长，餐饮美食优先,从化,街口中心区,购物百货中心?1层,欣荣宏国际商贸城,100.0,1.2,4.0,"""NoClass""",113.59749513429455,23.537686443893834,113.60405378758785,23.5434821568574
食堂开店 两个人可开，提供档口选址选址，提供设备技术，开学干,从化,街口中心区,档口摊位?1层,广州华夏职业学院,30.0,5000.0,5.56,"""教育""",113.52277039894668,23.584002989120635,113.52919631520432,23.59033913410292
从化一大学食堂档口招租 一个食堂 有业态保护,从化,街口中心区,档口摊位?1层,从化百货大厦,30.0,6000.0,6.67,"""NoClass""",113.59622367267615,23.55437665628931,113.60278940857518,23.560155560095038
从化餐饮转让（可空转）温泉度假区 周边多个温泉别墅度假酒店,从化,温泉,临街门面?1层,南溪路-广州市从化区,160.0,7000.0,1.46,"""道路""",113.66432906421484,23.648457463000744,113.67081669689499,23.65455897830009
餐饮，零售，美容美发,从化,街口中心区,购物百货中心?1层,欣荣宏国际商贸城,61.0,7500.0,4.1,"""NoClass""",113.59749513429455,23.537686443893834,113.60405378758785,23.5434821568574
广州城建技术学院出租转让食堂窗口可做各类特色小吃3W,从化,太平镇,档口摊位?1层,广州城建职业学院,45.0,6500.0,4.81,"""教育""",113.61683798751231,23.53053502903484,113.62332351307622,23.536656600738806
碧桂园1960自有商铺物业,从化,街口中心区,商业街店铺?1层,碧桂园从化1960,343.62,5.0,4.85,"""地产小区""",113.59953797085412,23.556165999600539,113.6060933466718,23.56199236180541
业主直租/售从化街口碧桂园1960社区底商,从化,街口中心区,社区底商?1层,碧桂园从化1960,500.0,5.0,3.33,"""地产小区""",113.59953797085412,23.556165999600539,113.6060933466718,23.56199236180541
105国道边，一线旺铺，夏湾拿路口往广州方向150米,从化,太平镇,临街门面?1层,太平水南大塘边横街,70.0,2500.0,1.19,"""道路""",113.49475260942192,23.477882865501088,113.50121948863567,23.483963458778157
