标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
南沙旺铺（欧尚门窗窗帘）可空转 低价急转！临街人流密老客户多,南沙,南沙湾,临街门面?1层,欧尚门窗窗帘-广州市南沙区,51.0,5500.0,3.59,"""购物""",113.55180731607217,22.79675874233066,113.55831046634538,22.80272588907658
南沙区环港路美容店低价急转！老客户多 人流量大 交通便利,南沙,金洲,临街门面?1层,朗月清风-广州市南沙区,80.0,5000.0,2.08,"""区县""",113.5314355437236,22.807929296528255,113.53788693206865,22.81421222755769
可以美团外卖24小时情趣生活馆，无需人工看管020模式可副业,南沙,金洲,社区底商?1层,广东省广州市南沙区富佳南街21,20.0,1350.0,2.25,"""门址""",113.55822454114167,22.80684349036907,113.56475997989917,22.81270265729213
南沙珠光御景小区底商美容院整店转让D,南沙,金洲,商业街店铺?1层,美宜佳(珠光御景店)-广州市南沙区,160.0,6500.0,1.35,"""购物""",113.55223041796723,22.803876613877177,113.55874234205189,22.809837714736174
太石商业街十年餐饮老店转让门头大生意稳定门口可停车D,南沙,东涌,临街门面?1层,太南路86号-,300.0,2.8,3.11,"""门址""",113.41186766682411,22.89269090325699,113.41829241606706,22.89896362057347
南沙金州板头市场人气旺铺转让，精装修，无行业限制，位置优越。,南沙,金洲,商业街店铺?1层,颜味烘焙坊,50.0,9000.0,6.0,"""餐饮""",113.55464721911048,22.796683861836156,113.56116030890073,22.802601104368347
广州南沙区铺面空转！交通便利 商圈密集 消费能力强 客源无忧,南沙,金洲,临街门面?1层,安可动物医院24小时-广州市南沙区,42.0,4000.0,3.17,"""生活服务""",113.5426206151163,22.798711617599058,113.54909351876658,22.804839714838914
南沙金茂湾临街转角位出租DD,南沙,金洲,写字楼配套?1层,南沙金茂湾-广州市南沙区,138.0,7800.0,1.88,"""地产小区""",113.5274810232089,22.786840671106558,113.5339053729401,22.793152955175619
1113方整层招租 可上下水 整层写字楼出租 物业直租,南沙,黄阁,写字楼配套?7层,恒喆写字楼招商中心-广州市南沙区,1113.0,5.01,1.5,"""商务大厦""",113.51342865045986,22.825867609280878,113.51988333633648,22.832192040560036
南沙宵夜一条街13年老店 餐饮美食餐馆 整店转让D,南沙,大岗,临街门面?1层,阳光城市广场-公交车站-广州市,160.0,1.38,2.87,"""购物""",113.40706101370292,22.80130996563723,113.41349857514742,22.80762746846901
南沙区皮肤管理美容院店铺转让出租,南沙,金洲,其他?10层,香江国际金融中心,59.0,1800.0,1.02,"""商务大厦""",113.55278323517789,22.79987270122589,113.55929303707855,22.805823206482797
主要道路临街商铺中炸鸡店，附近有超市，电影院，中介勿扰,南沙,大岗,临街门面?1层,兴业路82号,73.0,2900.0,1.32,"""门址""",113.40924946558559,22.803535962767947,113.41569253123385,22.8098377902811
南沙黄阁临街三层餐饮汉堡小吃店旺铺转让,南沙,黄阁,临街门面?1-3层,南京路与麒龙东路交叉口,280.0,9350.0,1.11,"""交叉路口""",113.5170486653587,22.831523852896728,113.52350053144446,22.837864276948439
自己刚开不久的零食拆店求合租或合伙做生意,南沙,东涌,商业街店铺?1层,广东省广州市南沙区富裕路44,180.0,1.0,1.85,"""门址""",113.46364545741882,22.857985218654023,113.47021484996515,22.863651425523519
出租南沙金洲商业街店铺,南沙,金洲,商业街店铺?1-3层,金洲地铁站,300.0,3000.0,0.33,"""商圈""",113.5504418018669,22.803408280846644,113.55694686495966,22.809401100437517
天玺湾一号门105铺楼上楼下两层！,南沙,进港大道,临街门面,碧桂园·天玺湾-1号门,120.0,6000.0,1.67,"""NoClass""",113.58386864818765,22.806614867798765,113.5904423252069,22.812282419513278
营业中的川菜餐厅急转，上下2层,南沙,榄核,临街门面,天府食家(榄核店),40.0,8500.0,7.08,"""餐饮""",113.34932089994878,22.839245084735749,113.35589877144439,22.84494823279221
经营中的中餐厅转让，其他发展，忍痛转让,南沙,榄核,临街门面,广东省广州市南沙区广场路148号,400.0,8500.0,0.71,"""门址""",113.35033382924149,22.83970571584653,113.35690968859336,22.845417690933468
粥多点粥铺急转，回家有事，中介勿扰,南沙,东涌,商业街店铺?1层,锦绣新城-一期,100.0,2500.0,0.83,"""地产小区""",113.45941165372115,22.892593353363325,113.46596087394141,22.898249217328599
临街旺铺出租，免顶手费,南沙,大岗,临街门面,万安小区,40.0,3000.0,2.5,"""地产小区""",113.41305100467202,22.813503024758984,113.41951066755147,22.819769429430374
转让南沙进港大道临街门面,南沙,进港大道,临街门面?1-2层,玺麦烘焙(天玺湾店),90.0,4300.0,1.59,"""地产小区""",113.58573146432306,22.807758060056324,113.59230457709394,22.813434087863965
餐饮店生意转让，接手即可营业。市场门口位置，中介勿扰。,南沙,东涌,临街门面,小乌公园,70.0,4000.0,1.9,"""旅游景点""",113.43650971407404,22.869260078656685,113.44302351086255,22.875144475697238
烤肉店转让！地铁站旁地理位置超好,南沙,进港大道,商业街店铺?2层,万食汇美食广场,200.0,3.0,5.0,"""餐饮""",113.54574132845694,22.797880029031007,113.55222403170974,22.803954921567457
金洲地铁站旁，万食汇2楼转租,南沙,金洲,商业街店铺?2层,万食汇美食广场,180.0,2.1,3.89,"""餐饮""",113.54574132845694,22.797880029031007,113.55222403170974,22.803954921567457
清货公司免费上门评估高价承接超市百货、商场等短期清货,南沙,进港大道,商业街店铺?1层,南沙中心市场,100.0,5000.0,1.67,"""购物""",113.58373893287205,22.750436340863716,113.59029568929606,22.756100057384108
空间大，交通便利，周边覆盖人流量,南沙,金洲,商业街店铺,裕兴花园-步行街入口,85.0,9500.0,3.73,"""地产小区""",113.55546081441058,22.80809953334974,113.56198818195553,22.814005069929899
临街，房产证齐全，房东直租,南沙,金洲,购物百货中心?1层,永隆七街,110.0,3500.0,1.06,"""道路""",113.54895959777594,22.788202606191765,113.55544451847223,22.794218874696143
星河壹号公馆临街商铺招租（可明火）,南沙,金洲,临街门面?1层,星河壹号公馆,63.59,5000.0,2.62,"""地产小区""",113.54968354218618,22.801990945091349,113.55618444916424,22.80799699908129
南沙金州皮肤管理美容院转让,南沙,金洲,写字楼配套,香江国际金融中心,59.0,1800.0,1.02,"""商务大厦""",113.55278323517789,22.79987270122589,113.55929303707855,22.805823206482797
南沙南沙湾中心出租一楼100平水电齐全带装修,南沙,南沙湾,商业街店铺?1层,广州南沙湾,100.0,1830.0,0.61,"""旅游景点""",113.61954224641866,22.769101939040554,113.62598993174594,22.77526131935113
南沙榄核附近一楼108平现成水电装修商铺出租,南沙,榄核,商业街店铺?1层,榄核镇,108.0,2170.8,0.67,"""乡镇""",113.34969504419357,22.844618017028688,113.35626907330853,22.850323697894934
南沙金洲商圈180平米铁皮商铺仓库出租,南沙,金洲,商业街店铺?1层,金洲,180.0,3564.0,0.66,"""商圈""",113.5504418018669,22.803408280846644,113.55694686495966,22.809401100437517
南沙黄阁附近一楼出租位于马路边  面积 120平,南沙,黄阁,商业街店铺?1层,黄阁,120.0,2304.0,0.64,"""乡镇""",113.5221609884889,22.827485550950205,113.52861238125679,22.833827848269107
对面是菜市场，附近有学校，医院……生话设施成,南沙,大岗,社区底商,翡翠蓝湾-东南门,100.0,4000.0,1.33,"""地产小区""",113.42802665582392,22.80875116193479,113.43452827154896,22.814788003071198
夜宵大排档烧烤店转让。,南沙,南沙湾,商业街店铺?1层,金岭南路,120.0,5500.0,1.53,"""道路""",113.56422270669091,22.7736685913525,113.57074976211448,22.77943382661751
旺铺转让，设备齐全接手即可营业。转让费面议,南沙,金洲,其他?1层,板头村,60.0,4200.0,2.33,"""村庄""",113.5552109058178,22.794960516155304,113.56172421914218,22.80086769048716
广州24小时自动售货超市 生意稳定 工作开店两不误,南沙,东升,临街门面?1层,广东省广州市南沙区广丰路,20.0,650.0,1.08,"""道路""",113.54556040972729,22.7940970025678,113.55203869190774,22.8001742772034
出租南沙进港大道临街门面,南沙,进港大道,临街门面?1层,琪辉大厦,200.0,1.5,2.5,"""商务大厦""",113.57904510692285,22.803157497542658,113.58561665748366,22.808817833997204
