标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
临街旺铺，二楼，之前是美容院,增城,新塘,临街门面?2层,群贤路223号,260.0,4900.0,0.63,"""门址""",113.61510488669249,23.12381178401407,113.62156798588646,23.12989802672073
转让增城凤凰城东门商业街临街门面,增城,凤凰城,临街门面?1-3层,坤倩美颜健康荟SPA,300.0,3.0,3.33,"""休闲娱乐""",113.59712655954394,23.142712319619887,113.60365447927619,23.148496472062495
位于新塘凤凰古站，位置中心。环境优美，交通方便,增城,凤凰城,商业街店铺,凤凰古站,294.0,3.54,4.01,"""乡镇""",113.39308472743054,23.204513712113628,113.39953383036468,23.210834740958395
五千户大楼盘 环境优美 六个包厢 一个大厅 非常适合商务宴请,增城,新塘,商业街店铺?1层,啜品·老酒·老茶·老朋友(新塘馆),500.0,2.5,1.67,"""购物""",113.59995999478257,23.10960802319836,113.60648533586138,23.115435083155476
增城 新塘 综合市场9年老店档口转让 档口摊位D,增城,新塘大道西,档口摊位?1层,艺轩图文广告-广州市番禺区,70.0,6300.0,3.0,"""NoClass""",113.38099344543966,23.05217473179408,113.3874674644527,23.058362260559315
为邻！科教城地铁口，独栋1500方靓铺,增城,朱村,商业街店铺,恒展江山时代,1500.0,8.25,1.83,"""地产小区""",113.66683788515145,23.283964380677085,113.67333041055056,23.290021409036514
增城新塘美发店低价急转！经营多年 老顾客多 口碑好 人口密集,增城,新塘,临街门面?1层,章陂村-广州市增城区,56.0,4500.0,2.68,"""村庄""",113.62115641158901,23.163690030602568,113.62762185066673,23.16987878014081
大型独栋商铺 可做健身房电影院超市 周边入住高 可联系我,增城,朱村,社区底商?1层,恒展江山时代,1300.0,10.4,2.67,"""地产小区""",113.66683788515145,23.283964380677085,113.67333041055056,23.290021409036514
增城养生馆整转，1楼门面2楼按摩共三层设备齐水站6000,增城,新塘,临街门面?1-3层,锦绣新天地-广州市增城区,150.0,3850.0,0.86,"""地产小区""",113.62934626292076,23.125013337000384,113.63576847031823,23.13129869521348
招商长久稳定的副业，一边上班一边开店入驻美团外卖无需人工值守,增城,永和,社区底商?1层,广东省广州市增城区月芳路17号,20.0,1150.0,1.92,"""门址""",113.6388311114753,23.36692182562087,113.64524180521849,23.373258127641475
广州增城美容院整转，店铺装修精美，附近人口密集人员旺地 客户,增城,新塘,临街门面?1层,美肌悦皮肤管理-广州市增城区,130.0,9000.0,2.31,"""休闲娱乐""",113.66371183849913,23.17209332459718,113.67020095777696,23.178205941677306
增城新塘餐饮店低价转让！周边商业街 人流密集 客源稳定,增城,新塘,临街门面?1层,新虹五金店-广州市从化区,60.0,2800.0,1.56,"""购物""",113.59620938961854,23.54691449947407,113.60277540759486,23.552693264049297
小区正门口头位商铺出租，幼儿园旁，视野开阔，门面显眼,增城,中新镇,社区底商?1层,侨建御溪谷商铺,64.0,1.6,8.33,"""地产小区""",113.61383719795721,23.289321950557434,113.62033244251835,23.295391854336704
增城区新塘镇餐饮店转让 白菜价出手 周边是工厂和居民区,增城,新塘,商业街店铺?1-2层,富荔路-道路-广州市增城区,130.0,4800.0,1.23,"""区县""",113.81754566889598,23.266592400631393,113.82410223904444,23.272251176865617
增城区港口大道现代城市花园小区门口养发馆美发店养生馆旺铺急转,增城,新塘,临街门面?1层,现代城市花园商铺,98.0,6000.0,2.04,"""地产小区""",113.61124891029218,23.13301247270557,113.61772502076012,23.139030803933808
增城区新塘餐饮店低价转让！人口密集 多住宅区商业区 稳定客源,增城,新塘,临街门面?1层,聚百川糖水铺(沙埔店)-广州市增城区,140.0,1.0,2.38,"""餐饮""",113.82273221541723,23.28051556002418,113.82930187188113,23.28617768812908
广州市增城 三层美容店低价整转！ 周边住宅区商业区 人流密集,增城,新塘,临街门面?1层,港隆花园商铺,180.0,3500.0,0.65,"""地产小区""",113.28062801660676,23.183462991069378,113.28707696058719,23.189806426570187
广州增城奶茶店转让！门口可外摆，人流量大，交通便利,增城,新塘,商业街店铺?1层,荔富广场-广州市增城区,15.0,4000.0,8.89,"""地产小区""",113.66235988870706,23.17462561258839,113.66884639523993,23.1807611797434
广州增城快餐店整转，附近商业圈稳定人口密集日营1500,增城,新塘,临街门面?1层,东坑五横路-道路-广州市增城区,60.0,3800.0,2.11,"""区县""",113.81754566889598,23.266592400631393,113.82410223904444,23.272251176865617
食堂急招 小本创业 快 生意稳定 人流量大 设备齐全,增城,荔城,档口摊位?1-3层,广东省轻工业技师学院(增城校区)-广州市增城区,29.0,3000.0,3.45,"""教育""",113.79562746361252,23.231348343901446,113.80213673266366,23.23724696279509
为邻！13所高校为靠山！好多学生仔！,增城,朱村,商业街店铺?1-2层,恒展江山时代,520.0,2.86,1.83,"""地产小区""",113.66683788515145,23.283964380677085,113.67333041055056,23.290021409036514
增城新塘建材市场楼上办公室急转，欢迎看店面谈,增城,新塘,写字楼配套?3层,奥园康威广场(商业),77.0,2000.0,0.87,"""NoClass""",113.6401316781922,23.15955177151601,113.64656174078886,23.1658925899789
增城 荔城 全新装修带小院商铺 出租 临街门面D,增城,荔城中区,临街门面?1层,荔城大道311号-,100.0,6000.0,2.0,"""门址""",113.79346901513385,23.29058398893835,113.7999919478485,23.296524432420996
广州增城养生馆修足低价转让，精装修租金便宜 附近住宅密人流大,增城,新塘,临街门面?1层,增城新塘镇夏埔开发区-广州市增城区,120.0,4100.0,1.14,"""乡镇""",113.62662790061792,23.125609747268265,113.63305576252948,23.1318665472085
增城区合汇广场美甲店转让！装修好 大量人流 租金便宜 老客多,增城,荔城,临街门面?1层,XIXILI·西西里美甲美睫-广州市增城区,40.0,3700.0,3.08,"""休闲娱乐""",113.82626399335908,23.290243004090905,113.83284015126357,23.295921776505517
增城新塘（桃园三章）奶茶店转让！广场，商业街围绕,增城,新塘,临街门面?1层,桃园三章(新塘大润发店)-广州市增城区,25.0,1.5,20.0,"""餐饮""",113.60798383925614,23.133411025175435,113.61447186586737,23.139371185381266
转让！新塘金大姐铁锅炖低价转让 ，商圈成熟，设备全新,增城,新塘,商业街店铺?1层,新新大道南-道路-广州市增城区,60.0,5000.0,2.78,"""道路""",113.61189757670071,23.130225147526639,113.61837109700056,23.136254966470458
正门口商铺出租，只有一个大门，幼儿园旁,增城,中新镇,社区底商?1层,侨建御溪谷商铺,34.0,8500.0,8.33,"""地产小区""",113.61383719795721,23.289321950557434,113.62033244251835,23.295391854336704
增城新惠路东方瑜伽南山丰景店转让！有生源带停车位口碑好精装修,增城,永和,社区底商?2层,东方瑜伽-广州市增城区,350.0,2.1,2.0,"""休闲娱乐""",113.81322472956386,23.294127224795159,113.8198034676311,23.299809748774654
档口转让 先到先得 人流量大 免租金 免进场费 日营7000,增城,新塘,档口摊位?1-3层,广州华商职业学院-广州市增城区,23.0,2000.0,2.9,"""教育""",113.79053200526995,23.262757998987828,113.79701856602165,23.26874534630714
广州增城理疗馆精装整转 位于小区出入口客源稳定周边住宅商业广,增城,新塘,临街门面?1层,李时珍艾疗馆(新新大道南店)-广州市增城区,45.0,4000.0,2.96,"""NoClass""",113.61200079200379,23.13304786640678,113.61847418611801,23.139079567751947
增城区新塘便利店低价转让！口碑好商圈稳定人流量大 阁楼棋牌室,增城,新塘,临街门面?1层,汇友便利店(东坑一横路店)-广州市增城区,55.0,2800.0,1.7,"""购物""",113.6175325573324,23.132144742484376,113.62398641665442,23.138271752719754
增城区餐饮店转让！商业街，大型住宅区和公寓，人流量大，可外摆,增城,新塘,商业街店铺?1层,悦茶-广州市增城区,45.0,5500.0,4.07,"""区县""",113.81754566889598,23.266592400631393,113.82410223904444,23.272251176865617
增城超市整转可空转两个门面可出租，17年老店日营5000,增城,新塘,临街门面?1层,邵白路-道路-广州市增城区,108.0,4500.0,1.39,"""区县""",113.81754566889598,23.266592400631393,113.82410223904444,23.272251176865617
高校食堂档口出租 设备齐全 无房租 无进场费 日营业六千,增城,荔城,档口摊位?1-3层,广东省华立技师学院(广州校区)-广州市增城区,21.0,3500.0,5.56,"""教育""",113.86786056896819,23.247653204249486,113.87428499817976,23.253924123392279
增城新塘大敦临街美发店养发馆旺铺转让，适合美容美发养生等面谈,增城,新塘大道东,临街门面?1层,乐家福广场,75.0,2750.0,1.22,"""购物""",113.66488852888625,23.13002682213905,113.67135058015373,23.136113010890996
增城区永和镇门窗店转让 临街旺铺 附近小区环绕居民密集,增城,永和,临街门面?1层,永宁街道-广州市增城区,70.0,6500.0,3.1,"""乡镇""",113.60018843387369,23.18351556308381,113.60674109049003,23.189351853789238
大型独栋商铺 可做大型超市电影院，周边入住高 可联系我看铺,增城,朱村,社区底商?1-2层,恒展江山时代,1500.0,12.0,2.67,"""地产小区""",113.66683788515145,23.283964380677085,113.67333041055056,23.290021409036514
长久稳定的副业，一边打游戏一边开店，入驻美团外卖，无需值守,增城,新塘,社区底商?1层,广东省广州市增城区迎祥路1号,20.0,850.0,1.42,"""门址""",113.83375927487077,23.292800078468046,113.84032396041403,23.298545923874369
长久稳定的副业，一边打游戏一边开店，入驻美团外卖，无需值守,增城,新塘,社区底商?1层,广东省广州市增城区迎祥路1号,20.0,850.0,1.42,"""门址""",113.83375927487077,23.292800078468046,113.84032396041403,23.298545923874369
