标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
豪装！花城里首层旺铺386平 餐饮摄影书法棋牌沐足密室等,天河,天河客运站,写字楼配套?1层,银龙商务大厦(商业),386.0,1.93,1.67,"""商务大厦""",113.34261325270798,23.17397817607827,113.34919521907725,23.179644003523376
直租！可办证！天河珠江新城热门商圈外卖厨房档口美团,天河,猎德,档口摊位?2层,兴盛路,25.0,7000.0,9.33,"""道路""",113.29045979074911,23.349001744393399,113.29689109406583,23.355290072402956
客运站首层旺铺578平租金50起 餐饮酒吧密室舞蹈娱乐场所,天河,天河客运站,写字楼配套?1层,银龙商务大厦(商业),578.0,2.89,1.67,"""商务大厦""",113.34261325270798,23.17397817607827,113.34919521907725,23.179644003523376
体育西独栋800方招汽车展厅 银行 医美 名酒庄 眼科口腔,天河,体育西路,临街门面?1层,兴业银行大厦(商业),800.0,30.0,12.5,"""商务大厦""",113.32643306369816,23.140081886189667,113.3329687644408,23.14582068280007
首层旺铺775平低价出租 可做餐饮教育培训家政书法棋牌沐足等,天河,天河客运站,写字楼配套?1层,天河·新天地-广州市天河区,775.0,3.88,1.67,"""购物""",113.35046399370985,23.1776499587794,113.35703898691551,23.183362880444358
客运站1000平旺铺可分租 客流火爆稳定 棋牌餐饮健身教育等,天河,天河客运站,写字楼配套?2层,银龙商务大厦(商业),1000.0,5.0,1.67,"""商务大厦""",113.34261325270798,23.17397817607827,113.34919521907725,23.179644003523376
天河区棠东BRT站台！牌坊口沿街商铺！真实价格！真实图片！,天河,棠东,临街门面?1层,棠东村-广州市天河区,50.0,1.6,10.67,"""区县""",113.36850942427998,23.13035783510465,113.37499524166586,23.13632732049535
天河黄村主街道进村出入口 适合杀猪粉螺蛳粉重庆小面麻辣烫水饺,天河,黄村,商业街店铺?1层,粤安工业园(商业),50.0,1.6,10.67,"""工业园区""",113.4155133499046,23.131641499558236,113.42194609231484,23.137871555141403
珠江新城现成医美装修1378方招医美 眼科口腔 干细胞,天河,岗顶,临街门面?1层,高志大厦(商业),1378.0,16.54,4.0,"""商务大厦""",113.34651917489464,23.131624051775178,113.35306504034526,23.137299645746724
证件齐全快至三天开业！业主直租可明火大丰窝天河棠下外卖厨房,天河,棠下,商业街店铺?1层,乐天棠德广场,20.0,1900.0,3.17,"""购物""",113.3883281099262,23.1382300337313,113.39475345462243,23.14450499379496
天河太古汇临街800方招医美 银行 眼科口腔 汽车展厅,天河,龙口西,临街门面?1层,太古汇商铺,800.0,38.0,15.83,"""购物""",113.33896083233617,23.14018415687486,113.34551327447925,23.145841197766456
天河北Ycc天宜时尚潮流餐饮购物,天河,林和,购物百货中心?1层,林和东路,250.0,6.25,8.33,"""道路""",113.33484165242155,23.15111088043083,113.3413997927745,23.156781405627954
村口商铺！粤安工业园！适合杀猪粉牛杂煲仔饭水饺重庆小面砂锅粥,天河,黄村,临街门面?1层,黄村南路商铺,50.0,1.5,10.0,"""道路""",113.42248033794604,23.128842596548734,113.42893415807035,23.134969146074025
天河北1200方招餐饮 医美 眼科口腔 会所 潮菜 日料,天河,林和,商业街店铺?1层,中国市长大厦(商业),1200.0,11.0,3.06,"""宾馆""",113.32921691247266,23.147773152604257,113.3357638725739,23.15348353946254
可以美团外卖24小时情趣生活馆，无需人工看管020模式可副业,天河,珠吉,临街门面?1层,广东省广州市天河区天朗路299号,20.0,1200.0,2.0,"""门址""",113.39813464168377,23.133506737410067,113.40454630444758,23.139841379795919
珠江新城西餐厅装修1175方招粤菜 东南亚 客家菜 日料,天河,珠江新城中,商业街店铺?1层,珠江新城站地铁(商业),1175.0,23.5,6.67,"""商圈""",113.33991222770148,23.12490341043514,113.34646269850316,23.130559537506728
东圃大马路靓铺出租，位置好发展空间大消费能力强,天河,东圃,购物百货中心?2层,东圃购物中心,600.0,8.4,4.67,"""购物""",113.409189368947,23.1269200457251,113.41560852277672,23.13321769981077
忍痛割爱人流很大，高消费,天河,天河公园,商业街店铺,手工牛肉拉面(冼村店),55.0,1.5,9.09,"""餐饮""",113.33562066295953,23.13334779856588,113.34216895031673,23.139012752713957
东圃大马路78平方临街旺铺,天河,东圃,购物百货中心?1层,东圃购物中心,78.0,7.02,30.0,"""购物""",113.409189368947,23.1269200457251,113.41560852277672,23.13321769981077
珠江新城高端写字楼底商24米门面带外摆 行业不限,天河,珠江新城中,写字楼配套?1层,珠江新城站地铁(商业),118.0,5.2,14.69,"""商圈""",113.33991222770148,23.12490341043514,113.34646269850316,23.130559537506728
天河南二路石牌桥临街旺铺业主直租,天河,体育中心,商业街店铺?1层,宏发大厦(商业),270.0,14.85,18.33,"""商务大厦""",113.33837504731332,23.137645976198873,113.34492616230142,23.143303506872628
东圃大马路临街旺铺2楼1000场地物业直租,天河,东圃,购物百货中心?1层,东圃购物中心,1000.0,20.0,6.67,"""购物""",113.409189368947,23.1269200457251,113.41560852277672,23.13321769981077
广州天河东圃商圈物业招商，餐饮医疗美容会所等欢迎咨询,天河,东圃,购物百货中心?2层,东圃购物中心,706.0,9.88,4.67,"""购物""",113.409189368947,23.1269200457251,113.41560852277672,23.13321769981077
月销9999+，外卖繁华商圈，带证转让，可明火。,天河,岗顶,临街门面,逢源公馆,100.0,1.05,3.5,"""乡镇""",113.24938683742163,23.12933255631759,113.25586948122812,23.135317650859997
