标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
近地铁临街商铺，火热招商！排油排烟已做好，诚邀入驻,海珠,昌岗,商业街店铺?1层,金谷广场,30.0,4800.0,5.33,"""购物""",113.28289417191604,23.10800255095258,113.28931766888063,23.114336878484257
诚招教育培训运动家居娱乐餐饮医美等,海珠,客村,商业街店铺?1-5层,新港中路,1500.0,12.0,2.67,"""道路""",113.33130511346046,23.101939474451055,113.33786537307199,23.107633705480994
旺！旺！旺！江南西商场旁外卖铺招租，手续齐全,海珠,江南西,商业街店铺?1层,金谷广场,48.0,8000.0,5.56,"""购物""",113.28289417191604,23.10800255095258,113.28931766888063,23.114336878484257
免租期三个月 官洲仑头商业街商铺605 48400元,海珠,官洲,商业街店铺?1层,粤科华南检测技术装备园(商业),605.0,4.84,2.67,"""NoClass""",113.37768552523083,23.086483277468916,113.38417114121828,23.09261908142142
老家工厂打工的同学突然换了新车，原来是做了这个副业,海珠,官洲,社区底商?1层,广东省广州市海珠区大松岗2号,20.0,800.0,1.33,"""门址""",113.27753793548402,23.106463539662007,113.28396268464054,23.11279922514016
海珠独栋1500平招会所 私厨 服装展厅 集团总部 餐饮加盟,海珠,赤岗,临街门面?1层,大塘新社区聚德北路商铺,1562.0,18.74,4.0,"""地产小区""",113.33624300901664,23.09127199281417,113.34281959377388,23.09694030329169
临江独特复式创意园 可餐饮 可上下水 可分割 长免租期,海珠,万胜围,商业街店铺?1层,北岛创意园(商业),500.0,3.5,2.33,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
外卖城 专业管理 可办证 手续齐全 欢迎咨询,海珠,前进路,商业街店铺?1层,金谷广场,30.0,5000.0,5.56,"""购物""",113.28289417191604,23.10800255095258,113.28931766888063,23.114336878484257
江南西外卖城，免办证，排污油烟已装，价格美丽，欢迎咨询,海珠,前进路,社区底商?1层,金谷广场,28.0,4800.0,5.71,"""购物""",113.28289417191604,23.10800255095258,113.28931766888063,23.114336878484257
630平方 适合生鲜超市 直租,海珠,工业大道南,临街门面?1层,包原味(富全街店)-广州市海珠区,630.0,4.35,2.3,"""餐饮""",113.28857254070383,23.073770378454875,113.29502939277336,23.080080492267585
国有物业（带车位）滨江东路720号志富商业街听涛雅苑临街底商,海珠,滨江东,社区底商?1层,听涛雅苑商铺,36.0,1.3,12.04,"""地产小区""",113.3132000354045,23.108074764381074,113.31970355591825,23.11401643277379
出租海珠赤岗市场店铺,海珠,赤岗,商业街店铺?1层,赤岗市场,50.0,6711.0,4.47,"""购物""",113.3141847579042,23.10594399467357,113.32069382404511,23.111868879676746
大路旁 牌坊口 300平旺铺招租,海珠,工业大道南,临街门面?1层,希岸轻雅酒店(广州石溪地铁站店)-广州市海珠区,300.0,7.2,8.0,"""NoClass""",113.28652036176698,23.076434875112274,113.29297362321921,23.08275888724507
美容店按摩店养生馆转让,海珠,海珠,临街门面?1层,怡乐路,100.0,5665.0,1.89,"""道路""",113.56441285191646,23.12239024187694,113.57094230806831,23.12815317659547
海珠区江燕路 临街社区商铺出租,海珠,江燕路,临街门面?2层,燕子岗路30号,553.0,3.8,2.29,"""门址""",113.2844974675897,23.08320384955872,113.29094522617737,23.089537399655997
地铁口，浪险夜市临街128平商铺，可明火带厨房，诚招特色餐饮,海珠,工业大道北,商业街店铺?1层,T28PARK公园里-广州市海珠区,128.0,1.02,2.67,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
地铁口，物业直租，网红街区194方，方正无梁柱，健身瑜伽,海珠,昌岗,商业街店铺?1层,T28PARK公园里-广州市海珠区,194.0,1.55,2.67,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
新出网红打卡，佛罗伦萨风格，194方，可做奶茶，泰式按摩,海珠,工业大道南,商业街店铺?1层,T28PARK公园里(商业),194.0,1.84,3.17,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
物业直租，浪险夜市网红街区，带排烟可明火，诚招特色餐饮,海珠,工业大道南,商业街店铺?1层,T28PARK公园里(商业),128.0,1.02,2.67,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
佛罗伦萨风格，194平方，适合行业   奶茶  花艺 美容店,海珠,广州大道南,商业街店铺?1层,海珠同创汇(商业),194.0,1.55,2.67,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
年底免租，网红咖啡厅转租，无转让费，咖啡茶饮可合作营业,海珠,工业大道南,写字楼配套?2层,T28创展中心(商业),78.0,6240.0,2.67,"""商务大厦""",113.33641440570789,23.13775074118889,113.34296459458422,23.143413030878109
无入场费转让费，地铁口临街快餐铺，带厨房，可明火，即租即用,海珠,工业大道南,写字楼配套?1层,T28PARK公园里(商业),127.0,1.02,2.67,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
转让，无转让费，带厨房可明火，周边小区集群，诚招快餐简餐,海珠,广州大道南,写字楼配套?1层,T28PARK公园里-广州市海珠区,143.0,1.14,2.67,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
地铁口300米，意式网红街区260平方，诚招展厅，茶饮轰趴馆,海珠,赤岗,商业街店铺?1层,T28PARK公园里-广州市海珠区,260.0,2.08,2.67,"""商务大厦""",113.29095718250984,23.069601218458634,113.29741864792195,23.075890663983505
海珠新港中路 赤岗地铁口附近 六千平场地招租特色酒店 公寓等,海珠,赤岗,商业街店铺?1-3层,新港中路464号大院新港中路商铺,6000.0,36.0,2.0,"""门址""",113.33955542075305,23.101040626388526,113.34612363732998,23.106700482211698
珠影星光城茶饮靓铺头位,海珠,客村,商业街店铺?1层,珠影·星光城,40.0,2.0,16.67,"""购物""",113.32781106435002,23.10038402134659,113.33436633010102,23.106110878973664
可办证！房东业主直租海珠区江南西昌岗美团外卖厨房档口餐饮！,海珠,昌岗,社区底商?1层,广医二院宿舍昌岗东路商铺,30.0,4500.0,5.0,"""NoClass""",113.2847739660256,23.097246134073406,113.29120964323063,23.103576000206784
万科里商圈 地铁口 旺铺出租,海珠,江燕路,社区底商?1层,万科里,200.0,3.8,6.33,"""购物""",113.28573912407809,23.08882028505267,113.29218378860414,23.095147119532986
昌岗地铁站附近大门面靓铺（业主直租）小区人流集中,海珠,昌岗,社区底商?1层,昌岗,116.0,1.68,4.83,"""乡镇""",113.2924150425215,23.0949456511064,113.29886501366659,23.101217256482899
