标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
长免租期独栋复式办公室诚邀汽车美容基地进驻 180度江景创意,番禺,新造,写字楼配套,良仓新造(商业),800.0,151.2,63.0,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
沿江网红创意园独栋8米层高loft展馆会所健身球馆办公室出租,番禺,大学城,写字楼配套,良仓新造(商业),700.0,4.9,2.33,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
独门独栋 436方7米层高 一线水岸景色(独立产权)合适餐饮,番禺,大学城,商业街店铺,TCL大厦(商业),436.0,2.75,2.1,"""商务大厦""",113.34920501853803,23.110736994278996,113.3557560062916,23.11643355438751
物业直租 一楼85方带花园外摆位 近地铁口 合适做舞蹈展厅等,番禺,南浦,写字楼配套?1层,凹凸凹创意园(商业),85.0,6800.0,2.67,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
一楼面积95平方，现在至二月底免租金。,番禺,市桥,临街门面,镰沧日语(市桥校区),95.0,6500.0,2.28,"""教育""",113.37032229462906,22.95937993064822,113.37683841745276,22.965389170310936
只有一席，临江298方，适合商业，餐饮，各类潮流先锋业态,番禺,新造,商业街店铺?1层,良仓新造(商业),298.0,1.79,2.0,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
番禺万博200至1000方招西餐 粤菜 会所私房菜 带露台,番禺,万博,临街门面?1层,番禺万博中心,500.0,9.0,6.0,"""购物""",113.3492030422659,23.01373599258642,113.35574499504696,23.019430762629776
市桥网红园区旺铺转让 无转让费可做餐饮可上下水 独门独户,番禺,市桥,商业街店铺,西坊大院文化创意园(商业),177.0,1.06,2.0,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
南村万博地铁站万达广场写字楼旺铺招租 166平复式两层可明火,番禺,万博,购物百货中心?1-2层,番禺万达广场(商业),166.0,3.32,6.67,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
沙湾独栋临街1500方商业楼一一业主直租,番禺,桥南,临街门面,敏建·锦绣世家-广州市番禺区,1514.63,4.54,1.0,"""地产小区""",113.35396486994218,22.91570029135972,113.36051166706959,22.921446273221556
望江独栋复式办公室高7米舞蹈培训文创展贸汽车基地私人会所,番禺,新造,写字楼配套,良仓新造(商业),800.0,4.0,1.67,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
沿江网红创意园7米层loft高餐吧私人会所球馆体验店总部选址,番禺,大学城,写字楼配套,GOGO新天地广场,369.0,2.55,2.3,"""购物""",113.39853402831337,23.067375983772,113.40498444336315,23.07371912678888
沿江网红创意园独栋层高8米复式空间电商私人会所舞蹈摄影球馆,番禺,新造,写字楼配套,同发时代广场,500.0,3.0,2.0,"""NoClass""",113.42417319467903,23.042909331400357,113.4306554038672,23.049012146656833
网红创意园独栋8米层高可做复式临近大学科互联网汽车基地,番禺,新造,写字楼配套,广州大学城智慧谷(商业),518.0,3.78,2.43,"""NoClass""",113.26084813775855,23.117565876288017,113.26729524153355,23.12374548172194
免进场费 沿江出租独栋150方 7米层高可复式可轻餐饮可外摆,番禺,新造,商业街店铺,良仓新造(商业),150.0,9900.0,2.2,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
特价长免租期网红创意园汽车展会体验店婚纱摄影餐吧运动会馆,番禺,大学城,商业街店铺,GO酷前线,368.0,2.21,2.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
独栋红砖瓦房7米层高租一用二1300方办公室 沿江300米,番禺,新造,写字楼配套?1层,良仓新造(商业),500.0,2.55,1.7,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
稀有一线江景特色独栋创意园 436方临江可外摆商铺免租期超长,番禺,大学城,商业街店铺,TCL文化产业园(商业),436.0,3.71,2.83,"""工业园区""",113.44147521577122,23.166773718809269,113.44802131183649,23.172582710807064
番禺 复式 9米 独栋 临江 网红创意园 可餐饮 可办公,番禺,新造,写字楼配套?1层,良仓新造(商业),550.0,3.58,2.17,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
大学城近地铁368平网红创意园餐吧会所球馆物业直租高实用率,番禺,新造,写字楼配套,良仓新造(商业),368.0,2.58,2.33,"""乡镇""",113.42387343013046,23.041917299171045,113.43035359811644,23.048024990327926
284临街户型可办公可餐饮 1加1格局 位于园区中心位置,番禺,市桥,商业街店铺?1层,西坊大院文化创意园(商业),284.0,2.22,2.6,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
年底钜惠 长免租期 362沿街户型 可做办公 可餐饮,番禺,市桥,商业街店铺,西坊大院文化创意园(商业),362.0,2.82,2.6,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
地铁口创意园 一楼91方门面位置 合适DIY儿童培训等,番禺,南浦,写字楼配套?1层,凹凸凹创意园(商业),91.0,8008.0,2.93,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
市桥临街整栋租975方火热招商有前后花园游客必经上下水F,番禺,市桥,商业街店铺,海伦堡创意园(商业),975.0,5.07,1.73,"""NoClass""",113.55953193498047,23.10987942254033,113.56605542612928,23.115714392091836
临近地铁站沿街600商铺 可做餐饮 展厅等业态,番禺,市桥,商业街店铺,西坊大院文化创意园(商业),600.0,4.68,2.6,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
地铁口沿街铺位142方 办公商铺一体 精装复式展厅网约车瑜伽,番禺,洛溪,写字楼配套?1层,凹凸凹创意园(商业),142.0,1.21,2.83,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
地铁口百米沿街商铺91方 户型方正有上下水 网约车培训行业,番禺,南浦,其他?1层,凹凸凹创意园(商业),91.0,7735.0,2.83,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
D番禺 石楼 带阁楼家居五金建材 转让 临街门面,番禺,石楼,临街门面?1层,石清公路231号-,100.0,9030.0,3.01,"""门址""",113.49296722722143,22.96747295873274,113.49946852063701,22.973528063559468
番禺网红园区稀有独栋瓦房1227方 可做民宿私房菜展厅等,番禺,市桥,临街门面,西坊大院文化创意园(商业),798.0,4.79,2.0,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
沙湾政府旁1500方独栋商业楼一一一适合教育美容棋牌等,番禺,沙湾,临街门面,敏建锦绣世家商铺,1514.63,4.54,1.0,"""地产小区""",113.35396486994218,22.91570029135972,113.36051166706959,22.921446273221556
特价免转让费番禺西坊大院890方现成摄影基地诚邀设计服装摄影,番禺,番禺广场,写字楼配套?4层,西坊大院文化创意园(商业),890.0,3.56,1.33,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
地铁口百米沿街铺位53方 园区主入口流量大可做便利店,番禺,洛溪,商业街店铺,凹凸凹创意园(商业),53.0,5800.0,3.65,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
地铁口铺位109方 办公商铺一体 5米层高复式 带前花园,番禺,洛溪,写字楼配套?1层,凹凸凹创意园(商业),109.0,8175.0,2.5,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
番禺南村临街150方旺铺超市餐饮商铺,番禺,板桥,临街门面,一田创客(商业),150.0,9000.0,2.0,"""餐饮""",113.3931946800249,23.176097221085884,113.39964414711985,23.182419022025348
年底钜惠 长免租期232沿街户型诚邀直播电商 餐饮业态入驻,番禺,市桥,商业街店铺,西坊大院文化创意园(商业),232.0,1.81,2.6,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
马路边独栋1千方，名车汇，4S店新能源，高端餐饮，公司总部。,番禺,汉溪长隆,写字楼配套,保利大都汇(商业),800.0,23.0,9.58,"""商务大厦""",113.34139146738427,23.000946453042677,113.34794284751786,23.00660379185194
市桥地铁站旁全新商铺，人流量大，可做办公室或轻餐饮，有停车位,番禺,市桥,写字楼配套?1层,恒太大厦(商业),90.0,6750.0,2.5,"""商务大厦""",113.36299517590881,22.954918672819024,113.36953882669312,22.960800553883226
市桥百年古宅377方独栋出租 可做咖啡茶馆饮品书店等,番禺,市桥,临街门面,西坊大院文化创意园(商业),377.0,3.0,2.65,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
带花园的独栋商铺250方 房东直租 无需转让费 可做咖啡室等,番禺,市桥,临街门面,西坊大院文化创意园(商业),600.0,4.2,2.33,"""地产小区""",113.36375927457533,22.943262960528576,113.3702997630532,22.949157521091509
市桥外卖城，可明火可办证 排烟排污已装 欢迎咨询！,番禺,市桥,商业街店铺,黄编168商业中心,35.0,2500.0,2.38,"""购物""",113.37638262291958,22.953480639393989,113.382879313826,22.959596107011224
一楼铺位109方 商铺办公一体复式户型带前花园 可做培训花店,番禺,南浦,临街门面?1层,凹凸凹创意园(商业),109.0,8175.0,2.5,"""NoClass""",113.40230394704584,23.006945605820947,113.40871607676766,23.013279414302589
番禺南村镇兴南大道旁临街商铺出租，人流量大适合餐饮汽修猪杂等,番禺,广州雅居乐,社区底商?1层,兴南大道商铺,770.0,7.32,3.17,"""道路""",113.36756261027277,23.021224027640117,113.37405508880272,23.027177428575
