标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
精装修600平办公室出租  配套齐全 商业氛围好,白云,黄石,写字楼配套?4层,嘉禾创意产业园(商业),600,3,1.67,"""工业园区""",113.286268,23.23123303,113.2926912,23.23755252
311平临街旺铺招租 新春超长免租,白云,机场路,商业街店铺?1层,时代远景大韩城(商业),311.4,7.79,8.33,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
业主直租 京溪新晋艺术 临街铺露天花园5米层高,白云,梅花园,临街门面,VLAB翌方181(商业),314,3.77,4,"""工业园区""",113.335241,23.18081003,113.3418258,23.18648408
时代芳华里（白云） 物业直租 商业街首层旺铺 年轻客群,白云,黄石,商业街店铺?1-3层,国际单位(商业),417.97,3.55,2.83,"""商务大厦""",113.2713129,23.21595565,113.2777545,23.22226176
远景路酒吧 奶茶 烤肉 甜品小店物业直租,白云,机场路,商业街店铺?1层,时代远景大韩城(商业),82.61,1.49,6,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
免入场费小区头铺招美容美发 水果店 五金 轻餐饮,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,30,5500,6.11,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
鹤边商圈 豪装酒楼 装修配套完善 设备设施齐全 放租 笋,白云,黄边,社区底商?2层,锦辉大厦,1032,5.68,1.83,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
开此店在广州市可实现一边上班，一边开店，全天候营业。,白云,太和,社区底商?1层,广东省广州市白云区永和街,20,1400,2.33,"""道路""",113.3002145,23.25631861,113.3066618,23.26248144
豪华装修临街主干道，沐足，棋牌，水疗，网吧美容福地,白云,黄石,写字楼配套?4层,锦辉大厦,1032,160.99,52,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
近地铁高端楼盘住宅环绕 小学旁招各类艺术培训 美容美发,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,222,2.6,3.9,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
耳疗 足浴 按摩 临街楼上店招租,白云,机场路,商业街店铺?2层,时代远景大韩城(商业),242,2.9,4,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
