标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
花都临街教育培训机构，近学校，居民家属区,花都,花城街,写字楼配套?2-4层,凤凰北路38号,900.0,2.7,1,"""门址""",113.6435463170956,23.171288062144755,113.6499889175165,23.17762535864854
骏威小学附近物业直租教培月子中心商务酒店,花都,雅瑶,临街门面?2-4层,享当鲜-广州市花都区,600.0,1.8,1,"""区县""",113.22657580629208,23.411161504875748,113.23315272294109,23.416843995327235
临街商铺酒店餐饮教育培训行业,花都,花城街,临街门面?1层,金宝酒店,1200.0,3.6,1,"""宾馆""",113.24084655711052,23.41354352859303,113.24739170121706,23.419389507735496
无人便利店，不需要人工看守，工作开店两不误，好操作方便管理,花都,狮岭,社区底商?1层,广东省广州市花都区碧秀路,20.0,600,1,"""道路""",113.23441648627224,23.401164342311838,113.24096881397614,23.40691715664047
临街商铺商务办公教培医疗,花都,花城街,写字楼配套?2-4层,金宝酒店,1200.0,3.6,1,"""宾馆""",113.24084655711052,23.41354352859303,113.24739170121706,23.419389507735496
出租或转让十字路口多门面停车场汽修美容店,花都,秀全,临街门面?1层,万科天景花园-南门,500.0,9500,0.63,"""地产小区""",113.18885523929616,23.379524590181704,113.1953338367851,23.38554137860593
旺！旺！旺！花果山公园地铁口宝华路一线沿街旺铺房东直租！,花都,新区,临街门面,宝华路,35.0,2300,2.19,"""道路""",113.22265039087587,23.395803785669889,113.22921563421285,23.40146650099316
转让/兴田综合市场低价转让了,花都,旧区,社区底商,兴田综合市场,4450.0,8.11,0.61,"""购物""",113.23446273206393,23.39774838817568,113.24101143861361,23.403501044096797
品牌茶业茶具店，金满城商铺招租了！位置超棒，快看过来！,花都,建设路,商业街店铺?1层,金满城,40.0,2500,2.08,"""NoClass""",113.2065677578444,23.409145816807649,113.21313034505696,23.41488865317032
花都金满城商圈临街商铺 物业直租 可做电商办公茶业酒业等,花都,建设路,商业街店铺?1层,金满城,40.0,5000,4.17,"""NoClass""",113.2065677578444,23.409145816807649,113.21313034505696,23.41488865317032
80平方临街店面！豪华精装修商铺！,花都,旧区,商业街店铺?1-2层,金满城,80.0,5300,2.21,"""NoClass""",113.2065677578444,23.409145816807649,113.21313034505696,23.41488865317032
120平超大空间商业街店铺招租！（可分租）,花都,建设路,商业街店铺?1层,金满城,120.0,7500,2.08,"""NoClass""",113.2065677578444,23.409145816807649,113.21313034505696,23.41488865317032
花都区台球馆转让！位于步行街人流量大，周边上班族年轻人居多,花都,狮岭,商业街店铺?1层,八号台球部落-广州市花都区,300.0,4500,0.5,"""区县""",113.22657580629208,23.411161504875748,113.23315272294109,23.416843995327235
花都站前路，超宽门面停车位充足，棋牌公寓健身配送超市,花都,旧区,社区底商?1-2层,京都巷/站前路(路口)-广州市花都区,2000.0,7,1.17,"""道路""",113.21024245619286,23.38815949275266,113.21679228060545,23.393860880879477
