标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
摄影教育美容店 地铁芳村居民商业地段130平多隔间门店办公室,荔湾,芳村,社区底商?2层,睿然谷恒荔中心(商业),130.0,1.11,2.83,"""商务大厦""",113.23941088524497,23.106375619363825,113.24594095873579,23.11219545720844
新年免租优惠30到五百方 周门社区稳定客源餐饮外卖可马上经营,荔湾,周门,社区底商?1层,周门街别墅周门街商铺,507.0,2.03,1.33,"""NoClass""",113.24373425000195,23.13321785574146,113.250237294081,23.139104441199529
开年免租促销餐饮店有包间厨房 周门生活闹区餐饮外卖 先到先得,荔湾,荔湾路,临街门面?1层,周门街商铺,220.0,23.1,35.0,"""道路""",113.2452877795504,23.134964180279885,113.25178579360748,23.140877335985985
陈家祠扬韬广场全城招商零售茶饮酒吧餐饮夜场,荔湾,陈家祠,商业街店铺?1层,西门口,2000.0,40.0,6.67,"""村庄""",113.19890000167486,23.334200104082457,113.20543731262501,23.340048724278654
棋牌健身房咖啡厅早餐店均可，明月水岸可分割,荔湾,西塱,商业街店铺?2层,凯升健康城,1000.0,4.8,1.6,"""地产小区""",113.23493103566817,23.065009480232829,113.24149907238264,23.070772263076007
招500至1000方餐饮 人流好 大外摆 河岸边 榕树下,荔湾,南岸,临街门面?1层,汇龙大街-道路-广州市荔湾区,800.0,5.28,2.2,"""区县""",113.250502263373,23.13179113497485,113.25698092929491,23.137796083976789
可做茶楼 大型餐饮 社区地铺 低价出租,荔湾,南岸,临街门面?1层,河柳别苑汇龙大街商铺,500.0,3.75,2.5,"""道路""",113.23897556639497,23.13964073391382,113.24549629783174,23.14545184169374
真实铺源，证照齐全，芳村大道东961创意园旁,荔湾,芳村,临街门面?1层,宏润合记牛肉火锅旗舰店(芳村花蕾路店),300.0,3.2,3.56,"""NoClass""",113.24175492364192,23.104310722122695,113.24827954027148,23.110167677526506
商业楼 20方至600方可选 直租 可餐饮,荔湾,坑口,社区底商?3层,芳和花园-北门,500.0,2.5,1.67,"""地产小区""",113.23373485205149,23.082698426311248,113.24030237398934,23.088445991604194
临街商铺 20方至160方可餐饮 物业直租,荔湾,花地湾,临街门面?1层,广州芳村客运站,50.0,3500.0,2.33,"""长途汽车站""",113.24165952359678,23.085442034421843,113.24820234870238,23.091301103983314
临街商铺 20方至150方 可餐饮 直租,荔湾,花地湾,临街门面?1层,坑口村,100.0,7000.0,2.33,"""村庄""",113.24266526644543,23.082410763907317,113.24920681451629,23.08828665674768
商业楼30方至600方可选 物业直租,荔湾,坑口,社区底商?3层,东漖新村,200.0,1.0,1.67,"""地产小区""",113.23670842294963,23.086166450547045,113.24326581060443,23.09195130586669
可歺饮 临街门面 免中介费 免转让费,荔湾,西塱,其他?1层,荔湾区金道中学,80.0,8800.0,3.67,"""教育""",113.2420330390277,23.077040064831075,113.24857936914869,23.082906148133696
可餐饮30方至150方 物业直租,荔湾,芳村,社区底商?1层,芳村126创意园,65.0,5000.0,2.56,"""NoClass""",113.31863451424641,23.155435313524174,113.3251602221147,23.161285853404178
一楼 双地铁 适合经商办公电商,荔湾,广钢新城,社区底商?1层,四季花园,161.0,9660.0,2.0,"""地产小区""",113.23895490536825,23.077827447358478,113.24551072367327,23.083645415077116
物业直租 宜外卖 可明火餐饮 20至500方,荔湾,芳村,临街门面?1层,芳村,30.0,2500.0,2.78,"""商圈""",113.23413046579795,23.09929543433773,113.24068236870588,23.105044692244147
直租可歺饮43方70方106方 免转让费,荔湾,坑口,临街门面?1层,坑口村,70.0,4900.0,2.33,"""村庄""",113.24266526644543,23.082410763907317,113.24920681451629,23.08828665674768
直租送外摆 可分租43方70方110方 免转让费,荔湾,坑口,临街门面?1层,坑口,43.0,3500.0,2.71,"""NoClass""",113.49352157155146,23.28494372543596,113.50001377891981,23.291007180015439
开年免租促销餐饮店有包间厨房 周门生活闹区餐饮外卖 先到先得,荔湾,荔湾路,临街门面?1层,周门街商铺,220.0,23.1,35.0,"""道路""",113.2452877795504,23.134964180279885,113.25178579360748,23.140877335985985
西湾路达美乐肯德基旁边靓铺可零售百业外摆区,荔湾,西村,商业街店铺?1层,西湾路,96.0,3.5,12.15,"""道路""",113.24418070784026,23.159984052405869,113.25070153574613,23.16588212768153
南岸大街独栋，旺铺招租，商用，实用超80平方，月租3900元,荔湾,长寿路,临街门面,南岸大街小区-广州市荔湾区,80.0,3900.0,1.63,"""道路""",113.23918918344516,23.13672917515266,113.24570801691812,23.14254322522069
可办证！房东直租！闪电外卖厨房荔湾区陈家祠上下九美团商铺档口,荔湾,陈家祠,社区底商?1层,陈家祠小区商铺,25.0,4000.0,5.33,"""商圈""",113.2526175931872,23.131817057361908,113.25908860500297,23.137859493521256
荔湾区西塱地铁A口1000方适合棋牌沐足位于荔塱市场门口4万,荔湾,西塱,商业街店铺?1层,西塱商贸中心(商业),177.0,2.3,4.33,"""NoClass""",113.23720500623539,23.06630408399881,113.24376720632755,23.072097060036609
西华路特色餐饮旺铺租金平外摆大！,荔湾,西华路,商业街店铺?1层,西华路-道路-广州市越秀区,160.0,2.8,5.83,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
西华路临街旺铺出租，棋牌，沐足，医美，健身,荔湾,西华路,商业街店铺?2层,荔雅阁商铺,1900.0,10.45,1.83,"""地产小区""",113.25026618868505,23.140309108116687,113.25674841207383,23.146310408628389
内街小铺可外卖，价格低，国企物业，有证,荔湾,中山八路,档口摊位?1层,汇龙大街-道路-广州市荔湾区,40.0,2244.0,1.87,"""区县""",113.250502263373,23.13179113497485,113.25698092929491,23.137796083976789
广州市荔湾区肉菜市场招租,荔湾,芳村,商业街店铺?1层,沙洛市场,1000.0,900.0,0.03,"""购物""",113.26611622192582,23.06323612402292,113.27258290448917,23.06949376515134
招500至1000方餐饮 人流好 大外摆 河岸边 榕树下,荔湾,南岸,临街门面?1层,汇龙大街-道路-广州市荔湾区,800.0,5.28,2.2,"""区县""",113.250502263373,23.13179113497485,113.25698092929491,23.137796083976789
