标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
中山四路农讲所287方教育，办公，舞蹈普拉提，健身，瑜伽,越秀,农讲所,社区底商?6层,中山四路商铺,空置中,287.0,1.8,"""道路""",113.28015362146711,23.13279296508007,113.28656483840386,23.139128835507529
房东直租无中介费越秀核心商圈大丰窝公园前外卖快餐旺铺招租,越秀,公园前,写字楼配套?1层,百汇广场(商业),空置中,20.0,8000.0,"""NoClass""",113.27029247273458,23.13127202149039,113.27671229914918,23.137564880677556
越秀北京路步行街独栋1693方招餐饮 服装 火锅 KTV,越秀,北京路,临街门面?1层,北京路星座广场商铺,空置中,1693.0,80.0,"""道路""",113.42695517138485,23.430736526838318,113.43346358421258,23.436794590287485
业主直租！可办证！闪电外卖厨房越秀区公园前淘金餐饮档口直租,越秀,公园前,商业街店铺?1层,亚洲金融中心(商业),空置中,30.0,4500.0,"""商务大厦""",113.26579088416446,23.13881467025169,113.27222226406167,23.145061099925948
广州大道1390方招餐饮 火锅 越南菜 日料 西餐会所私房菜,越秀,五羊新城,商业街店铺?2层,五羊邨地铁站(商业),空置中,1390.0,27.8,"""餐饮""",113.31967780626536,23.122092649447674,113.32619353044724,23.12792400006188
执信南路（出租）家中型餐饮棋牌店,越秀,农林下路,临街门面?1层,执信南路,经营中,980.0,8.23,"""道路""",113.29848677929198,23.134370719984607,113.3049283444188,23.140559535829099
【有免租】1-9楼，商铺+写字楼，分租整租，越秀西门口地铁站,越秀,西门口,写字楼配套,酒都大厦,空置中,6868.0,8.0,"""商务大厦""",113.26140311090242,23.126512334079505,113.26784483448074,23.132699432138329
有外摆区，物业直租，50方，写字楼配，诚招咖啡，寿司，轻餐饮,越秀,北京路,写字楼配套?1层,T28OAK橡树院(商业),空置中,50.0,5000.0,"""NoClass""",113.30878333670505,23.155000027265716,113.315273842918,23.16102063108194
包办证！房东直租！越秀火车站三元里堂食外卖厨房美团餐饮商铺,越秀,流花,商业街店铺?1层,三元里大道716号小区三元里大道商铺,空置中,35.0,4500.0,"""门址""",113.26037562906045,23.17269301145088,113.26685177721687,23.17887112864899
物业直租超长免租期限时无进场费越秀区淘金大丰窝外卖店直租,越秀,淘金,社区底商?1层,区庄社区商铺,空置中,20.0,4500.0,"""村庄""",113.30172975201248,23.14206073932223,113.30818480281649,23.148200140628267
电费6毛1度！可办证！闪电外卖厨房越秀陈家祠区庄淘金店铺直租,越秀,东风路,临街门面?1层,东风西大院东风西路商铺,空置中,25.0,4500.0,"""地产小区""",113.25330317995219,23.13964430633927,113.25977408399378,23.145699272676617
喜欢露台五羊邨地铁口220方美容中医，健身瑜伽，教育办公,越秀,五羊新城,社区底商?5层,五羊邨地铁站(商业),空置中,220.0,1.55,"""餐饮""",113.31967780626536,23.122092649447674,113.32619353044724,23.12792400006188
广州市中心独栋酒店物业全明房位置优越现成酒店装修接手可营业,越秀,北京路,社区底商,仓边路小区仓边路商铺,经营中,3500.0,24.9,"""道路""",113.27828020532665,23.134836731519834,113.28469211104857,23.141171314976455
越秀北京路步行街独栋1693方招餐饮 服装 火锅 KTV,越秀,北京路,临街门面?1层,北京路星座广场商铺,空置中,1693.0,80.0,"""道路""",113.42695517138485,23.430736526838318,113.43346358421258,23.436794590287485
惠福东路临街旺铺出租，超靓转角位，人流旺！！,越秀,北京路,临街门面?1层,惠福东路商铺,空置中,31.8,1.65,"""道路""",113.2731019232161,23.127219825568998,113.27951762917931,23.133533760848214
执信南路旺铺出租，办公楼林立，临近多间大型医院，可明火！,越秀,农林下路,临街门面?1层,执信南路商铺,空置中,45.0,2.3,"""道路""",113.29848677929198,23.134370719984607,113.3049283444188,23.140559535829099
东山口网红街少有独栋可餐饮旺铺出租,越秀,东山口,商业街店铺?1层,东山口,经营中,300.0,7.0,"""商圈""",113.30230287092766,23.13044615494052,113.30875606516004,23.13657546669707
大丰窝业主直租越秀区杨箕黄花岗热门商圈美团饿了么外卖厨房,越秀,黄花岗,社区底商?1层,东山海德公馆鹤北街商铺,空置中,22.0,4500.0,"""道路""",113.27409517961816,23.225742740307365,113.28052300285472,23.232065259875126
杨箕地铁口旺铺直租 写字楼配套 适合餐饮 便利店  等,越秀,梅花村,写字楼配套?1层,杨箕站地铁(商业),空置中,45.0,1.2,"""商圈""",113.31614845374837,23.13358093096108,113.32265115971136,23.139469440896105
北京路商场电梯口铺位转让商场客流大宜各餐饮品牌进驻,越秀,中山路,购物百货中心?4层,五月花商业广场,经营中,265.0,4.21,"""购物""",113.27334015383727,23.132165181235466,113.27975546377904,23.138480572889866
北京路 网红打卡 教育路旺铺转让！,越秀,北京路,商业街店铺?1层,教育路-道路-广州市越秀区,空置中,160.0,4.0,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
天河北常餐美食荟堂食加外卖铺面出租，热门地段，客流量大,越秀,淘金,商业街店铺,悦港酒楼(林和东路店)-广州市天河区,空置中,25.0,5000.0,"""餐饮""",113.33481901512268,23.14940879761663,113.34137560489097,23.155079119557809
广州大道1390方招餐饮 火锅 越南菜 日料 西餐会所私房菜,越秀,五羊新城,商业街店铺?2层,五羊邨地铁站(商业),空置中,1390.0,27.8,"""餐饮""",113.31967780626536,23.122092649447674,113.32619353044724,23.12792400006188
可疯狂复制的小店面，刚需市场，超高利润，竞争小,越秀,淘金,临街门面?1层,广东省广州市越秀区青龙坊80号,经营中,20.0,1050.0,"""门址""",113.29518856078264,23.140190720141154,113.30162308833305,23.146425225031686
中山一路杨箕村口旺铺，客流爆，高消费，美容美发美体必选！,越秀,杨箕,社区底商?2层,中山一路商铺,经营中,307.0,3.8,"""道路""",113.31306834741,23.133126253035834,113.31956011520063,23.139067926636164
五羊邨7字门面旺铺出租，步行10米到地铁口，超靓门面！！,越秀,五羊新城,临街门面?1层,五羊邨地铁站(商业),空置中,33.0,1.7,"""餐饮""",113.31967780626536,23.122092649447674,113.32619353044724,23.12792400006188
业主直租越秀区公园前东山口大丰窝成熟商圈纯外卖厨房,越秀,公园前,写字楼配套?1层,百汇广场(商业),空置中,20.0,4500.0,"""NoClass""",113.27029247273458,23.13127202149039,113.27671229914918,23.137564880677556
农讲所地铁一号线东路密集写字楼中餐现成装修商铺出租,越秀,东风路,写字楼配套?1层,东风中路商铺,经营中,1860.0,24.0,"""道路""",113.27619820264687,23.137385600361517,113.2826120123343,23.143715011123957
富力新天地中心，杨箕商业地段，珠江新城西区商圈,越秀,杨箕,商业街店铺?4层,富力东山新天地(商业),空置中,3000.0,36.0,"""商务大厦""",113.32106568827781,23.132812572891838,113.32758430139603,23.1386224792655
惠福东食街头位，后难得一见，北京路步行街依旧风光，人流爆,越秀,北京路,商业街店铺?1层,喜茶(广州惠福东店)-广州市越秀区,经营中,280.0,17.0,"""餐饮""",113.27571347699385,23.128061166378484,113.28212633776502,23.13438848961405
越秀区 区庄地铁站旁 280平方 适合 医疗 美容 培训,越秀,环市东,写字楼配套?3层,中侨大厦(商业),空置中,280.0,1.54,"""商务大厦""",113.30101811438772,23.14181732013082,113.30747069198469,23.147968085234465
执信南路明火餐饮旺铺！,越秀,农林下路,商业街店铺?1层,执信南路商铺,空置中,45.0,2.3,"""道路""",113.29848677929198,23.134370719984607,113.3049283444188,23.140559535829099
珠江新城商圈和五羊新城少有餐饮商铺调整出租行业不限大门面,越秀,五羊新城,写字楼配套?1层,五羊新城寺右南路)商铺,空置中,954.0,26.71,"""NoClass""",113.31876198379824,23.12532300870155,113.32527369546468,23.13116857892828
越秀 淘金餐饮美食 外卖店转让D,越秀,淘金,档口摊位?1层,中山大学中山眼科中心-广州市越秀区,经营中,30.0,7000.0,"""医疗""",113.2991930270837,23.139510049539664,113.30563859329033,23.145688764457974
