标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
免入场费 5营业额超市入口头铺 适合美甲 养发 化妆品，,黄埔,科学城,购物百货中心,东方汇广场,40,8320,6.93,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
周边各大高端住宅覆盖 成熟商场招艺术培训 美容养生 特色餐饮,黄埔,科学城,购物百货中心?2层,东方汇广场,250,2.8,3.73,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
超市出入口铺位招租，人流必经之路，免入场费错过再等3年,黄埔,科学城,购物百货中心,东方汇广场,25,7904,10.54,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
成熟商场中庭开放式铺位 显眼 手表化妆品 奶茶蛋糕,黄埔,科学城,购物百货中心?1层,东方汇广场,58,1.16,6.67,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
旺！旺！旺！中山大道东一线临街鱼珠地铁口港航中心附近写字楼,黄埔,鱼珠,写字楼配套?2层,中山大道东,520,3.54,2.27,"""道路""",113.3499777,22.90976787,113.3565273,22.91547115
成熟商场后一席临街餐饮位送外摆位免入场费 适合各类特色餐饮,黄埔,科学城,购物百货中心?1层,东方汇广场,122,1.83,5,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
黄埔万人园区云升科技园档口招租 整个园区只有两个档口招租,黄埔,科学城,临街门面?1层,合景科汇金谷汇金谷一街商铺,30,1.5,16.67,"""工业园区""",113.442008,23.17322002,113.4485614,23.17902242
免入场费抄底好时机 成熟商场多精位招奶茶 进口零食 蛋糕烘焙,黄埔,科学城,购物百货中心?1层,东方汇广场,58.3,1.17,6.67,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
年底抄底时刻 东方汇仅有的一席特色餐饮旺铺 超底价出击,黄埔,科学城,购物百货中心?2层,东方汇广场,220,2.8,4.24,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
旺！旺！旺！中山大道东一线临街鱼珠地铁口港航中心附近写字楼,黄埔,鱼珠,写字楼配套?2层,中山大道东,520,3.54,2.27,"""道路""",113.3499777,22.90976787,113.3565273,22.91547115
业主出租！商铺地理位置优越，可经营多种行业,黄埔,黄埔,社区底商?1层,耀华西街,2800,16.8,2,"""道路""",113.2497013,23.12391914,113.2561838,23.12991002
大沙地地铁口超大人流，性价比超高的沿街铺位！,黄埔,文冲,商业街店铺?1层,大沙地东路商铺,50,1.65,11,"""道路""",113.4793256,23.10893359,113.4858536,23.11475127
