小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
从都国际庄园别墅,从化,温泉,广州市从化区御泉大道8号,48,0,暂无资料,56867,,↓2.38%,"""地产小区""",113.688035,23.68873802,113.6946034,23.69446399
珠江国际城,从化,太平,从化太平镇佛岗村105国道,19,0,2001,13321,↑0.12%,,"""地产小区""",113.5332895,23.47478256,113.5397217,23.48104114
富力泉天下别墅,从化,温泉,景泉大道赏泉路128号,16,0,2015,12675,↑1.74%,,"""宾馆""",113.6630849,23.64359264,113.6695634,23.64971418
东方夏湾拿别墅,从化,太平,广从公路莲塘桥,16,0,2013,16123,↑1.29%,,"""道路""",113.369167,23.33893787,113.3756711,23.34492327
时代印象,从化,太平,地铁14号线·太平地铁站B出口,15,0,暂无资料,16471,↑0.31%,,"""地产小区""",113.499073,23.45920904,113.5055416,23.46536495
雅居乐滨江雅苑,从化,太平,广从南路与太平西路交汇处,12,0,暂无资料,11912,,↓4.74%,"""地产小区""",113.485966,23.4371941,113.492499,23.44312649
方圆明月山溪,从化,温泉,从化市温泉镇内,11,0,2014,9820,,↓0.46%,"""宾馆""",113.6414957,23.63438627,113.6479193,23.64072497
珠光流溪御景别墅,从化,太平,从化市神岗文峰塔公园内流溪河畔(105国道旁..,11,0,2011,15792,,↓3.23%,"""地产小区""",113.5784639,23.53310274,113.5850467,23.53876567
珠光流溪御景,从化,太平,从化神岗文峰塔公园内流溪河畔,10,0,2011,11307,↑0.00%,,"""长途汽车站""",113.5640352,23.52314788,113.5705858,23.52892011
富力泉天下,从化,温泉,紫檀三路68号,9,0,2014,9841,↑1.24%,,"""宾馆""",113.664999,23.64240105,113.6714831,23.64848983
君源御湖城别墅,从化,街口中心区,从化灌村路399号,7,0,2012,8634,↑5.51%,,"""地产小区""",113.6396951,23.57971171,113.6461247,23.58605265
保利花城纪,从化,街口中心区,江埔灌村路,7,0,暂无资料,21343,↑1.60%,,"""道路""",113.6379834,23.57486269,113.6444183,23.58120279
方圆明月山溪别墅,从化,温泉,从化市温泉镇明月山溪大道,6,0,2010,11069,,↓6.31%,"""宾馆""",113.640746,23.63374698,113.6471689,23.64008634
名城御景绿洲,从化,街口中心区,从化区江埔街河东南路388号,6,0,2012,12149,,↓1.57%,"""NoClass""",113.6085932,23.53697147,113.6151136,23.54294954
紫泉翠荔嘉园,从化,太平,广从北路280-282号,6,0,2004,12334,↑1.50%,,"""门址""",113.555744,23.50800701,113.5622534,23.5139037
珠光御景山水城,从化,街口中心区,江浦镇105国道九里步果场段,6,0,2016,10033,↑0.49%,,"""门址""",113.3736644,22.93416889,113.3801645,22.94023643
招商金茂保利和府花园,从化,街口中心区,西宁小学北(和鸣路与北星路交叉口),5,0,暂无资料,15973,,↓1.29%,"""地产小区""",113.5880645,23.56289706,113.5946443,23.5685894
东方夏湾拿,从化,太平,神岗镇水南广从路193号,3,0,2007,16596,↑1.17%,,"""宾馆""",113.5067515,23.47904688,113.5131809,23.4853053
大城云山,从化,太平,太平镇广从南路1033号,3,0,2018,12466,,↓1.20%,"""NoClass""",113.4994027,23.46375623,113.5058656,23.46991638
广州紫泉流溪湾,从化,太平,从化区流溪河畔,3,0,2006,12944,↑1.03%,,"""地产小区""",113.4790848,23.45174383,113.4856311,23.45756138
荔山雅筑,从化,太平,街口神岗镇赤草村(105国道旁),3,0,2016,11620,,↓0.98%,"""地产小区""",113.573532,23.50783705,113.5800869,23.51351327
青春,从化,街口中心区,江埔街环市东路223号(凯旋假日酒店对面),3,0,2014,11712,↑0.10%,,"""NoClass""",113.6138002,23.53539308,113.6203004,23.54146338
时代幸汇,从化,街口中心区,江埔街环市东路188号时代幸汇营销中心,3,0,暂无资料,10802,↑2.25%,,"""地产小区""",113.615141,23.53818209,113.6216382,23.54427604
