小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
南沙保利城,南沙,黄阁,市南大道与鸡谷山路交汇处(西段),47,10,2016,21485,,↓0.02%,"""地产小区""",113.5045672,22.83682408,113.5110383,22.84306304
南沙湾御苑别墅,南沙,南沙湾,进港大道和港前大道交汇处,38,0,暂无资料,42073,,↓0.98%,"""地产小区""",113.5925242,22.7987391,113.5990771,22.80446875
广州星河山海湾,南沙,南沙湾,港前大道英东中学北侧,33,21,2017,30973,,↓5.86%,"""地产小区""",113.615646,22.76699701,113.6221068,22.77309243
南沙金茂湾,南沙,蕉门河,凤凰大道外国语学院旁,31,9,2015,34955,↑0.56%,,"""地产小区""",113.527481,22.78684067,113.5339054,22.79315296
南沙滨海珺城,南沙,金洲,环市大道西与广隆路交界处,28,11,2013,28472,↑0.29%,,"""地产小区""",113.5416363,22.78551271,113.5480938,22.79165445
阳光城丽景湾,南沙,金洲,海滨路南沙儿童公园对面,25,2,2017,20557,,↓0.40%,"""地产小区""",113.5502813,22.82518767,113.5568013,22.83118647
碧桂园海湾1号,南沙,南沙湾,自贸区·华师附小旁,24,5,2017,24220,,↓3.93%,"""地产小区""",113.6110868,22.76296339,113.6175647,22.76897911
美的云筑,南沙,黄阁,鱼窝头体育文化广场对面,24,0,暂无资料,16886,,↓2.00%,"""地产小区""",113.4617053,22.85613353,113.4682775,22.86179529
时代南湾,南沙,南沙湾,南沙区港前大道北,24,5,2015,26319,,↓0.81%,"""地产小区""",113.600041,22.78708799,113.6065628,22.79291576
万科南方公元,南沙,黄阁,黄阁大道南大山乸公园旁,24,0,2016,22099,,↓0.50%,"""道路""",113.5458353,22.85217929,113.5523283,22.85825456
星河东悦湾,南沙,黄阁,市南大道135号,24,0,暂无资料,26937,,↓2.33%,"""地产小区""",113.538235,22.81688301,113.5447106,22.82308286
叠翠峰,南沙,蕉门河,凤凰大道与丰泽西路交汇处,23,3,2015,31092,↑0.24%,,"""地产小区""",113.5273432,22.80297651,113.5337829,22.80929284
南沙碧桂园,南沙,金洲,进港大道130-180号,23,5,2007,19191,↑1.30%,,"""地产小区""",113.564318,22.80175698,113.5708664,22.80752519
优山悦海,南沙,南沙湾,商贸南2路,23,5,2014,22836,,↓0.85%,"""道路""",113.224178,23.45390498,113.2307528,23.45957468
保利半岛,南沙,黄阁,滨水大道左侧,22,0,2019,26625,,↓6.83%,"""地产小区""",113.544534,22.82159403,113.5510324,22.82769376
时代天逸(广州),南沙,黄阁,黄阁地铁站A出口,20,0,暂无资料,23867,↑1.19%,,"""地产小区""",113.525628,22.83261097,113.5320819,22.83894078
南沙境界,南沙,黄阁,黄阁镇市南公路290号(地铁四号线黄阁站南行..,19,1,2006,20458,↑2.33%,,"""地产小区""",113.5326364,22.81887707,113.5390988,22.82514909
南沙湾·东苑,南沙,南沙湾,港前大道华师附小旁,19,6,2017,30898,↑0.96%,,"""地产小区""",113.6139443,22.76378073,113.6204117,22.7698469
保利星海小镇,南沙,东涌,榄核镇镇南路南侧,18,0,2017,19335,↑0.54%,,"""地产小区""",113.35828,22.84104597,113.3648358,22.84685344
保利南沙天汇,南沙,黄阁,黄阁南路与进港大道交界处西南侧,18,0,暂无资料,22389,↑4.81%,,"""NoClass""",113.501353,22.80264002,113.5078174,22.80883126
越秀滨海新城,南沙,金洲,金沙路,18,6,暂无资料,22781,↑0.19%,,"""地产小区""",113.5547054,22.82180631,113.56124,22.8277268
富力天海湾,南沙,金洲,环市大道西工业一路(地铁四号线延长线塘坑地铁..,17,0,2016,23363,,↓1.90%,"""地产小区""",113.5703893,22.75373009,113.5769362,22.75942903
南沙碧桂园别墅,南沙,金洲,进港大道130-180号,17,0,2006,24697,,↓2.39%,"""地产小区""",113.564318,22.80175698,113.5708664,22.80752519
越秀国际总部广场,南沙,金洲,双山大道与金隆路交汇处(地铁4号线金洲站),17,3,2020,20384,,↓3.92%,"""NoClass""",113.5494252,22.79942793,113.5559225,22.80543806
