小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
合景誉山国际,增城,永和,广园东新新大道中段,89,0,2012,16059,,↓1.63%,"""NoClass""",113.3081882,23.16263502,113.3146843,23.16866777
新康花园,增城,广园东,新塘大道西508号,60,0,2004,15026,,↓1.93%,"""地产小区""",113.5943002,23.12176644,113.6008332,23.12751318
盛世名门,增城,凤凰城,新塘镇东进东路8号,58,0,2012,21183,,↓0.03%,"""地产小区""",113.6054809,23.13163411,113.6119776,23.13755024
新世界花园,增城,广园东,增城市新塘镇花园东路6号,58,0,2000,14982,,↓6.13%,"""地产小区""",113.5777779,23.11364879,113.5843339,23.11930775
恒大山水城,增城,中新,广汕路与省道118线交界处,57,0,2010,16487,↑0.20%,,"""道路""",113.4490375,23.19399126,113.4556151,23.19970938
碧桂园城市花园,增城,朱村,广汕公路(燕岗桥公交站东侧),53,0,2016,16677,↑0.26%,,"""道路""",113.4372195,23.19444527,113.4437642,23.20032357
云溪四季,增城,石滩,朱村街道朱石路以东,50,0,暂无资料,12244,,↓3.14%,"""地产小区""",113.7240335,23.25068999,113.7305354,23.25658113
合生湖山国际,增城,凤凰城,陈家林路10号,49,0,2015,17194,,↓2.26%,"""地产小区""",113.572035,23.14014303,113.5785816,23.14582808
锦绣御景国际,增城,荔城大道南,荔城大道225号,46,0,2014,15872,,↓0.46%,"""地产小区""",113.8163012,23.29671932,113.8228849,23.30238734
锦绣天伦花园,增城,新塘北,新塘镇新沙大道北30号,46,0,2015,19496,↑0.26%,,"""地产小区""",113.6453714,23.13277435,113.6517853,23.13909795
敏捷绿湖国际城,增城,石滩,增城挂绿新城石滩广场,46,0,2017,11444,↑0.05%,,"""地产小区""",113.7951339,23.20727116,113.8016645,23.21318296
恒创恒福花园,增城,永和,增城中新镇学院南路1号(新新公路旁),43,0,2011,13071,,↓2.55%,"""地产小区""",113.6205419,23.28656788,113.6270119,23.29274797
广园东东方名都,增城,凤凰城,增城区广园东路,42,0,2013,21660,,↓2.67%,"""地产小区""",113.5990134,23.13148356,113.6055316,23.13729417
海伦春天,增城,永和,增城市新塘镇永和永顺大道东15号,41,0,2012,15693,,↓3.09%,"""地产小区""",113.5939892,23.17998032,113.6005579,23.1857304
