小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
汇景新城,天河,科韵路,天河区汇景北路168至182号(双号),135,50,2011,95941,,↓2.15%,"""地产小区""",113.372523,23.156452,113.3790102,23.16249606
骏景花园,天河,棠下,中山大道190号,127,78,2010,53203,↑2.55%,,"""地产小区""",113.3914331,23.12902248,113.397851,23.13532501
富力天朗明居,天河,车陂,东圃中山大道,104,60,2002,51408,↑1.35%,,"""地产小区""",113.3981823,23.13216485,113.4045938,23.13849953
中海花城湾,天河,珠江新城中,珠江新城花城大道86号、珠江公园西南,95,92,2007,91513,,↓1.22%,"""地产小区""",113.3385588,23.12325417,113.3451095,23.12891137
乐意居花苑,天河,长湴,长兴路美景街18号,84,66,2003,41403,↑0.29%,,"""地产小区""",113.3625939,23.17449305,113.3691337,23.18036721
嘉裕公馆,天河,珠江新城中,花城大道80号,79,63,2015,157296,,↓0.22%,"""NoClass""",113.3359633,23.12284861,113.3425129,23.12851244
兰亭盛荟,天河,东圃,黄埔大道桃园西路明镜路(东圃地铁站B出口东行..,79,44,2019,54414,,↓0.92%,"""地产小区""",113.413543,23.119454,113.4199737,23.12570882
美林湖畔,天河,东圃,中山大道中桃园西路,72,63,2009,51792,,↓0.18%,"""NoClass""",113.4205658,23.11537053,113.4270188,23.12152898
保利心语花园,天河,珠江新城中,金穗路70号,68,60,2008,94079,,↓2.97%,"""NoClass""",113.3361146,23.12740079,113.3426631,23.13306383
东圃广场,天河,东圃,黄村街道黄村西路8号,66,39,1999,38350,↑0.96%,,"""NoClass""",113.41152,23.12875344,113.4179433,23.13502965
南国花园,天河,珠江新城东,平月路161号,64,30,2001,65397,,↓2.48%,"""NoClass""",113.3519621,23.12047221,113.3585011,23.12619319
中海康城,天河,黄村,东圃镇广园路和贵宾路交界处,63,0,2004,60836,↑0.02%,,"""道路""",113.274088,23.16756602,113.2805294,23.17389123
凯旋新世界,天河,珠江新城东,珠江新城花城大道与海风路交界处,62,65,2009,83082,,↓5.92%,"""地产小区""",113.3464631,23.12259086,113.3530104,23.12826641
凯旋新世界三期,天河,珠江新城东,花城大道与海风路交界处,62,29,2012,81940,,↓7.21%,"""地产小区""",113.3468781,23.12259493,113.3534249,23.128273
东方新世界,天河,天河公园,中山大道西158号(天河公园与天河区政府旁),61,4,2011,77260,↑0.44%,,"""地产小区""",113.3663646,23.13835075,113.37286,23.14428278
誉峰,天河,珠江新城东,金穗路711号,61,45,2007,143997,↑0.70%,,"""地产小区""",113.3453769,23.12870492,113.351924,23.13437428
汇景新城龙熹山,天河,科韵路,汇景北路168至182号双号,59,11,2012,93533,,↓2.02%,"""地产小区""",113.3829444,23.15407986,113.3893949,23.16029193
天鹅花苑,天河,长湴,长兴路129号,59,32,2003,39605,↑0.24%,,"""地产小区""",113.357675,23.17498799,113.3642306,23.18078628
