小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
光大花园,海珠,工业大道北,工业大道北榕景路83号,180,30,2006,66472,↑15.78%,,"""地产小区""",113.2629601,23.09338837,113.2694232,23.09960301
保利天悦,海珠,琶洲,琶洲街道琶洲村新马路18号(琶洲塔公园东侧),109,77,2016,151727,,↓0.94%,"""地产小区""",113.3867432,23.1083809,113.3931816,23.11464066
雅郡花园,海珠,琶洲,新港东路48号,77,19,2003,57461,,↓0.93%,"""NoClass""",113.3925555,23.10003025,113.3989914,23.1063449
珠江帝景苑,海珠,赤岗,新港中路艺苑路99号,55,8,2007,51875,,↓4.98%,"""NoClass""",113.3321016,23.1083927,113.3386567,23.11407967
世茂珠江天鹅湾(海珠),海珠,工业大道北,革新路天鹅街1至13号,49,2,2008,81860,,↓3.96%,"""地产小区""",113.260362,23.092074,113.2668341,23.09825105
琶洲新村,海珠,琶洲,海珠区新港东路,48,25,2014,32293,,↓3.06%,"""地产小区""",113.3892316,23.10657789,113.3956664,23.11286405
翠城花园,海珠,昌岗路,宝岗大道928号,47,19,2000,64116,,↓0.79%,"""NoClass""",113.2776543,23.0905309,113.2840948,23.09687007
富力银禧花园,海珠,滨江东,怡趣街13号,45,6,2007,82682,,↓0.96%,"""NoClass""",113.3005649,23.10711405,113.3070249,23.11327376
会展世界城,海珠,琶洲,新港东路48号(地铁4、8号线交汇万盛围站A..,38,9,2014,108466,↑3.08%,,"""地产小区""",113.3922787,23.10203089,113.3987129,23.10834322
天誉半岛花园,海珠,工业大道北,滨江西路三江交会处(洲头咀公园旁),38,3,2016,81411,,↓2.31%,"""地产小区""",113.2545048,23.10632003,113.2609823,23.11239813
海珠半岛花园三期,海珠,滨江东,滨江东路543-549号,37,0,2016,76707,,↓2.59%,"""地产小区""",113.301151,23.11002509,113.3076102,23.116175
越秀星汇海珠湾,海珠,工业大道北,广纸路40号,37,2,2017,53070,↑0.14%,,"""NoClass""",113.273165,23.08066101,113.2796168,23.08698268
信和广场,海珠,昌岗路,昌岗东路211号,34,13,2000,47576,↑0.21%,,"""地产小区""",113.2812196,23.0956873,113.2876549,23.10202735
江南西小区,海珠,江南西,江南西路98号,32,12,1994,43328,,↓1.12%,"""地产小区""",113.2748503,23.10013828,113.2812834,23.1064658
