小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
凯德山海连城,番禺,石楼,金山大道东·龙丰路段,92,0,2018,23907.0,,↓0.97%,"""地产小区""",113.51671213675884,23.024986513362884,113.5231302126678,23.03131921622958
星河湾半岛,番禺,厦滘,沙溪大道480号,89,9,2013,33123.0,↑2.04%,,"""NoClass""",113.35749556991743,23.03928595026689,113.36403692614276,23.045078715693838
华南新城,番禺,华南,南大路168号,79,10,2001,34304.0,,↓0.56%,"""地产小区""",113.35788193111715,23.031634132294614,113.36441457532682,23.03743085585344
锦绣银湾,番禺,星河湾社区,大石镇朝阳东路425号-423号,70,21,2007,34806.0,,↓0.73%,"""NoClass""",113.3323531664986,23.032486887349067,113.33890928583122,23.038172253756345
南天名苑,番禺,洛溪,洛浦街洛溪环岛北路8号,70,0,2015,68764.0,,↓3.71%,"""地产小区""",113.28955879032292,23.05766132195807,113.29601374992254,23.063962688660003
广地花园,番禺,华南,番禺大道北27号,60,0,1997,24126.0,,↓0.21%,"""地产小区""",113.34386261601085,23.025087625375194,113.35041648754604,23.030751721848046
品秀星瀚,番禺,南站,地铁22号线陈头岗站(在建中)旁,60,0,2021,32547.0,,↓2.29%,"""地产小区""",113.27680294191599,23.018850467169484,113.28321731782666,23.025181984440324
锦绣香江,番禺,钟村,南村镇锦绣路138号华南干线迎宾路段(长隆动..,57,0,2012,34231.0,,↓1.78%,"""地产小区""",113.35250862688044,23.00408469826239,113.35904469087233,23.009811217467275
广州亚运城,番禺,亚运城,亚运大道兴亚二路,54,0,2016,26912.0,↑1.25%,,"""NoClass""",113.50332298296759,22.951775112541175,113.50979827061757,22.957997793586576
星河湾荟心园,番禺,星河湾社区,番禺区大石段迎宾路251号,53,15,2004,33161.0,,↓1.77%,"""地产小区""",113.34636143244713,23.032278438465239,113.35291902122457,23.03795552164902
东湖洲花园,番禺,石碁,石碁镇傍雁路883号,51,0,2017,38822.0,,↓2.83%,"""地产小区""",113.42374596057862,22.932280977051336,113.43023558733587,22.93839279844054
广州时代倾城,番禺,南村,南村镇南村东线路160号,50,27,2014,31794.0,,↓1.75%,"""地产小区""",113.4059051640036,23.004737453974664,113.41232056066235,23.01105771208988
珠江花园,番禺,厦滘,沙溪大道282号,50,13,1998,32761.0,↑0.16%,,"""NoClass""",113.34996291889654,23.039320786942235,113.3565221465444,23.04502582378897
祈福缤纷汇,番禺,祈福,市广路祈福新邨内,49,17,2018,37233.0,,↓0.54%,"""地产小区""",113.33867903389779,22.97512038834548,113.34525274770316,22.98078218935426
珊瑚湾畔,番禺,厦滘,沙溪大道381号,49,4,2005,47816.0,,↓1.00%,"""地产小区""",113.35303386611195,23.042458627764309,113.35959002675208,23.048195243469853
尚上名筑,番禺,亚运城,南环路132号,47,0,2016,21207.0,,↓1.22%,"""餐饮""",113.49510285874014,22.961707213068008,113.50160070564185,22.96780035093777
东怡新地,番禺,市桥东,"区政府旁3号地铁番禺广场站B口,亚运大道与清..",45,0,2015,25901.0,,↓4.47%,"""地产小区""",113.39575494055807,22.940425816733403,113.40220500271778,22.946761112904875
万科欧泊,番禺,万博,兴南大道368号,45,3,2016,46079.0,↑1.48%,,"""NoClass""",113.36294837419175,23.01728215115747,113.36945510179,23.023155722555548
智联汽车小镇,番禺,石楼,金山大道东龙丰路段,45,0,暂无资料,23159.0,,↓0.77%,"""地产小区""",113.51258900429996,23.025006968595247,113.51901120955839,23.031319377888086
星河湾星座园,番禺,星河湾社区,迎宾路251号,44,6,2004,33712.0,,↓0.14%,"""地产小区""",113.34280701720643,23.03341904149099,113.34936875129695,23.03908133351817
珠江铂世湾,番禺,华南,江山帝景高尔夫东侧,44,2,暂无资料,41078.0,,↓0.13%,"""地产小区""",113.37166400373833,23.02980812390953,113.37814802191829,23.035835694338389
广州亚运城天誉,番禺,亚运城,广州市番禺区石楼镇天誉,43,5,2013,24468.0,↑0.02%,,"""NoClass""",113.4926534491069,22.954316256417415,113.49916301701569,22.960367272355329
亚运城5号,番禺,亚运城,番禺区亚运南路1号,41,4,2018,28867.0,,↓1.18%,"""购物""",113.48281898004801,22.94751502745154,113.4893636965346,22.953393945049407
雅居乐剑桥郡君澜,番禺,广州雅居乐,南村镇兴南大道(即岭南电缆厂附近),41,1,暂无资料,43581.0,,↓0.15%,"""地产小区""",113.38884310847492,23.032150309172974,113.39527763929593,23.038432474522315
保利悦公馆,番禺,金山谷,万博金山谷旁,38,0,暂无资料,37318.0,,↓0.43%,"""地产小区""",113.35569797076201,22.98169213815377,113.36224317385362,22.98746026919712
