小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
岭南新世界,白云,嘉禾望岗,白云大道北1689号,142,4,2000,48984,,↓0.26%,"""汽车服务""",113.3005949,23.23844729,113.3070458,23.24460468
华远云和墅,白云,龙归,白云大道北大一大街23号,72,1,2009,73242,,↓1.84%,"""地产小区""",113.321018,23.24727102,113.3275366,23.25308161
云山诗意(白云),白云,黄边,黄边北路120号至340号,63,11,2008,46482,,↓0.73%,"""NoClass""",113.3006132,23.23258777,113.3070683,23.23874572
恒大御景半岛,白云,金沙洲北,金沙洲大桥沿江路,62,0,2012,27290,,↓1.04%,"""NoClass""",113.3434742,23.0290444,113.3500315,23.03470782
时代玫瑰园,白云,黄边,黄边北路151号,57,8,2006,41769,,↓0.12%,"""地产小区""",113.2931321,23.23073722,113.2995678,23.23699773
珠光云山壹号,白云,京溪,广州大道北云灏街珠光云山壹号-壹号会馆,56,0,2020,118038,↑12.22%,,"""地产小区""",113.3267646,23.19424538,113.3333373,23.19998774
越秀星汇云城,白云,同和,区广州大道北(华快三期沙太出口),55,9,2017,42564,,↓1.24%,"""地产小区""",113.343431,23.21429642,113.3500053,23.21996304
品实云湖花城,白云,石井,石沙路与湖滨南路(建设中)交汇处,40,0,暂无资料,37276,↑3.00%,,"""地产小区""",113.2199696,23.23052709,113.226529,23.23618532
金碧雅苑,白云,黄边,华南北路(永泰收费站北行约300米永泰路口处..,38,22,2004,39908,↑1.56%,,"""地产小区""",113.2982984,23.22917788,113.3047493,23.23537149
利海托斯卡纳,白云,龙归,紫百合街7号,38,14,2011,34460,,↓0.55%,"""地产小区""",113.3186704,23.24338218,113.3251826,23.24922931
东湖映月,白云,龙归,龙归镇南村龙河西路,37,15,2012,29444,,↓0.06%,"""地产小区""",113.3282278,23.28067316,113.3347855,23.28639588
白云尚城,白云,江夏,黄石北路137~157号,35,8,2010,46445,,↓0.04%,"""NoClass""",113.2902456,23.21911755,113.2966867,23.22540986
