小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
保利高尔夫郡,花都,旧区,岭东路95号,32,13,2015,15502.0,↑1.71%,,"""地产小区""",113.16157127554227,23.382667213942644,113.16798593049002,23.389002361129206
南航碧花园别墅,花都,狮岭,花都区山前旅游大道,24,0,2008,15817.0,,↓1.58%,"""地产小区""",113.19629662247726,23.490276409673834,113.20279985660643,23.49616240444651
合和新城,花都,镜湖大道,迎宾大道3号(近万和北路),22,0,2015,20711.0,,↓0.54%,"""NoClass""",113.265266633069,23.378253454750337,113.27169856612534,23.38449338624408
元邦山清水秀别墅,花都,狮岭,山前大道芙蓉嶂旁(芙蓉嶂正门西行1.8公里),17,0,2010,9782.0,,↓0.32%,"""地产小区""",113.22845317497677,23.49364497166111,113.2349976364689,23.499334029515045
远洋芙蓉墅,花都,狮岭,狮岭镇芙蓉嶂度假区西南处,17,0,2015,23435.0,,↓4.07%,"""地产小区""",113.24256061385356,23.489658285046077,113.24906779432857,23.495525212186313
五溪御龙湾,花都,狮岭,山前旅游大道,16,0,2004,18641.0,↑3.07%,,"""地产小区""",113.19335314481367,23.49909737497301,113.19984805596995,23.505034447916235
广州万达文化旅游城,花都,旧区,平步大道与曙光路交汇处,15,0,2018,22194.0,,↓1.25%,"""道路""",113.21876742039501,23.433077454455466,113.22535690398932,23.438742506115746
保利城,花都,旧区,风神大道与花港大道交汇处,14,3,2008,15172.0,↑1.74%,,"""NoClass""",113.168393366905,23.38209302897195,113.17481409647951,23.388397010229288
雅宝新城,花都,旧区,秀全街道雅宝社区平步大道中131号,13,0,2014,13961.0,,↓1.30%,"""地产小区""",113.19114349292097,23.436407538855748,113.1976661927221,23.44239104867114
民航芙蓉山庄别墅,花都,狮岭,花都区芙蓉幛渡假村,11,0,2000,20753.0,,↓1.92%,"""地产小区""",113.22974969931889,23.50925497153123,113.23630078953825,23.514956422657506
金碧御水山庄别墅,花都,狮岭,狮岭镇新杨村六花岗水库以东,10,0,2009,15019.0,↑2.74%,,"""地产小区""",113.20871030631554,23.492600648042289,113.21524942306684,23.49831462588811
南华时代城,花都,铁路西,工业大道181号,10,0,2014,18541.0,,↓0.61%,"""地产小区""",113.20077135171263,23.37340672314545,113.20728955893705,23.379221205423077
桃花源,花都,狮岭,花都区狮岭镇旗新村芙蓉嶂水库旁,10,0,2009,20789.0,↑1.23%,,"""NoClass""",113.2399153736192,23.506601875751334,113.2464382654319,23.512428090380408
自由人花园,花都,镜湖大道,镜湖大道与广花路交界处,10,0,2014,21180.0,↑0.05%,,"""地产小区""",113.2313289204049,23.34981338693339,113.23787737501178,23.355529738525477
碧桂园假日半岛别墅,花都,美林湖,花都区山前旅游大道,9,0,2011,16356.0,,↓2.00%,"""地产小区""",113.07454110217003,23.487189320216669,113.0810383281119,23.493105396915774
保利高尔夫郡别墅,花都,旧区,风神大道新体育馆旁,9,0,暂无资料,31327.0,,↓5.81%,"""地产小区""",113.16157127554227,23.382667213942644,113.16798593049002,23.389002361129206
风神公社,花都,旧区,风神大道6号,9,2,2012,14279.0,,↓1.80%,"""NoClass""",113.1607398039625,23.385211045335585,113.16715600484149,23.391547442485217
金融街·花溪小镇,花都,花东,广州市花都大道东228号(肯德基西行500米..,9,0,2017,12492.0,↑0.86%,,"""地产小区""",113.42157502565337,23.43561002730355,113.42806375453073,23.4417591811652
美林湖国际社区别墅,花都,山前大道,山前大道168号,9,0,2016,14397.0,,↓6.15%,"""门址""",113.20837551332002,23.4871612031937,113.21491395369302,23.49287855099117
南航花园,花都,新区,新华镇新都大道103号,9,0,2002,20109.0,↑0.30%,,"""地产小区""",113.23868011371282,23.407945028345229,113.24522725601446,23.41375689588203
祈福天龙苑,花都,铁路西,花都区新华镇新街大道中,9,0,2017,18318.0,,↓0.83%,"""地产小区""",113.20217800831024,23.37708903809768,113.20870150440394,23.382883101006724
中建映花悦府,花都,旧区,工业大道南,9,0,暂无资料,17720.0,,↓1.50%,"""地产小区""",113.19623248346388,23.3672548154596,113.20273557095331,23.373141951615446
都湖国际,花都,新区,新华路96号(南向花都湖),8,0,暂无资料,29940.0,,↓0.65%,"""地产小区""",113.2335596824771,23.384809936591834,113.24009889837982,23.39054942820804
凤凰御景花园,花都,新区,花都区凤凰北路34号,8,0,2016,25670.0,,↓1.69%,"""门址""",113.24085661813224,23.412274878987046,113.2474007129053,23.418120807000095
豪利花园,花都,镜湖大道,镜湖大道北18号,8,0,2015,17757.0,,↓0.66%,"""地产小区""",113.25686145790658,23.366603597679615,113.26331753317386,23.372719078828614
路劲天隽峰,花都,旧区,茶园路11号,8,0,2019,28160.0,,↓0.27%,"""地产小区""",113.21952195210786,23.39694241445137,113.22608899817058,23.402602216968565
美林湖国际社区,花都,山前大道,山前大道168号,8,0,2007,8184.0,↑1.61%,,"""门址""",113.20837551332002,23.4871612031937,113.21491395369302,23.49287855099117
万科兰乔圣菲别墅,花都,狮岭,花都区芙蓉嶂度假区内银湖湾,8,0,2013,17713.0,↑1.93%,,"""地产小区""",113.24491633022214,23.505797502505176,113.25142162279215,23.5117053841524
越秀滨湖臻品系,花都,镜湖大道,花都湖旁,8,0,暂无资料,23795.0,,↓4.47%,"""NoClass""",113.23578792929387,23.38951245928937,113.24232523405871,23.395280249840629
狮城国际,花都,狮岭,花都区狮岭镇雄师大道中,7,0,2017,12359.0,,↓0.10%,"""汽车服务""",113.19405184683912,23.450518651326474,113.2005759884045,23.45644907929819
保利城三期,花都,旧区,风神大道与花港大道交汇处,6,1,暂无资料,15297.0,↑0.10%,,"""地产小区""",113.16983038622883,23.382465204612488,113.17625376677134,23.388757509308367
雅居乐雍逸豪廷,花都,新区,花都区天贵路108号,6,0,2008,24084.0,,↓2.01%,"""NoClass""",113.22924898382779,23.41220299787063,113.23582282366493,23.41790478489872
班芙小镇,花都,狮岭,度假村专用道北36号,5,0,2015,11167.0,,↓0.63%,"""地产小区""",113.22964226197992,23.485436067445695,113.23618490095953,23.49113481215151
翠华花园,花都,铁路西,新华镇金华路10号,5,0,2006,13675.0,,↓0.36%,"""地产小区""",113.20356301574506,23.388101031944399,113.21009733079016,23.393877260433574
大运家园,花都,新区,迎宾大道105号,5,0,2008,23014.0,,↓0.59%,"""购物""",113.2428160919405,23.40855433680028,113.24935037087201,23.414431293893725
芙蓉绿茵豪苑,花都,狮岭,花都区山前大道芙蓉段189号,5,0,2007,17478.0,,↓1.61%,"""地产小区""",113.25308309510231,23.504519061594423,113.259557570109,23.510570725847498
桐悦,花都,镜湖大道,凤凰南(云峰幼儿园对面),5,0,2021,23587.0,,↓2.65%,"""乡镇""",113.39308472743054,23.204513712113628,113.39953383036468,23.210834740958395
