小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
珠光御景壹号,荔湾,黄沙,黄沙大道广铁南站,107,1,2015,78474.0,↑0.08%,,"""道路""",113.23195476985349,23.303885359685279,113.23853002040006,23.30961389448068
中海花湾壹号,荔湾,广钢新城,鹤洞路(地铁西朗站A出口),78,33,2018,58137.0,↑1.04%,,"""地产小区""",113.24533107787596,23.074511316033005,113.25186688561964,23.08043296965504
新世界凯粤湾,荔湾,窖口,芳村大道白鹅潭西部门户综合区,42,0,2012,49720.0,,↓0.28%,"""地产小区""",113.2611170005976,23.11178801069087,113.26756754052703,23.1179724977714
珠江金茂府,荔湾,广钢新城,广钢新城,41,7,2018,65387.0,↑0.14%,,"""地产小区""",113.25359216483465,23.07613498060088,113.26009781551888,23.08220229727312
金众西关海,荔湾,南岸路,中山八南岸路23号,35,0,2019,67467.0,↑0.09%,,"""地产小区""",113.2351649544229,23.13727734567492,113.24169542028001,23.143035504470406
保利堂悦,荔湾,广钢新城,广钢新城·南区,29,9,暂无资料,62852.0,↑0.68%,,"""医疗""",113.25286301025244,23.07198210353319,113.2593721651431,23.078036816011577
华发中央公园,荔湾,广钢新城,"芳村鹤洞路以南,芳村大道南以西(靠近地铁1号..",28,14,2019,73279.0,↑0.66%,,"""地产小区""",113.2435251244793,23.071403489955519,113.25006768729567,23.077294488711428
荔港南湾,荔湾,南岸路,南岸路67号,28,0,2007,47509.0,↑0.06%,,"""地产小区""",113.23573978011855,23.14131012614732,113.2422706738836,23.147076076509916
葛洲坝保利曼城,荔湾,广钢新城,鹤洞路以南(广钢工人体育馆旁),23,6,2017,51548.0,,↓1.88%,"""地产小区""",113.25225503708347,23.077489072096545,113.25876499136015,23.083532785398569
保利东郡,荔湾,广钢新城,南区广钢商业总部旁,21,9,暂无资料,50311.0,,↓0.42%,"""地产小区""",113.25758585146959,23.07265730191485,113.26407848372435,23.07879269081142
保利·葛洲坝海德公馆,荔湾,广钢新城,荔湾区鹤洞路以南(广钢工人体育馆旁),19,7,2017,62496.0,,↓0.63%,"""地产小区""",113.248931037206,23.074144006345123,113.25545404747553,23.080128899600966
环市西路大院,荔湾,西村,荔湾区环市西路,18,0,1998,30024.0,,↓2.00%,"""地产小区""",113.25430488042602,23.151206081449634,113.26078065064219,23.15728023826116
恒荔湾畔,荔湾,芳村,芳村大道210号,17,4,2007,56626.0,,↓1.05%,"""NoClass""",113.23781441669316,23.107525891479449,113.24434818268226,23.11332201643579
金融街融穗华府,荔湾,广钢新城,银沙路与开拓二横路交界处,17,15,2012,56411.0,,↓1.25%,"""地产小区""",113.24640643940161,23.072813819774845,113.25293877179694,23.078754220955376
元邦明月水岸,荔湾,广钢新城,花地大道南(地铁一号线西朗站往花地河方向30..,17,1,2015,38533.0,,↓0.74%,"""地产小区""",113.23327806369982,23.064118362576239,113.23984987191749,23.06986131042371
天珺,荔湾,南岸路,南岸路,16,0,暂无资料,72045.0,,↓1.98%,"""地产小区""",113.23375910630026,23.13268030319022,113.24029185777482,23.13842104522627
保利和光晨樾,荔湾,广钢新城,南区中央公园首排,15,10,2019,50199.0,,↓1.00%,"""地产小区""",113.24726899235199,23.07089004206815,113.25379843192951,23.07684561402028
保利公园九里,荔湾,龙溪大道,荔湾区龙溪中路,13,0,2014,41033.0,,↓0.09%,"""地产小区""",113.21733502734455,23.086587085495976,113.22391627241132,23.09225331597959
广雅路小区,荔湾,西村,西湾路11号,13,2,1988,33391.0,,↓3.45%,"""门址""",113.24920816445574,23.144199652010128,113.25569661828831,23.15018262213185
四季花园,荔湾,坑口,花地大道中246号,13,0,2004,41770.0,↑1.84%,,"""地产小区""",113.23895490536825,23.077827447358478,113.24551072367327,23.083645415077116
保利碧桂园公园大道,荔湾,广钢新城,鹤洞路157号(广钢公园南侧),12,3,2020,50570.0,↑1.12%,,"""地产小区""",113.25517695541483,23.073280047401565,113.26167773038616,23.079374955920327
金道花园,荔湾,坑口,坑口花地大道中,12,1,2000,28874.0,,↓0.63%,"""地产小区""",113.24158262864516,23.07800074901985,113.24813006654563,23.08385947007729
力迅·西关雅筑,荔湾,陈家祠,中山七·陈家祠·双地铁,12,0,暂无资料,70412.0,↑0.89%,,"""地产小区""",113.25452388730928,23.13234422788374,113.26098815449024,23.13841998491166
西湾东路大院,荔湾,西村,西湾东路,12,1,1999,34603.0,↑0.03%,,"""道路""",113.24911222542731,23.14655851382367,113.25560277192706,23.15254013506146
怡芳苑,荔湾,芳村,花地湾东漖北路,12,0,1999,38738.0,,↓0.07%,"""NoClass""",113.23844709326362,23.09970455927503,113.24498680574824,23.105511429311158
逸翠湾,荔湾,黄沙,黄沙大道8号领展购物广场F1,12,0,2009,61651.0,↑0.68%,,"""地产小区""",113.24716460925177,23.116133087460694,113.25366021335567,23.122079843101177
中国铁建荔湾国际城,荔湾,龙溪大道,龙溪东路38号,12,0,2013,42393.0,,↓0.24%,"""地产小区""",113.2238263626186,23.08383951152283,113.23040890143082,23.089509625696278
珠江鹅潭湾,荔湾,窖口,滘口大街8号,12,0,2016,52542.0,↑0.93%,,"""地产小区""",113.21651298797264,23.124675995929,113.2230623694315,23.130338143910657
保利越秀·天启,荔湾,坑口,白鹤洞街道沙涌地铁站旁,11,0,2023,48666.0,↑1.79%,,"""地产小区""",113.2548259874522,23.085995154249767,113.26132178905779,23.092082771609844
西站小区,荔湾,西村,站前路15号,11,0,1990,19332.0,↑0.14%,,"""NoClass""",113.25183696569927,23.145588439686124,113.25831687502452,23.15161832490539
振业天颂花园,荔湾,广钢新城,芳村大道南以西鹤洞路以南,11,10,暂无资料,55405.0,,↓0.73%,"""地产小区""",113.25112892129654,23.07526006275912,113.25764369050008,23.08128397641992
保利西悦湾,荔湾,坑口,东漖南路,10,1,2016,50319.0,↑0.18%,,"""地产小区""",113.22984815360275,23.084321409087289,113.23642274206111,23.090028811736948
克山小区,荔湾,西村,荔湾区环市西路,10,0,1995,22191.0,,↓4.54%,"""道路""",113.24656229540753,23.14695661018991,113.25306236119829,23.152893259873424
万科金域曦府,荔湾,花地湾,花地大道309号(地铁1号线花地湾旁),10,0,暂无资料,53489.0,,↓2.13%,"""地产小区""",113.2426950003578,23.087409983568234,113.24923285405497,23.093285633655517
红棉苑南区,荔湾,花地湾,金鹏路与鸿雁路交界处,9,0,1996,33791.0,,↓2.19%,"""地产小区""",113.23915352071644,23.095781462123158,113.24569508227819,23.10159961047194
新世界逸彩庭园,荔湾,窖口,悦彩街3号,9,0,2000,39355.0,,↓0.30%,"""地产小区""",113.21325447456683,23.117144674705778,113.21980422297503,23.122822871513919
远东·御江豪庭,荔湾,芳村,广州市荔湾区芳村百花路花地河畔,9,0,2017,38780.0,,↓0.62%,"""地产小区""",113.23226001406569,23.09969433739981,113.2388158317696,23.10542232454136
大岗元,荔湾,环市西,环市西西湾路100号,8,0,2000,36091.0,↑1.47%,,"""乡镇""",113.40516675687464,22.811250541419818,113.41161170530853,22.81758057420435
广雅后街小区,荔湾,西村,环市西路广雅后街,8,0,1998,35332.0,,↓0.56%,"""地产小区""",113.24834695896361,23.14648108759682,113.25484022104041,23.152449114260155
广州滨江上都(一期璇湾),荔湾,广钢新城,芳村大道南广船一期地块,8,0,暂无资料,71253.0,,↓6.21%,"""道路""",113.23479431356961,23.107633090150295,113.24133623197771,23.113388753773007
银丰花园,荔湾,盐步,广佛公路横江段28号,8,0,2009,15001.0,,↓3.78%,"""地产小区""",113.4616804141164,23.114446925391733,113.46823603825374,23.120105116862566
芬芳街小区,荔湾,花地湾,浣花西路芬芳街88号,7,1,1996,26300.0,,↓0.22%,"""地产小区""",113.23031895552038,23.09040565187918,113.23688779471445,23.09611627230592
花语水岸,荔湾,桥中,印月街5号,7,0,2015,52736.0,,↓0.97%,"""地产小区""",113.2214507038677,23.1320164601698,113.22800041320225,23.137673794021109
华发中央公园别墅,荔湾,广钢新城,"芳村鹤洞路以南,芳村大道南以西",7,0,暂无资料,83711.0,↑0.55%,,"""地产小区""",113.2435251244793,23.071403489955519,113.25006768729567,23.077294488711428
西增路小区,荔湾,环市西,西增路与南京路交界处,7,1,1990,35106.0,,↓2.12%,"""地产小区""",113.24607155110759,23.149187323375608,113.25257522506469,23.15511578476408
悦江上品苑,荔湾,桥中,桥中中路143号,7,0,2017,51355.0,,↓0.31%,"""地产小区""",113.22148349201879,23.137611248372648,113.22803463558633,23.143268917454255
雅居乐天际715,荔湾,芳村,岭海街12号,7,0,2024,61467.0,,↓1.26%,"""地产小区""",113.22934303641466,23.114284972269567,113.23589091755876,23.119982405786606
翠竹苑,荔湾,坑口,花湾路678号,6,0,2010,40578.0,,↓0.35%,"""地产小区""",113.24461953008175,23.089093330743617,113.25114937973724,23.095001041330055
葛洲坝广州紫郡府,荔湾,广钢新城,广钢新城求实一横路,6,11,暂无资料,53114.0,↑5.39%,,"""地产小区""",113.2506008074874,23.070889377086595,113.25711820679303,23.076904051226675
路劲隽泷湾,荔湾,龙溪大道,便民巴士5号线,6,0,2013,36228.0,,↓0.92%,"""地产小区""",113.21566211299387,23.08718308661848,113.22224178121698,23.092854647872099
西湾路小区,荔湾,西村,广雅路1016号,6,1,1995,38119.0,↑0.35%,,"""地产小区""",113.24974059013134,23.144048036753845,113.25622700428935,23.150040452964036
