小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
淘金路小区,越秀,淘金,淘金街38-40号,96,75,1990,66024.0,↑0.72%,,"""地产小区""",113.29320510221727,23.146690188150637,113.29963903218168,23.152949442364574
淘金家园,越秀,黄花岗,淘金东路62号,82,51,2004,91051.0,↑1.35%,,"""NoClass""",113.29973389683107,23.14828547245551,113.3061870601697,23.15445720228766
东华西路小区,越秀,农讲所,东华西路,77,1,1992,44375.0,↑0.10%,,"""地产小区""",113.29078830107402,23.129241576982357,113.29721011161789,23.135524654634648
福今路小区,越秀,东风东,福今路24-51号,68,9,1990,70788.0,,↓0.01%,"""地产小区""",113.30943550650508,23.13662715104655,113.31591502752576,23.142633434087263
东风广场,越秀,东风东,东风东路787号,64,8,2006,100500.0,↑1.11%,,"""NoClass""",113.31644588270264,23.13799682643059,113.32295096513849,23.14388060197935
梅花村小区,越秀,杨箕,中山一路48号之2-3号,59,20,2000,83052.0,,↓1.21%,"""地产小区""",113.31175367370337,23.133545038901269,113.3182407780707,23.139509937305509
东华东路小区,越秀,东山,内环路东华东路,52,12,1990,71552.0,,↓0.02%,"""NoClass""",113.29905504766283,23.126562536495518,113.30549814910089,23.132742900050184
建设二马路小区,越秀,建设路,越秀区建设二马路,51,39,1992,54600.0,,↓1.08%,"""地产小区""",113.28843501013029,23.13975297449086,113.29485515615206,23.146056736093965
中山一路小区,越秀,杨箕,中山一路9号,51,3,1995,65780.0,↑1.30%,,"""地产小区""",113.32034572066606,23.13504566835237,113.32686258947746,23.14086652476443
共和路小区,越秀,共和路,共和路共和路1-19号小区,49,4,1998,78591.0,↑0.39%,,"""地产小区""",113.31484025143463,23.13023752727498,113.32133805536336,23.136148293141756
小北路大院,越秀,小北,越秀区小北路,48,14,1998,70493.0,↑0.93%,,"""道路""",113.28463472867159,23.14572111188727,113.2910540026393,23.152048285505289
德政中路小区,越秀,农讲所,德政中路217号,47,6,1995,47459.0,,↓0.05%,"""地产小区""",113.28200413081705,23.129521078595319,113.28841553389224,23.13585505532295
庙前西街小区,越秀,东山,东山庙前西街,47,4,1999,67272.0,,↓0.94%,"""地产小区""",113.2994877497399,23.12823424282334,113.3059319460596,23.13440804203784
农林下路大院,越秀,东风东,环市东路农林下路,47,4,1980,73481.0,↑0.79%,,"""商圈""",113.30406714294868,23.13516864638541,113.31052704515352,23.14126869236864
小东园小区,越秀,东山,东湖街中山一路南小东园社区,44,2,2002,82416.0,↑0.38%,,"""地产小区""",113.30412975484269,23.130010454257616,113.31058916508809,23.136109293953085
麓苑路大院,越秀,麓景路,越秀区麓苑路,43,24,2003,51639.0,↑0.16%,,"""道路""",113.29096904014257,23.1471549933249,113.29739853237861,23.15343784013477
粤海拾桂府,越秀,农讲所,珠光路43-55号,42,7,2017,97988.0,↑0.82%,,"""地产小区""",113.28067257256004,23.124327603128888,113.2870845041744,23.13066340925445
文明路小区,越秀,农讲所,越秀区文明路,41,5,1995,55054.0,↑2.37%,,"""地产小区""",113.27975270771813,23.128857635191595,113.28616376578394,23.135193452002878
越秀东园新村,越秀,东山,中山一路96-98号,41,5,1991,71391.0,,↓0.61%,"""地产小区""",113.30558159620745,23.13147117586355,113.31204614709562,23.137545126404509
富力东堤湾,越秀,杨箕,中山一路金羊三街,40,15,2002,112954.0,↑2.05%,,"""地产小区""",113.31570612811541,23.131737877747093,113.32220703952477,23.1376338317427
淘金坑小区,越秀,淘金,淘金坑路53号,40,33,1998,65248.0,,↓1.45%,"""地产小区""",113.2974917262789,23.14756413683411,113.303937551652,23.1537687405811
东川路大院,越秀,东川路,越秀区东川路,39,4,1999,62391.0,,↓1.00%,"""地产小区""",113.29372800585445,23.129505790769647,113.30015619462573,23.135757585572127
中山三路小区,越秀,农讲所,越秀区中山三路,39,9,1993,46411.0,,↓1.53%,"""地产小区""",113.28599700897704,23.134501077093597,113.29241194462048,23.140820426508065
锦城花园,越秀,东风东,东风东路858号,36,9,2009,95419.0,,↓1.86%,"""门址""",113.31759751036604,23.137110186307564,113.32410614655577,23.14297476326261
越华路小区,越秀,北京路,越华路18号,36,4,2014,49924.0,↑0.06%,,"""NoClass""",113.27637543832394,23.135370868952486,113.28278845215609,23.14170075149958
下塘西小区,越秀,麓景路,下塘西路2-4、10、22-28、32-34..,35,6,1999,40519.0,↑2.17%,,"""NoClass""",113.28045697923771,23.148354839430828,113.28687633236096,23.15469229038773
先烈中路81号大院,越秀,黄花岗,先烈中路81号,35,1,2000,54144.0,,↓1.20%,"""地产小区""",113.30491397555265,23.146625638670419,113.3113830733807,23.15271251341874
东方文德广场,越秀,农讲所,文德北路68号,34,11,2010,114379.0,,↓0.15%,"""购物""",113.27829107482333,23.129896377545636,113.28470236685092,23.136230851599096
二沙岛新世界花园别墅,越秀,二沙岛,越秀区二沙岛第14区,34,2,2000,131877.0,↑3.79%,,"""地产小区""",113.30660934754107,23.117707716803996,113.31308142394055,23.12376454946176
淘金北路小区,越秀,淘金,淘金北路小区,34,4,1990,60463.0,↑0.10%,,"""地产小区""",113.29508435734351,23.149260428192276,113.30152502026965,23.155497564796855
华侨乐园,越秀,淘金,永泰路52-54号,33,7,1993,58703.0,,↓0.64%,"""地产小区""",113.29634315285424,23.148815900439673,113.30278678840851,23.155036542932078
华侨新村,越秀,淘金,爱国路1号至25号,33,3,2000,68666.0,↑0.87%,,"""餐饮""",113.29494920566263,23.143182117868656,113.30138487074432,23.149420004440516
中山四路小区,越秀,农讲所,中山四路166号,33,1,1995,47890.0,↑0.21%,,"""地产小区""",113.27967771304198,23.133000965297357,113.28608896924857,23.13933680343893
培正路小区,越秀,东山,培正路2号,32,4,1993,81714.0,,↓0.46%,"""地产小区""",113.30436897359992,23.127089128952077,113.31082944348982,23.1331839497312
富力御龙庭,越秀,黄花岗,淘金东路108-138号(黄花岗公园东北侧),31,12,2004,84034.0,,↓1.16%,"""地产小区""",113.30186809106097,23.148794384294946,113.30832855845559,23.154932561255337
海印苑,越秀,大沙头,东华南路164号,31,4,1999,84187.0,↑0.83%,,"""地产小区""",113.29493676574828,23.12566325622222,113.30136845348874,23.13190048821513
君汇世家,越秀,水荫路,天河路45号,31,4,2008,72813.0,↑5.49%,,"""地产小区""",113.31934363661577,23.141780101047809,113.32586027807068,23.147617074210769
仓边路小区,越秀,北京路,仓边路32号,30,3,1996,42550.0,,↓0.72%,"""地产小区""",113.27789698819622,23.135432100622098,113.28430919355053,23.141766034676985
宏城花园,越秀,二沙岛,越秀区二沙岛大通路,29,0,2000,117596.0,,↓2.55%,"""NoClass""",113.30597226927361,23.115197524428657,113.31244375371661,23.121265824126874
金羊花园,越秀,杨箕,中山一路49号,28,3,1998,86789.0,↑0.56%,,"""地产小区""",113.31587348243186,23.132933792307786,113.32237512499418,23.138826933521007
东方广场,越秀,东风东,越秀区犀牛路38号至44号,26,2,1998,86541.0,↑1.32%,,"""地产小区""",113.30126955009986,23.14016180853528,113.30772202327248,23.1463083831821
东风东路小区,越秀,农讲所,北便巷东风东路514-516号小区,26,2,1995,70515.0,↑3.99%,,"""地产小区""",113.28608100054218,23.136936047895529,113.29249676066887,23.14325508280018
富力东山新天地,越秀,杨箕,广州大道中345号,26,13,2015,86699.0,↑6.02%,,"""门址""",113.335057269238,23.214073706214259,113.3416305744063,23.219746249352278
共和西路小区,越秀,共和路,共和西路1号,26,17,1996,80545.0,,↓1.01%,"""地产小区""",113.30914804874198,23.131436363335124,113.31562541376255,23.13744753279738
农林上路小区,越秀,东风东,农林上路12号,26,0,1997,79212.0,↑0.17%,,"""地产小区""",113.30373306312961,23.131277089669639,113.31019114687354,23.137382644371788
水均大街小区,越秀,东风东,越秀区东风东路水均大街,26,6,1992,62505.0,,↓0.68%,"""地产小区""",113.31337969650643,23.13669826883564,113.31987351250364,23.1426346688551
世茂天越,越秀,五羊新城,广州大道中193号,26,0,暂无资料,117365.0,↑1.16%,,"""门址""",113.33315694565757,23.204806601537155,113.339736132981,23.210491059338734
新河浦小区,越秀,东山,越秀区新河浦路,26,10,2000,86274.0,,↓1.40%,"""地产小区""",113.30103599066735,23.124995971434158,113.30748568429888,23.131145850142553
环市东路大院,越秀,环市东,环市东路435号至478号附近,25,3,1994,59354.0,,↓0.43%,"""门址""",113.30341003246834,23.141032144804894,113.30987013431883,23.147143764476647
华侨新村友爱路小区,越秀,淘金,友爱路68号,25,10,1994,64375.0,,↓2.64%,"""地产小区""",113.2959185238398,23.14456203253911,113.30235767365244,23.150787642572984
执信南路小区,越秀,东山,执信南路116号,25,3,1999,55152.0,↑1.40%,,"""地产小区""",113.2986360776677,23.134613571270724,113.30507814857195,23.140800204625604
海珠北路小区,越秀,西门口,海珠北路植荫里3号,24,11,1989,37837.0,↑1.39%,,"""地产小区""",113.26468003957118,23.135777971787989,113.27111308455615,23.142010362687807
文德广场,越秀,农讲所,文德南路52-98号,24,1,1999,61125.0,↑0.66%,,"""地产小区""",113.27940802789407,23.124119048928063,113.28582001418586,23.130454911733353
拥翠小区,越秀,建设路,建设大马路17号,24,11,2000,58810.0,,↓0.79%,"""NoClass""",113.2875526944587,23.14100938121426,113.29397220024593,23.147319657339535
