小区,行政区,地标,地址,在售,在租,建成年份,平均房价,涨幅百分比,跌幅百分比,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
雅居乐富春山居,黄埔,科学城,广汕路与大观路交界处,94,24,2014,29317,↓1.85%,,"""地产小区""",113.4370684,23.19095334,113.4436131,23.19683425
黄埔花园,黄埔,丰乐路,丰乐南路438号,86,24,2011,39095,,↑1.12%,"""NoClass""",113.4637383,23.10530711,113.4703009,23.11097212
保利罗兰国际,黄埔,开创大道,开创大道国际演艺中心东南向,72,20,暂无资料,30836,↓1.04%,,"""地产小区""",113.4963487,23.17835402,113.5028421,23.18446841
科城山庄,黄埔,开创大道,萝岗街道科城社区峻福路56号,72,14,2015,38953,↓0.42%,,"""地产小区""",113.490513,23.190906,113.4970307,23.19691914
峰湖御境,黄埔,科学城,大观路北黄陂地铁站旁,69,3,2018,44776,,↑1.41%,"""道路""",113.1671084,23.40688679,113.1735499,23.41320448
金碧世纪花园,黄埔,大沙地,中山大道东81号,68,13,2004,50559,↓0.86%,,"""门址""",113.3630606,23.14096801,113.3695688,23.14684378
怡港花园,黄埔,丰乐路,黄埔东路188号,64,18,1999,34791,,↑3.83%,"""地产小区""",113.4607516,23.10525442,113.4673155,23.11091322
中海誉城,黄埔,开创大道,云埔街道中海誉东社区开源大道508号,55,8,2015,34964,,↑1.21%,"""地产小区""",113.5309903,23.16815185,113.5374401,23.17443925
合生中央城,黄埔,开创大道,开源大道22号,46,4,暂无资料,33004,↓1.20%,,"""地产小区""",113.506456,23.15901499,113.5129023,23.16527321
岭南山畔,黄埔,开创大道,开创大道与科翔路交界处南侧,45,14,2015,44602,,↑1.83%,"""地产小区""",113.4582009,23.18359986,113.4647887,23.18926478
越秀TOD星汇城,黄埔,中新,知识城镇龙地铁站C出口,43,0,2022,22564,↓1.70%,,"""地产小区""",113.5997426,23.29143342,113.6062894,23.29726132
