托育店铺,地址,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
小熊托托国际儿童成长中心,紫薇路钻石豪园（东北门）,113.2357483,23.41039294,113.2423061,23.41616442
全优加早教·托育（新塘广场校区）,新塘镇解放北路113号新星未来教育城2楼（广发银行楼上）,113.6198978,23.1282138,113.6263439,23.13437867
FAMIC放我家·家大兰亭社区托育园,宦溪西路兰亭盛荟四季里商业街1号143-144号,113.41382,23.12147985,113.4202504,23.12773123
稚乐堂早教托育中心,大源北路2号纳佰源5G智慧金谷二期6-30号2层201-204（大源北路东）,113.3609653,23.25855179,113.3674794,23.26439322
自然树儿童之家托育·早教（南沙金茂湾校区）,金象中路金茂西二街1号138房-140房,113.5253856,22.78662809,113.5318073,22.79295268
小鲸妈妈托育中心（剑桥郡店）,瀚澜一街38号,113.3927443,23.02598316,113.399167,23.03229642
飞屋牧童托育园（锐丰店）,荔红路锐丰中心7号楼,113.5078916,23.17979212,113.5143524,23.18606991
童心教育早教·托育（大石店）,富庭新月一街1号106、107,113.3202618,23.02936769,113.3267868,23.03519158
狮子王贝贝国际托育（户外花园旗舰店）,萝岗科学城开创大道锐丰广场9栋三楼全层（香雪地铁E出口即到）,113.4986468,23.17922095,113.5051329,23.18537328
米儿谷托育园（市桥店）,市桥街北桥路1号113-116号,113.363331,22.94444459,113.3698733,22.95033204
乐鲸灵婴幼儿托育·早教中心（花都锦城花园校区）,新华街花都永发路5号之七十八102铺-101,113.1960405,23.42278974,113.2025806,23.42868788
自然树儿童之家（海珠翠城花园托育.早教校区）,翠宝路168号翠城汇3楼（翠城花园北门旁）,113.2774246,23.08936161,113.2838663,23.09570047
全优加早教·托育（绿地缤纷校区）,龙湖街道九龙大道中新知识城绿地缤纷城153-5,113.555814,23.33018284,113.5623446,23.33608271
飞屋牧童托育园（南沙万达店）,双山大道万达广场二楼,113.5388069,22.80086053,113.54527,22.8070491
红树林托育中心,广州市番禺区雅居乐花园观景路510号,113.3779503,23.01351529,113.3844031,23.01964891
蒂芭卜蒙氏早教托育中心（保利香雪山店）,萝岗街道香雪二路96号,113.4843457,23.1813517,113.4908837,23.18725598
爱尔福托育早教中心,市广路238号誉瀛新天地誉瀛内街61号,113.3535758,22.97307808,113.360135,22.97882178
圣果成长园托育早教中心（菁品园校区）,盈溪路2-12(双)号二层自编02号商铺,113.425914,23.120858,113.4323819,23.1269267
童果壹号贝贝托育早教中心（龙归店）,龙归永兴西环路2号,113.3249636,23.27532577,113.3315081,23.28108486
贝贝加国际保育园托育早教,悦云路218号201铺（荷塘月色高尔夫社区卫生站旁）,113.2747039,23.20358658,113.2811518,23.20991646
英翰国际儿童中心（洛溪店）,洛溪新城如意一马路122号,113.3110622,23.04630881,113.3175724,23.0522912
自然树儿童之家 · 托育（花都凯旋门校区）,三东大道89号之二14号凯旋门商铺,113.2318728,23.41716627,113.2384452,23.42289329
自然树儿童之家托育·早教（海珠区保利花园店）,工业大道中400-13号2、3层,113.4980089,23.45275596,113.5044875,23.4588961
伟伦国际幼儿园,沾益直街168号,113.3369387,23.15413851,113.3435013,23.15980164
全优加早教·托育（汇侨新城校区）,汇侨路41-47号弘达教育城二层211铺,113.2649819,23.20469631,113.2714468,23.21093924
全优加早教·托育（一品湖山校区）,同和街御岭街37号首层,113.3381276,23.21698948,113.3447,23.22265172
全优加早教·托育（黄埔旗舰校）,丰乐南路402号平安银行丰乐路支行二楼（黄埔花园）,113.464452,23.10496099,113.4710144,23.11062878
全优加早教·托育（锦绣御景国际校区）,荔星大道147号（锦绣御景国际二期）,113.8124605,23.29850921,113.8190411,23.30419734
亲立方国际托育·早教（白云旗舰店）,黄边北路531号二楼201房（2号线黄边地铁站B出口200米处）,113.2972483,23.22803971,113.3036971,23.23424851
班尼特国际早教·托育（公园前校区）,解放中路470号（回民小学北校区旁）,113.269337,23.13061,113.2757586,23.13689421
FAMIC放我家托育·早教（金域蓝湾园店）,环洲二路倚水一巷3号金域蓝湾,113.218547,23.16253601,113.2251189,23.16819787
全优加早教·托育（白云区高尔夫校区）,翰云路287号二楼B区（方圆实验小学对面）,113.2778062,23.20414236,113.2842515,23.21048292
FAMIC放我家托育·早教（金域蓝湾园店）,环洲二路倚水一巷3号金域蓝湾,113.218547,23.16253601,113.2251189,23.16819787
全优加早教·托育（白云区高尔夫校区）,翰云路287号二楼B区（方圆实验小学对面）,113.2778062,23.20414236,113.2842515,23.21048292
自然树儿童之家（祈福园区）,钟村街白云路11号长华创意谷2栋10号,113.327813,22.9735553,113.3343749,22.97928353
糖弥儿国际托育中心,东风东路860号锦城教育城二楼204号（浦发银行二楼）,113.3228197,23.13297176,113.3293435,23.13875636
FAMIC放我家社区托育早教（富力东山园）,新天地街1号、3号、216房,113.3185757,23.132391,113.3250864,23.13823947
全优加早教·托育（洛溪校）,洛浦街96号恒天商务大厦3楼（洛溪大桥）,113.3165099,23.04383634,113.323037,23.04972349
全优加早教·托育（金升校区）,逢源街道逢源路128-1号2层,113.2459081,23.12637989,113.2524037,23.13230373
集德爱米国际托育园,邮电新村中三街9号,113.2959702,23.1413824,113.3024074,23.14760692
