name,address,gcj02_lon,gcj02_lat
星学堂托管教育,横岭四巷与横岭七巷交叉口东240米,113.140854,23.466119
北京书香源教育(花都托管辅导中心),狮岭镇教育东路12号3楼,113.154436,23.461912
小熊托托早教托育(风神中心),风神大道18号1区1栋110号,113.157749,23.379022
马溪早教托管中心,花港大道与南岳大街交叉路口南侧,113.1605138,23.36946762
保利城佳杰儿托育,保利城北街33号,113.163934,23.376932
学乐托管,教育东路7号附近,113.1664461,23.47468528
婴幼儿托育,学府路与学府一街交叉口东南120米,113.175027,23.427726
小宝贝幼托,侧斌街与均一东街交叉口东约80米,113.1843778,23.4731063
培英前程托管中心,工业大道广纸北一路东四街4号铺,113.189348,23.3787768
优质托管,望亭路15-37号,113.1964925,23.38156933
金宝贝托管,花都雅居乐锦城花语集346号商铺,113.2013507,23.42773047
蒙森谷国际托育中心(蒙特梭利儿童之家),藤业一路58号蒙·森谷国际托育中心,113.202157,23.146697
乐鲸灵婴幼儿托育·早教中心（花都锦城花园校区）,新华街花都永发路5号之七十八102铺-101,113.2025806,23.42868788
晟睿托管服务中心,南航大道北益群学校西侧约30米,113.2027561,23.48277611
康康托儿所（龙溪西路）,龙溪凤池村262号,113.2059868,23.08086941
东新街儿童看护点,吉山村大园街15号,113.206092,23.24048695
利贞托育中心,新华商业大道9号,113.207008,23.374657
喜宝幼儿托育中心（南华店）,华翠路19号南华时代城华润万家斜对面,113.2072896,23.37922121
全优·贝贝早教托育,创佳路3号梦多多小镇3层307室,113.2096307,23.1601699
祝博士（金沙洲沙凤校区）,汇瑞街68号二楼,113.2098127,23.17072973
文慧辅导班（海北店）,东联路13号,113.2109606,23.08710587
全优加旗舰中心(全优加金沙洲旗舰店),倚水街1巷1号金沙洲金域蓝湾东南门,113.212112,23.155319
好孩子托管中心,大华二路阳光家园A座,113.2129376,23.40696583
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2150599,23.17643868
蒙·森谷国际托育中心,藤业一路58号（金沙小学南校区正对面）,113.2153289,23.1591174
祝博士,藤业一路富力·金街,113.2153605,23.16047516
达慧童乐托育园,芳兴路84号旧龙华宾馆,113.2181671,23.12118872
全优加早教·托育（金沙洲校区）,彩滨中路倚水街2号101-104、106-110、201-203房（地铁沙贝站）,113.2206356,23.16622604
自由人玛尔比恩托育早教中心,自由里自由人花园2街2号239铺,113.220898,23.342529
米诺象婴幼儿托育中心,紫薇路38-8号,113.2212432,23.41660756
Perfect baby全优贝贝早教托育,天贵路泊岸君庭北门75-33全优贝贝早教中心,113.221539,23.392022
慧星国际儿童教育,保利·西海岸汇海花园8栋负1层02号,113.2221035,23.1854673
五六点智慧托管,公园前路44号9-10号商铺,113.2221917,23.39657181
宝贝之家早教托育,天贵路华天大厦,113.222538,23.38315
杰诺托育,松南路1号汇锦新天地F3,113.222597,23.149323
学倍优托辅中心,新中路6号之一202号,113.223449,23.38239122
Little Light 立童园托育·早教,郭村路华发荔湾荟10栋108铺,113.2241193,23.11785774
欣悦优托,商南街与育才街交叉口西南60米,113.2246784,23.38695008
喜宝幼儿托育中心,新华街龙珠路18号金色华庭首层东面商铺,113.224709,23.396104
全优贝贝托育(融创店),叶融街5-128号,113.224823,23.429057
糖小丸蛋糕店,金色华庭首层东面商铺喜宝幼儿托育中心对面,113.224928,23.396078
五六点智慧托管,育才街1号205、206房,113.2250635,23.38638301
FAMIC放我家托育·早教（金域蓝湾园店）,环洲二路倚水一巷3号金域蓝湾,113.2251189,23.16819787
津德托管中心,龙溪中路保利九里公园杏霖街6号112室,113.2256207,23.09015389
U萌国际婴童学苑（金沙洲校区）,彩滨北路江悦湾S1栋整层,113.2265911,23.18106635
全优?贝贝托育中心（融创店）,广州融创雪域澜庭A2区（天贵路东),113.226796,23.4301
自然树儿童之家(广州花都凯旋门托育园),三东大道89号凯旋门14号商铺,113.226975,23.410584
全优贝贝早教托育中心,富力半岛E2座2楼,113.227067,23.143508
FAMIC放我家托育·早教（凯粤湾店）,石围塘街道逸彩路29号凯粤湾C6栋105房,113.2272129,23.12732863
全优加早教中心,新华街曙光路75号广信大厦2层,113.227354,23.402477
三乐教育,逸彩路小美医生二楼,113.2280644,23.13943166
哆来咪课后托管,增南路与海南南边街交叉口东180米,113.228212,23.07816406
扶幼堂,宝华路34-6号,113.2283232,23.39901567
甄诚小初中托管中心,竹苑街18号104商铺,113.2295779,23.39132886
棉村托儿所,海南棉村181号,113.2298212,23.06991787
宝学士托育中心,观海路5号118-125房1层,113.2312867,23.05553083
佳杰儿托育(江高园区),江高镇河东街29号(原中心小学旁),113.231353,23.271836
比尔盖托育,浣南东街11-1号(坑口地铁站C口步行200米),113.232496,23.080876
全优加早教·托育(四季花园校),花地大道中246-1号,113.232693,23.07281
托育早教,花蕾路与花地大道北交叉口西北20米,113.233224,23.092007
贝安斯早教托育中心,凤凰北路25-4号,113.233496,23.393171
广东睿托育教育研究院附属六一托育,金道花苑北2门旁,113.233735,23.072802
童景托育园,珠光御景壹号华誉三街2号,113.235474,23.109762
爱尔贝托育-早教(花都融创中心),凤凰北路76号-66(融创大剧院对面),113.235669,23.431185
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2359552,23.11071379
万锦国际儿童中心,天贵路108-151号,113.2362833,23.41713022
早教托育,开拓二横路中海花湾壹号,113.236361,23.066813
贝贝伴国际早教?托育中心,鹤洞路中海花湾壹号锦佳华庭C6栋2层204-212号,113.23706,23.068604
喜宝幼儿托育中心（龙珠校区）,龙珠路18号金色华庭首层东面商铺（金信广场入口进入20米）,113.2372387,23.40797679
康悦托管培育中心,天贵路50号美华新村3号楼商铺（五洲幼儿园隔壁）,113.2373477,23.39526731
龙脉托幼生活,沙园大街与沙园二街交叉口西北80米,113.2377576,23.4783235
灏睿教育托管中心,桥头直街47附近,113.2378,23.206299
自然树儿童之家 · 托育（花都凯旋门校区）,三东大道89号之二14号凯旋门商铺,113.2384452,23.42289329
优佳宝贝国际托育中心,中海花湾壹号锦观一街D6D7-118-121,113.238956,23.06917
全优加早教·托育(金升校区),逢源路128-1号2层全优加早教中心,113.239091,23.120968
早教托育,逢源路128号-1号金升商务中心,113.239216,23.120786
字游空间托管,下沙新村西大街七号,113.239343,23.21210659
山今早托萌学园,石围塘街道龙湾路2号首层110铺,113.2396123,23.11393442
疯狂龙博士托辅中心,校园路48号广州市康祥实业有限公司的,113.2396543,23.15973516
山今萌托,石围塘街道龙湾路2号广发商业大厦首层110铺,113.2397142,23.11383122
慧爱托育,石井街石安路181号,113.2409292,23.2151441
新爱婴早教托育(金碧新城园),金新一街58、60号石槎路金碧新城小区47栋2层整层,113.241013,23.204904
启点托辅中心,牌坊路52号,113.241778,23.20204343
多米国际儿童教育,内环路荔港南湾会所2-3楼,113.2422707,23.14707608
助宝优早教托育,南岸路荟文四街2号二楼（荔港南湾B栋二楼）,113.2422707,23.14707608
小熊托托国际儿童成长中心,紫薇路钻石豪园（东北门）,113.2423061,23.41616442
全优贝贝早教托育富力半岛校,富力半岛E2栋2楼,113.2424281,23.15322681
