托育店铺,地址,GCJ02经度,GCJ02纬度,等级
小熊托托国际儿童成长中心,紫薇路钻石豪园（东北门）,113.2423061,23.41616442,"""NoClass"""
全优加早教·托育（新塘广场校区）,新塘镇解放北路113号新星未来教育城2楼（广发银行楼上）,113.6278533,23.12827185,"""教育"""
FAMIC放我家·家大兰亭社区托育园,宦溪西路兰亭盛荟四季里商业街1号143-144号,113.4202504,23.12773123,"""购物"""
稚乐堂早教托育中心,大源北路2号纳佰源5G智慧金谷二期6-30号2层201-204（大源北路东）,113.3674794,23.26439322,"""工业园区"""
自然树儿童之家托育·早教（南沙金茂湾校区）,金象中路金茂西二街1号138房-140房,113.5339054,22.79315296,"""地产小区"""
小鲸妈妈托育中心（剑桥郡店）,瀚澜一街38号,113.399167,23.03229642,"""门址"""
飞屋牧童托育园（锐丰店）,荔红路锐丰中心7号楼,113.5143524,23.18606991,"""NoClass"""
童心教育早教·托育（大石店）,富庭新月一街1号106、107,113.3319268,23.02628466,"""教育"""
狮子王贝贝国际托育（户外花园旗舰店）,萝岗科学城开创大道锐丰广场9栋三楼全层（香雪地铁E出口即到）,113.5151064,23.18548277,"""教育"""
米儿谷托育园（市桥店）,市桥街北桥路1号113-116号,113.3698733,22.95033204,"""门址"""
乐鲸灵婴幼儿托育·早教中心（花都锦城花园校区）,新华街花都永发路5号之七十八102铺-101,113.2026897,23.4336036,"""教育"""
自然树儿童之家（海珠翠城花园托育.早教校区）,翠宝路168号翠城汇3楼（翠城花园北门旁）,113.2826057,23.09608478,"""教育"""
全优加早教·托育（绿地缤纷校区）,龙湖街道九龙大道中新知识城绿地缤纷城153-5,113.5623446,23.33608271,"""购物"""
飞屋牧童托育园（南沙万达店）,双山大道万达广场二楼,113.54527,22.8070491,"""购物"""
红树林托育中心,广州市番禺区雅居乐花园观景路510号,113.3843338,23.01956978,"""教育"""
蒂芭卜蒙氏早教托育中心（保利香雪山店）,萝岗街道香雪二路96号,113.4908837,23.18725598,"""门址"""
爱尔福托育早教中心,市广路238号誉瀛新天地誉瀛内街61号,113.360135,22.97882178,"""地产小区"""
圣果成长园托育早教中心（菁品园校区）,盈溪路2-12(双)号二层自编02号商铺,113.4323819,23.1269267,"""门址"""
童果壹号贝贝托育早教中心（龙归店）,龙归永兴西环路2号,113.4317236,23.13465117,"""门址"""
贝贝加国际保育园托育早教,悦云路218号201铺（荷塘月色高尔夫社区卫生站旁）,113.2810119,23.210057,"""门址"""
英翰国际儿童中心（洛溪店）,洛溪新城如意一马路122号,113.3175724,23.0522912,"""门址"""
自然树儿童之家 · 托育（花都凯旋门校区）,三东大道89号之二14号凯旋门商铺,113.2384452,23.42289329,"""地产小区"""
自然树儿童之家托育·早教（海珠区保利花园店）,工业大道中400-13号2、3层,113.2866979,23.08378154,"""地产小区"""
伟伦国际幼儿园,沾益直街168号,113.3433465,23.15935459,"""教育"""
全优加早教·托育（汇侨新城校区）,汇侨路41-47号弘达教育城二层211铺,113.2710511,23.21103283,"""教育"""
全优加早教·托育（一品湖山校区）,同和街御岭街37号首层,113.3446264,23.22418187,"""地产小区"""
全优加早教·托育（黄埔旗舰校）,丰乐南路402号平安银行丰乐路支行二楼（黄埔花园）,113.4710144,23.11062878,"""地产小区"""
全优加早教·托育（锦绣御景国际校区）,荔星大道147号（锦绣御景国际二期）,113.8190411,23.30419734,"""NoClass"""
亲立方国际托育·早教（白云旗舰店）,黄边北路531号二楼201房（2号线黄边地铁站B出口200米处）,113.3036327,23.23440073,"""教育"""
班尼特国际早教·托育（公园前校区）,解放中路470号（回民小学北校区旁）,113.2769427,23.13812154,"""NoClass"""
